,date,NO2
164,2018-06-14,43.545841423948225
165,2018-06-15,43.545841423948225
166,2018-06-16,43.545841423948225
167,2018-06-17,43.545841423948225
168,2018-06-18,43.545841423948225
169,2018-06-19,43.545841423948225
170,2018-06-20,43.545841423948225
171,2018-06-21,43.545841423948225
172,2018-06-22,43.545841423948225
173,2018-06-23,43.545841423948225
174,2018-06-24,43.545841423948225
175,2018-06-25,43.545841423948225
176,2018-06-26,43.545841423948225
177,2018-06-27,43.545841423948225
178,2018-06-28,43.545841423948225
179,2018-06-29,43.545841423948225
180,2018-06-30,43.545841423948225
181,2018-01-07,43.545841423948225
182,2018-02-07,43.545841423948225
183,2018-03-07,43.545841423948225
184,2018-04-07,43.545841423948225
185,2018-05-07,43.545841423948225
186,2018-06-07,43.545841423948225
