date,open_NO2,sate_NO2,"T T Nagar, Bhopal - MPPCB"
2021-01-26,7.828000000000001,3877950000000000.0,15.03
2021-01-27,10.6925,1795710000000000.0,12.09
2021-01-28,8.445416666666668,3445336000000000.0,12.37
2021-01-29,9.71625,2203090000000000.0,6.84
2021-01-30,13.186250000000005,4251916000000000.0,61.47
2021-01-31,13.63875,3545640000000000.0,50.19
2021-02-01,23.75333333333333,4023472000000000.0,44.93
2021-02-02,25.78375000000001,4739890000000000.0,47.1
2021-02-03,16.71541666666667,5167640000000000.0,44.0
2021-02-04,16.065,4127964000000000.0,29.49
2021-02-05,9.797083333333331,4615740000000000.0,30.94
2021-02-06,15.103333333333332,3963920000000000.0,41.86
2021-02-07,20.482916666666664,2311850000000000.0,35.05
2021-02-08,29.33375,4267874000000000.0,37.23
2021-02-09,31.507083333333338,4234880000000000.0,52.51
2021-02-10,28.352083333333336,3847200000000000.0,43.87
2021-02-11,17.915000000000003,3547070000000000.0,59.06
2021-02-12,18.859583333333333,3956260000000000.0,37.56
2021-02-13,18.973750000000003,3748122000000000.0,27.56
2021-02-14,27.647499999999997,4216810000000000.0,27.08
2021-02-15,19.120416666666667,3603410000000000.0,21.07
2021-02-16,18.86208333333333,1878090000000000.0,9.34
2021-02-17,16.437083333333334,4498784000000000.0,34.45
2021-02-18,18.81958333333333,4458400000000000.0,38.38
2021-02-19,6.714583333333333,4202010000000000.0,25.59
2021-02-20,8.22125,4445332000000000.0,23.36
2021-02-21,24.24458333333333,4716560000000000.0,21.18
2021-02-22,25.593750000000004,3968138000000000.0,14.48
2021-02-23,31.140000000000004,5278370000000000.0,7.3
2021-02-24,28.48041666666667,4288776000000000.0,34.6
2021-02-25,13.70125,5419600000000000.0,26.3
2021-02-26,12.979166666666664,3925952000000000.0,30.29
2021-02-27,8.64625,4691630000000000.0,21.93
2021-02-28,17.729583333333334,4471350000000000.0,24.73
2021-03-01,8.235833333333334,4055716000000000.0,26.38
2021-03-02,16.857916666666668,2979330000000000.0,22.09
2021-03-03,21.864999999999995,3591628000000000.0,41.47
2021-03-04,7.680416666666667,4203780000000000.0,31.79
2021-03-05,10.34125,4057200000000000.0,35.43
