date,open_NO2,sate_NO2,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB"
2021-07-07,14.441250000000002,5594752000000000.0,1.49
2021-07-08,17.66125,5316338000000000.0,1.47
2021-07-09,7.952916666666668,5755360000000000.0,1.49
2021-07-10,7.245000000000002,3488350000000000.0,1.5
2021-07-11,6.540000000000002,3816349200000000.0,1.47
2021-07-12,7.0008333333333335,4953090000000000.0,1.46
2021-07-13,7.10625,4369040000000000.0,1.47
2021-07-14,7.825416666666665,4566560000000000.0,1.51
2021-07-15,10.643333333333333,5294384000000000.0,1.52
2021-07-16,10.871250000000002,5276142000000000.0,1.52
2021-07-17,9.550833333333332,4721706000000000.0,1.52
2021-07-18,13.17375,4469860000000000.0,1.52
2021-07-19,16.152083333333334,3730340000000000.0,1.47
2021-07-20,19.5925,4374006000000000.0,1.54
2021-07-21,15.156666666666668,4608110000000000.0,1.52
2021-07-22,14.498333333333337,4588802000000000.0,1.51
2021-07-23,6.383333333333334,4820370000000000.0,1.45
2021-07-24,4.392916666666666,5835510000000000.0,1.5
2021-07-25,7.081666666666666,5086950000000000.0,1.45
2021-07-26,14.165833333333332,4096606000000000.0,1.46
2021-07-27,16.01583333333333,5339614000000000.0,1.47
2021-07-28,13.225833333333332,5497180000000000.0,1.44
2021-07-29,13.0825,4609058000000000.0,1.49
2021-07-30,10.010833333333332,4204180000000000.0,1.53
2021-07-31,7.946666666666666,5434500000000000.0,1.53
2021-08-01,9.578333333333331,5409032000000000.0,1.51
2021-08-02,14.771666666666668,3010700000000000.0,1.47
2021-08-03,17.15291666666667,4151020000000000.0,1.51
2021-08-04,14.269583333333332,3331360000000000.0,1.53
2021-08-05,14.483749999999995,4709518000000000.0,1.47
2021-08-06,10.573333333333334,4873380000000000.0,1.49
2021-08-07,8.505416666666665,5954776000000000.0,1.49
2021-08-08,10.24125,5869680000000000.0,1.48
2021-08-09,17.797083333333337,5604062000000000.0,1.49
2021-08-10,19.072083333333328,3831700000000000.0,1.47
2021-08-11,15.984166666666663,5184256000000000.0,1.46
2021-08-12,23.17583333333333,4670000000000000.0,1.52
2021-08-13,14.441666666666665,4791320000000000.0,1.5
2021-08-14,12.19625,138586000000000.0,1.5
2021-08-15,12.812916666666668,5575420000000000.0,1.53
