date,open_SO2,sate_SO2,"Indirapuram, Ghaziabad - UPPCB","Sanjay Nagar, Ghaziabad - UPPCB","Vasundhara, Ghaziabad - UPPCB"
2021-09-21,38.46125,0.2992329586,4.15,18.25,6.73
2021-09-22,36.24458333333334,0.0405263307999999,4.47,14.26,9.73
2021-09-23,39.04208333333332,0.0413464221999999,4.69,11.75,11.53
2021-09-24,32.55916666666666,0.0294725108,4.59,6.86,8.76
2021-09-25,40.42249999999999,0.3575077856,4.37,24.93,11.07
2021-09-26,25.645000000000007,0.01,4.98,21.38,13.47
2021-09-27,45.43875,0.0127293766,4.98,26.19,14.96
2021-09-28,29.008333333333336,0.0441268041999999,4.97,12.86,26.99
2021-09-29,28.375833333333333,0.0097454302,4.92,20.25,13.53
2021-09-30,62.11749999999999,0.125237245,4.85,14.44,8.09
2021-10-01,113.49166666666665,0.126040832,3.9,12.12,11.28
2021-10-02,53.942083333333336,1.07130468,4.77,13.64,36.44
2021-10-03,47.73333333333335,0.360000014,5.09,17.69,16.46
2021-10-04,86.50583333333333,0.291653946,4.72,19.18,14.31
2021-10-05,113.15000000000002,0.19287473,4.05,17.36,16.8
2021-10-06,91.03625,-0.0023977971999999,3.73,10.16,20.56
2021-10-07,64.59208333333333,0.0239094436,6.88,13.48,24.0
2021-10-08,57.93583333333333,-0.0497308945999999,9.19,15.19,37.5
2021-10-09,48.18041666666667,-0.0408216589999999,7.85,19.17,28.59
2021-10-10,50.91208333333335,0.0517624154,9.34,19.04,45.24
2021-10-11,69.24125,-0.301673383,25.38,18.94,29.15
2021-10-12,75.98708333333335,0.06407465,26.24,19.8,52.67
2021-10-13,59.12833333333333,0.1422754399999999,27.64,14.85,68.32
2021-10-14,57.30083333333332,-0.154988036,16.08,16.14,28.13
2021-10-15,60.03291666666669,-0.002074687,13.04,16.54,21.46
2021-10-16,49.65708333333334,-0.071538746,36.22,24.07,34.81
2021-10-17,29.45,-0.0568950766,27.75,14.65,57.2
2021-10-18,40.63125,-0.1125572532,9.49,9.36,11.21
2021-10-19,50.12666666666667,0.13361086,9.3,11.24,12.05
2021-10-20,61.06499999999999,-0.0458867891999999,10.07,21.44,11.34
2021-10-21,56.107916666666654,0.434116542,8.58,23.2,11.4
2021-10-22,65.36749999999999,0.2521708432,7.81,22.13,12.71
2021-10-23,36.2,-0.306936711,9.28,35.85,14.53
2021-10-24,21.403333333333336,0.0695932876,7.92,17.38,11.09
2021-10-25,58.36291666666667,0.0465389876,12.69,14.06,22.29
2021-10-26,49.57083333333332,0.0447651478,10.84,12.3,10.64
2021-10-27,51.49916666666667,-0.330554098,16.97,18.36,21.24
2021-10-28,53.793333333333344,-0.344940156,12.18,22.48,12.37
2021-10-29,62.43666666666667,0.0638548756,17.02,28.13,14.92
2021-10-30,45.27041666666667,-0.096335277,11.35,20.33,6.9
2021-10-31,64.11458333333333,-0.045800487,12.69,31.85,6.64
2021-11-01,35.32083333333332,0.144826457,11.86,32.14,11.41
2021-11-02,30.034999999999997,0.069007176,11.05,27.13,14.01
2021-11-03,53.02833333333334,0.029752532,10.88,26.93,16.21
2021-11-04,178.9933333333333,0.520131648,17.39,17.85,21.28
2021-11-05,78.24083333333336,0.4697520639999999,17.38,11.44,28.35
2021-11-06,45.42833333333332,0.095730841,13.23,10.99,18.28
2021-11-07,52.9284,-0.0056224751999999,12.4,15.15,19.31
2021-11-08,65.08916666666666,0.104999997,14.48,24.27,22.55
2021-11-09,75.73708333333333,-0.0381785674,23.86,23.79,32.82
2021-11-10,83.88375000000002,0.0724818545999999,17.74,26.15,21.3
2021-11-11,81.81666666666669,-0.0601029401999999,17.92,21.54,16.97
2021-11-12,65.30624999999999,0.074404448,16.32,16.18,32.12
2021-11-13,59.05791666666665,0.057891987,18.86,22.36,26.6
2021-11-14,85.94916666666667,0.0925981416,16.36,16.69,25.02
2021-11-15,70.30374999999998,0.750919342,18.26,12.71,25.63
2021-11-16,64.14375,0.054482727,17.15,16.47,37.49
2021-11-17,115.43500000000002,-0.797577798,16.12,15.2,15.68
2021-11-18,250.00208333333333,0.3489193619999999,22.02,20.98,37.65
2021-11-19,80.28750000000001,0.1341184879999999,30.71,23.85,56.37
2021-11-20,59.82333333333332,0.328557014,31.02,30.78,43.57
2021-11-21,53.00833333333333,0.0662093448,31.58,24.13,49.64
2021-11-22,60.51916666666665,0.30741322,18.21,23.44,19.08
2021-11-23,79.75083333333335,0.0919893589999999,16.41,29.64,15.51
2021-11-24,66.6375,-0.922951877,24.93,25.36,41.65
2021-11-25,80.16791666666666,0.0280071854,15.18,29.12,14.43
2021-11-26,97.54791666666664,0.1912963449999999,21.12,20.22,20.89
2021-11-27,23.970416666666665,-0.0187651568,13.34,18.91,10.57
2021-11-28,85.6325,0.531314254,15.65,17.8,28.94
2021-11-29,63.30041666666668,0.442335427,26.53,19.74,22.62
2021-11-30,52.47208333333334,0.0230069426,18.9,26.3,23.6
2021-12-01,63.50000000000002,-0.1319232178,18.56,16.69,26.69
2021-12-02,62.07749999999999,-0.06879341,15.79,19.25,25.5
2021-12-03,112.245,0.0792347281999999,11.05,15.84,13.81
2021-12-04,120.75833333333334,0.111125362,10.5,27.05,8.41
2021-12-05,86.30708333333337,-0.0454451627999999,14.24,16.95,15.45
2021-12-06,53.127916666666685,0.092691511,29.48,22.37,42.93
2021-12-07,50.782916666666665,0.06806321032618454,17.1,22.36,37.84
2021-12-08,57.73708333333334,-0.029919207,11.17,20.77,17.96
2021-12-09,66.31,0.4010895073999999,13.86,17.37,20.55
2021-12-10,54.82666666666668,0.062859073,11.9,22.42,26.17
2021-12-11,48.16041666666667,0.1235405697999999,8.95,29.88,26.01
2021-12-12,157.9520833333333,0.3838574523999999,8.52,31.23,38.02
2021-12-13,97.82208333333335,0.1314306098,7.78,21.41,21.28
2021-12-14,66.46374999999999,0.1201834334,9.3,15.26,10.49
2021-12-15,50.942083333333336,-0.224359646,22.39,18.52,3.65
2021-12-16,66.6475,0.0203815184,29.61,24.72,26.37
2021-12-17,48.25041666666666,0.68730849,28.84,11.31,61.47
2021-12-18,40.44083333333333,-0.28798007,5.47,19.72,29.35
2021-12-19,52.26375,-0.654416502,6.94,15.65,40.13
2021-12-20,88.01583333333333,0.062876223,10.98,11.1,32.79
2021-12-21,66.85666666666667,-0.109999999,18.54,10.28,26.79
2021-12-22,92.70583333333332,-0.076149762,18.78,6.07,30.37
2021-12-23,61.3775,0.2142464592,14.09,5.78,26.73
2021-12-24,50.92166666666669,0.4684605,7.24,5.44,11.26
2021-12-25,98.00958333333332,-0.058735333,8.88,4.37,12.56
2021-12-26,26.668333333333333,0.1467956126,10.23,1.51,8.05
2021-12-27,65.36749999999999,0.1750520656,20.38,3.52,17.87
2021-12-28,91.03583333333331,0.1407857605999999,24.53,7.54,14.59
2021-12-29,76.17041666666667,0.3461705046,12.99,6.19,23.09
2021-12-30,62.33708333333334,-0.0704694138,8.84,7.39,15.88
2021-12-31,54.76625000000001,0.129721716,9.5,6.06,13.04
