date,open_SO2,sate_SO2,"DRM Office Danapur, Patna - BSPCB",Govt,"IGSC Planetarium Complex, Patna - BSPCB","Rajbansi Nagar, Patna - BSPCB","Samanpura, Patna - BSPCB"
2020-12-30,17.806249999999995,-0.1375236844,7.49,9.11,19.69,5.63,6.96
2020-12-31,17.540000000000003,0.363157511,7.22,8.74,20.43,5.91,8.12
2021-01-01,21.493333333333336,-0.105005197,7.1,8.46,20.41,5.96,7.09
2021-01-02,19.152916666666663,0.1110192807999999,7.44,8.78,20.07,6.23,7.65
2021-01-03,32.643750000000004,0.0109390121999999,10.43,10.07,20.92,8.3,10.1
2021-01-04,39.95541666666666,0.047294644,11.36,17.55,19.03,7.26,8.54
2021-01-05,24.93500000000001,0.0098122774,7.8,12.1,20.42,7.0,8.73
2021-01-06,16.555833333333336,-0.1021496104,11.33,11.46,20.42,6.17,9.21
2021-01-07,14.520416666666668,0.569999993,8.74,10.36,20.18,5.37,7.92
2021-01-08,19.5375,0.17169407,8.24,11.07,20.48,6.38,8.23
2021-01-09,13.913333333333334,-0.660000026,7.91,10.82,19.93,6.11,9.32
2021-01-10,11.58375,-0.639999986,7.53,10.65,20.57,6.44,9.17
2021-01-11,14.160833333333334,0.2850405872,7.81,9.41,20.53,5.98,6.72
2021-01-12,17.434583333333332,-0.029999999,4.79,8.07,21.82,4.03,5.85
2021-01-13,23.6575,0.2480342358,6.1,9.29,20.48,4.9,5.45
2021-01-14,26.22083333333333,0.0556559408,4.87,11.08,20.22,4.24,5.61
2021-01-15,21.352500000000006,-0.2096197779999999,4.35,5.14,22.77,4.03,5.66
2021-01-16,33.29916666666667,0.194887935,4.94,37.73,20.0,4.38,5.89
2021-01-17,30.47458333333334,-0.146493226,4.85,24.1,20.53,4.39,5.55
2021-01-18,30.05666666666666,-0.0065038486,5.51,5.96,20.45,4.46,6.05
2021-01-19,18.363333333333333,-0.1684799194,6.65,7.06,20.61,5.84,7.31
2021-01-20,17.499583333333334,-0.0016492179999999,6.49,8.03,20.57,5.6,6.29
2021-01-21,20.797083333333337,0.0730250104,4.61,6.85,20.68,4.98,6.15
2021-01-22,45.55291666666667,0.0142066985999999,4.56,7.81,20.5,5.14,6.62
2021-01-23,30.637083333333337,0.1398329066,4.42,6.2,20.58,4.45,5.65
2021-01-24,30.38375,0.094940685,5.24,7.0,20.58,5.8,6.95
2021-01-25,20.305,0.144022196,5.01,6.34,17.96,4.79,5.89
2021-01-26,15.372000000000003,0.629469275,4.81,6.02,15.27,4.56,5.69
2021-01-27,22.8275,0.1536685772,4.16,6.07,15.68,4.68,5.33
2021-01-28,27.477916666666676,-0.689121783,4.13,4.79,15.19,4.7,5.47
2021-01-29,18.100833333333338,0.2450078621999999,4.29,4.2,15.09,4.49,5.66
2021-01-30,13.021249999999997,-0.0458071322,4.32,1.71,15.63,3.96,5.93
2021-01-31,16.640000000000004,0.1805109306,6.74,3.5,25.4,5.77,5.71
2021-02-01,17.832500000000003,0.061213322,6.3,4.89,29.11,5.64,5.92
2021-02-02,23.68791666666667,0.39812696,7.6,5.23,21.28,7.24,6.91
2021-02-03,27.940416666666668,0.1018479004,6.73,5.15,16.08,5.68,8.34
2021-02-04,42.00166666666668,0.222170651,8.71,6.78,15.41,8.15,9.44
2021-02-05,27.622916666666665,0.1855019056,12.68,8.47,15.54,11.36,11.76
2021-02-06,13.702083333333333,0.0561490549999999,8.11,5.58,15.25,6.35,9.4
2021-02-07,16.020416666666673,-0.1379521372,6.26,2.97,17.72,5.94,9.02
2021-02-08,17.03666666666667,0.600572348,5.41,2.83,14.69,3.89,6.46
2021-02-09,24.576666666666668,0.295995831,9.5,8.71,16.56,7.45,9.33
2021-02-10,40.04458333333333,-0.040520307,7.5,8.14,15.36,5.71,7.98
2021-02-11,19.993333333333336,0.3360416,7.41,8.0,16.59,6.26,8.42
2021-02-12,19.16,0.0170527175999999,8.08,6.51,24.51,6.39,11.22
2021-02-13,23.79791666666667,0.579999983,7.42,6.29,15.34,5.93,14.27
2021-02-14,17.658749999999998,0.1799102486,7.69,6.29,15.06,6.21,10.7
2021-02-15,19.745,0.394651413,8.55,5.71,15.44,6.36,9.13
2021-02-16,33.01666666666666,-0.1899986288,9.41,4.95,15.74,6.85,8.01
2021-02-17,31.02583333333334,-0.121080123,18.76,5.91,16.45,17.2,9.83
2021-02-18,31.859583333333333,0.308544189,13.94,6.19,15.47,9.65,9.66
2021-02-19,26.629166666666663,0.1743900116,7.64,5.55,15.11,6.33,10.56
2021-02-20,15.441249999999998,0.747679472,5.98,4.13,15.37,6.48,9.27
2021-02-21,17.43541666666667,-0.000875257,10.67,3.79,15.21,7.64,7.92
2021-02-22,26.867083333333337,0.145912588,10.75,4.0,14.99,8.1,7.42
2021-02-23,21.4575,0.0710276364,10.74,14.05,16.6,8.72,7.55
2021-02-24,23.09625,-0.26978147,10.94,10.02,15.71,8.81,8.76
2021-02-25,20.796666666666667,0.439881384,9.71,7.71,16.92,8.75,8.08
2021-02-26,20.703333333333337,0.460416257,6.77,8.16,15.54,10.14,8.04
2021-02-27,15.845000000000004,0.045075961,8.25,7.4,15.32,10.52,7.57
2021-02-28,16.550416666666667,0.299173902,6.85,7.64,15.52,9.29,8.74
2021-03-01,18.03625,-0.17267637,6.92,7.46,15.52,8.81,8.46
2021-03-02,18.224166666666665,0.1874093611999999,8.28,7.02,16.2,8.6,6.19
2021-03-03,22.18291666666667,0.319708645,14.99,7.23,16.69,10.21,6.6
2021-03-04,21.432500000000005,-0.182967747,12.68,6.19,23.998,10.33,6.36
2021-03-05,19.59083333333333,-0.271244526,8.0,6.46,20.026000000000003,9.8,6.56
