date,open_SO2,sate_SO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2021-03-08,7.396666666666666,0.0219828751999999,2.84,4.8,4.04,8.09,4.55,7.81,6.5,5.47,4.85,3.74
2021-03-09,8.129999999999999,0.204992443,1.65,4.02,2.86,3.29,3.29,6.54,5.26,5.7,3.29,3.48
2021-03-10,7.948749999999999,-0.1079788414,4.21,4.0,3.63,5.67,5.76,7.31,4.56,6.89,5.67,3.39
2021-03-11,10.108333333333334,-0.234947115,5.09,5.92,6.54,26.66,5.66,8.26,7.14,6.21,26.66,4.35
2021-03-12,7.390833333333333,-0.1279879072,13.33,5.57,4.86,21.78,4.89,9.64,11.45,5.88,21.78,4.72
2021-03-13,5.368749999999999,0.0280151111999999,5.26,1.67,5.02,5.26,4.36,8.14,6.18,5.16,8.14,3.73
2021-03-14,6.53608695652174,0.040105771,3.62,4.98,2.11,3.62,4.94,7.46,6.97,5.35,7.46,3.8
2021-03-15,8.844583333333334,0.035022665,11.53,4.26,2.5,7.65,5.57,8.37,10.28,6.8,7.65,4.31
2021-03-16,8.806666666666667,0.195128426,13.32,4.41,5.56,3.01,5.59,8.4,6.02,5.45,3.01,3.55
2021-03-17,8.264999999999999,-0.340125918,7.76,4.81,5.22,6.42,5.41,7.46,6.16,5.92,6.42,3.41
2021-03-18,8.637500000000001,-0.0109501378,4.91,4.53,6.2,20.09,5.51,7.41,5.97,5.74,20.09,4.2
2021-03-19,9.800416666666669,0.1419456074,4.59,4.65,7.98,23.17,4.46,7.69,5.23,5.4,23.17,3.49
2021-03-20,14.091250000000002,0.0430125916,7.1,4.77,8.54,6.16,5.9,7.76,7.09,6.01,6.16,4.08
2021-03-21,9.7525,0.0359808614,4.13,5.29,6.66,4.13,5.35,7.56,6.3,5.64,7.56,3.77
2021-03-22,7.294999999999999,0.38503778,6.45,6.41,3.26,7.38,6.45,7.71,5.43,6.73,6.89,4.12
2021-03-23,7.407083333333333,0.175062969,5.45,4.35,1.65,8.55,5.21,7.42,5.23,4.72,7.98,3.49
2021-03-24,6.954583333333332,0.335012615,7.29,5.76,1.3,10.09,3.76,7.26,4.45,4.67,9.84,3.91
2021-03-25,6.325,-0.0430277036,6.46,4.38,2.86,9.08,4.7,7.44,6.16,5.0,5.07,4.0
2021-03-26,5.88375,-0.004048354,9.26,6.08,4.4,10.27,3.33,7.2,5.7,6.23,9.21,3.99
2021-03-27,5.4870833333333335,-0.09511333,10.71,3.94,2.83,8.75,5.16,7.96,8.14,5.84,3.57,4.45
2021-03-28,11.904583333333331,-0.0300513729999999,6.24,2.52,2.62,8.83,4.8,8.67,8.56,6.2,4.98,3.63
2021-03-29,11.255833333333332,-0.0140936838,10.7,3.84,3.35,9.33,4.96,7.56,7.19,6.26,4.23,4.05
2021-03-30,10.898333333333332,0.022280341921197003,11.15,1.9,2.21,8.68,5.11,7.72,6.14,5.19,6.62,3.51
2021-03-31,10.360416666666666,0.0569864017999999,9.81,4.3,4.58,9.1,4.15,7.35,7.24,5.55,14.01,3.89
