date,open_SO2,sate_SO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2020-12-28,15.91541666666667,-0.072181456,10.313,17.76,19.578333333333333
2020-12-29,15.985,0.0707148923999999,11.476,16.51,18.30666666666667
2020-12-30,16.514999999999993,-0.204778299,8.556000000000001,15.22,17.400000000000002
2020-12-31,18.870000000000005,0.006986393,11.852,12.62,18.313333333333336
2021-01-01,27.339166666666657,-0.24783659,14.331,17.84,19.03333333333333
2021-01-02,12.949583333333337,-0.0386535104,10.817,17.95,23.508000000000003
2021-01-03,9.825416666666666,-0.0544165317999999,11.05,19.84,21.245
2021-01-04,11.605833333333331,-0.0115280029999999,12.996,18.87,16.491666666666667
2021-01-05,12.400416666666665,0.061511522,11.692,19.2,17.991666666666667
2021-01-06,17.81958333333333,0.559394777,11.531,19.06,20.978
2021-01-07,11.979166666666666,0.0148005027999999,12.469,13.34,20.151666666666667
2021-01-08,15.772499999999996,0.061904583,14.658999999999995,14.36,19.723333333333333
2021-01-09,14.650833333333338,-0.0907775186,10.438999999999998,31.14,17.715
2021-01-10,13.380416666666669,-0.000775493,14.592,16.7,17.63
2021-01-11,16.16333333333333,0.0501720076,10.964,14.03,17.246666666666666
2021-01-12,16.472083333333334,-0.074794173,9.94,19.9,17.796666666666667
2021-01-13,21.5625,-0.118909083,11.162,26.34,17.52333333333333
2021-01-14,17.29583333333333,-0.1160536432,10.502,20.3,16.29
2021-01-15,21.8525,-0.170017943,11.685,24.7,16.919999999999998
2021-01-16,17.104166666666664,0.0883676266,12.580999999999998,32.71,16.904999999999998
2021-01-17,8.666249999999998,-0.0098276823999999,9.709,14.46,16.718333333333334
2021-01-18,14.35375,0.0913415945999999,10.505,16.94,13.118333333333334
2021-01-19,20.37250000000001,0.0986900528,12.714000000000002,16.94,15.308333333333332
2021-01-20,18.581666666666667,-0.239999995,13.448000000000002,15.0,15.22
2021-01-21,13.432500000000005,0.106993191,11.758,20.53,16.865
2021-01-22,15.441666666666665,-0.178895772,11.114,13.92,17.163333333333334
2021-01-23,10.698750000000002,0.0249502403999999,11.209,14.35,20.301666666666662
