date,open_NO2,sate_NO2,"Shrinath Puram, Kota - RSPCB"
2021-01-13,32.038333333333334,4912110000000000.0,20.77
2021-01-14,27.296666666666667,5633498000000000.0,22.14
2021-01-15,25.28375,5513440000000000.0,24.08
2021-01-16,20.52541666666667,5667636000000000.0,28.53
2021-01-17,8.943333333333333,4955940000000000.0,32.44
2021-01-18,13.391249999999998,8978710000000000.0,37.29
2021-01-19,22.431249999999995,5436814000000000.0,33.69
2021-01-20,30.01333333333334,6310450000000000.0,41.12
2021-01-21,21.55,4613970000000000.0,32.34
2021-01-22,19.645833333333336,6718220000000000.0,33.59
2021-01-23,10.107916666666666,5327838000000000.0,29.34
2021-01-24,14.40958333333333,3982580000000000.0,26.55
2021-01-25,18.6475,4536832000000000.0,38.38
2021-01-26,14.228,4558910000000000.0,32.89
2021-01-27,18.8925,4419270000000000.0,29.56
2021-01-28,18.07666666666667,5198536000000000.0,42.59
2021-01-29,23.31916666666667,5908950000000000.0,48.66
2021-01-30,21.81458333333333,5297800000000000.0,54.09
2021-01-31,24.1125,5101000000000000.0,50.7
2021-02-01,29.96083333333334,5607204000000000.0,57.66
2021-02-02,24.25625,5562710000000000.0,51.74
2021-02-03,25.319166666666664,6312810000000000.0,54.43
2021-02-04,9.545,6236578000000000.0,43.25
2021-02-05,18.401666666666667,5472630000000000.0,38.01
2021-02-06,17.7325,5214318000000000.0,44.49
2021-02-07,22.12833333333333,5436610000000000.0,40.54
2021-02-08,28.81125,4628706000000000.0,38.54
2021-02-09,31.242083333333337,5013460000000000.0,46.95
2021-02-10,21.211666666666662,4936798000000000.0,49.28
2021-02-11,28.519166666666667,4192020000000000.0,46.97
2021-02-12,22.00708333333333,5213910000000000.0,45.95
2021-02-13,14.356666666666667,5037708000000000.0,49.1
2021-02-14,17.8725,4391620000000000.0,50.16
2021-02-15,34.34708333333334,4678142000000000.0,42.98
2021-02-16,10.541666666666666,4294550000000000.0,42.03
2021-02-17,13.04625,5151392000000000.0,43.93
2021-02-18,13.742083333333332,5021630000000000.0,42.6
2021-02-19,11.93458333333333,5662900000000000.0,40.15
2021-02-20,11.839583333333332,5423238000000000.0,41.41
2021-02-21,16.230833333333333,6355140000000000.0,43.8
2021-02-22,21.0025,6092108000000000.0,41.54
2021-02-23,23.94458333333334,6065170000000000.0,39.52
2021-02-24,25.86875,4847628000000000.0,40.63
2021-02-25,10.352083333333336,4113060000000000.0,38.04
2021-02-26,8.16375,3485084600000000.0,34.17
2021-02-27,4.075833333333335,3542660000000000.0,29.74
2021-02-28,15.685416666666663,4306440000000000.0,35.35
2021-03-01,12.249166666666667,5051694000000000.0,40.06
2021-03-02,16.18125,4287010000000000.0,39.63
2021-03-03,22.217500000000005,5332558000000000.0,41.43
2021-03-04,10.030416666666667,5427180000000000.0,39.32
2021-03-05,11.688333333333338,5067452000000000.0,31.53
2021-03-06,4.610833333333334,6231250000000000.0,31.42
2021-03-07,2.728333333333333,4805860000000000.0,25.63
2021-03-08,6.3475,5974814000000000.0,29.01
2021-03-09,6.09625,6352330000000000.0,30.0
2021-03-10,15.030833333333332,5511230000000000.0,29.23
2021-03-11,9.247083333333334,4224280000000000.0,29.07
2021-03-12,8.287500000000001,3854394000000000.0,24.13
2021-03-13,9.99375,4340640000000000.0,24.61
2021-03-14,18.02043478260869,3959502000000000.0,26.89
2021-03-15,11.352916666666664,6794080000000000.0,39.28
2021-03-16,10.61125,6976580000000000.0,33.59
2021-03-17,13.077083333333333,3703532000000000.0,33.26
2021-03-18,9.409999999999998,5997150000000000.0,38.22
2021-03-19,10.477083333333336,4800244000000000.0,27.35
2021-03-20,7.9975,4389300000000000.0,34.96
2021-03-21,11.493333333333334,5622812000000000.0,30.44
2021-03-22,7.067916666666666,5180350000000000.0,26.37
2021-03-23,6.994166666666668,7222180000000000.0,21.81
2021-03-24,7.248333333333332,5143860000000000.0,20.11
2021-03-25,14.264583333333333,5462580000000000.0,23.96
2021-03-26,15.656666666666666,-280473000000000.0,27.8
2021-03-27,9.13875,4927760000000000.0,26.84
2021-03-28,8.659166666666666,5981908000000000.0,26.31
2021-03-29,3.77375,5630430000000000.0,19.54
2021-03-30,3.145,4313870000000000.0,17.97
2021-03-31,4.500000000000001,4748440000000000.0,14.76
2021-04-01,14.283333333333331,5141560000000000.0,32.28
2021-04-02,12.7475,6697420000000000.0,31.2
2021-04-03,6.861666666666667,4725560000000000.0,39.08
2021-04-04,10.788750000000002,4697080000000000.0,36.92
2021-04-05,6.359583333333333,5756920000000000.0,27.33
2021-04-06,3.789166666666667,4921806000000000.0,19.86
2021-04-07,11.82875,5141430000000000.0,25.16
2021-04-08,8.389583333333333,5712240000000000.0,26.21
2021-04-09,7.585416666666668,5226660000000000.0,23.81
2021-04-10,7.159583333333333,4703920000000000.0,25.09
2021-04-11,7.002499999999999,2892430000000000.0,25.54
2021-04-12,11.655,4983700000000000.0,32.14
2021-04-13,13.10125,5851692000000000.0,39.96
2021-04-14,4.129166666666666,4092340000000000.0,24.82
2021-04-15,6.37125,7050520000000000.0,29.28
2021-04-16,6.640833333333332,5973810000000000.0,18.73
2021-04-17,5.750416666666665,6206190000000000.0,19.72
2021-04-18,11.131666666666668,5638860000000000.0,25.46
2021-04-19,6.165833333333334,5171110000000000.0,22.6
2021-04-20,4.6762500000000005,4573862000000000.0,16.18
2021-04-21,8.415,5084010000000000.0,18.93
2021-04-22,15.85125,5198560000000000.0,24.64
2021-04-23,5.352916666666668,6040090000000000.0,17.0
2021-04-24,9.073333333333332,3649880000000000.0,29.89
2021-04-25,10.854166666666666,4832056000000000.0,39.24
2021-04-26,14.199166666666663,6215900000000000.0,37.77
2021-04-27,17.161250000000006,1918120000000000.0,37.21
2021-04-28,11.935000000000002,5671280000000000.0,34.6
2021-04-29,5.4075,5665614000000000.0,32.05
2021-04-30,9.943333333333332,6813160000000000.0,26.7
2021-05-01,6.262083333333334,4698000000000000.0,19.84
2021-05-02,8.91916666666667,5470488000000000.0,21.47
2021-05-03,11.702916666666669,6563980000000000.0,21.45
2021-05-04,3.557916666666667,4451850000000000.0,16.33
2021-05-05,6.573333333333333,3677310000000000.0,16.93
2021-05-06,4.5058333333333325,5425676000000000.0,18.55
2021-05-07,7.251249999999999,4180180000000000.0,16.84
2021-05-08,9.03,5768276000000000.0,27.18
2021-05-09,6.9729166666666655,4600630000000000.0,21.88
2021-05-10,8.119166666666667,5054080000000000.0,19.7
2021-05-11,9.18,5334984000000000.0,16.77
2021-05-12,6.952916666666667,3814980000000000.0,18.85
2021-05-13,9.679583333333332,5047650000000000.0,22.33
2021-05-14,14.657083333333333,5518950000000000.0,17.9
2021-05-15,4.962916666666666,4608084000000000.0,18.74
2021-05-16,7.3175,5781136000000000.0,15.85
2021-05-17,9.006666666666666,4888822000000000.0,16.17
2021-05-18,9.924583333333334,5213610000000000.0,14.27
2021-05-19,5.290833333333334,4998262000000000.0,14.53
2021-05-20,7.328333333333332,6585260000000000.0,18.2
2021-05-21,4.371666666666668,5234530000000000.0,20.61
2021-05-22,5.524583333333332,4757928000000000.0,13.77
2021-05-23,5.480416666666667,6187020000000000.0,12.63
2021-05-24,8.518333333333334,4699798000000000.0,14.13
2021-05-25,6.784583333333334,6009280000000000.0,16.84
2021-05-26,6.102083333333333,4782460000000000.0,11.74
2021-05-27,4.097499999999999,5330774000000000.0,13.27
2021-05-28,3.5020833333333337,5073150000000000.0,11.06
2021-05-29,3.60875,6670750000000000.0,10.83
2021-05-30,2.6525,4484600000000000.0,22.06
2021-05-31,3.702916666666667,4709764000000000.0,11.34
2021-06-01,4.730833333333332,5677610000000000.0,17.7
2021-06-02,12.977916666666664,4268250000000000.0,12.97
2021-06-03,9.91375,5342290000000000.0,11.94
2021-06-04,5.673749999999999,6391050000000000.0,13.55
2021-06-05,4.8375,1.24e+16,17.4
2021-06-06,4.602083333333334,4903970000000000.0,20.21
2021-06-07,3.4716666666666662,5505562000000000.0,16.39
2021-06-08,3.5758333333333336,5757460000000000.0,15.02
2021-06-09,3.4620833333333336,5381912000000000.0,14.17
2021-06-10,3.1754166666666666,5542890000000000.0,15.08
2021-06-11,3.6266666666666665,6165540000000000.0,14.08
2021-06-12,2.710833333333334,5179910000000000.0,13.65
2021-06-13,4.312083333333334,4454380000000000.0,14.99
2021-06-14,6.820416666666667,4180100000000000.0,14.58
2021-06-15,4.014166666666667,6232340000000000.0,15.16
2021-06-16,7.493333333333333,5093574000000000.0,15.88
2021-06-17,4.88625,5547950000000000.0,15.69
2021-06-18,6.288333333333333,4637320000000000.0,13.81
2021-06-19,5.400416666666665,5554828000000000.0,12.54
2021-06-20,5.266666666666668,4132860000000000.0,11.34
2021-06-21,4.9075,2296498000000000.0,11.52
2021-06-22,4.361250000000001,4762310000000000.0,12.41
2021-06-23,4.29375,4930350000000000.0,12.78
2021-06-24,4.167083333333333,5002860000000000.0,11.02
2021-06-25,4.979583333333333,4763892000000000.0,13.28
2021-06-26,4.397083333333334,5080220000000000.0,13.79
2021-06-27,3.6174999999999993,6944740000000000.0,24.34
2021-06-28,4.827083333333333,6018504000000000.0,29.1
2021-06-29,3.4620833333333336,4297420000000000.0,19.07
2021-06-30,3.60625,-668500000000000.0,14.52
2021-07-01,3.77625,3804240000000000.0,12.07
2021-07-02,3.876666666666667,5096824000000000.0,11.86
2021-07-03,3.1733333333333333,5584910000000000.0,11.14
2021-07-04,4.495416666666667,4114490000000000.0,18.62
