date,open_SO2,sate_SO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2021-01-25,33.84708333333332,0.035999997,3.77,3.12,3.77,11.74,3.46,3.46
2021-01-26,60.95150000000001,0.059999999,4.0,3.25,4.0,11.0,3.35,3.35
2021-01-27,28.9075,0.0119999996,2.23,3.22,2.23,11.04,1.39,1.39
2021-01-28,25.075,0.343999979,2.86,3.73,2.86,8.13,1.98,1.98
2021-01-29,30.190416666666668,-0.239999995,2.21,2.87,2.21,4.64,7.12,7.12
2021-01-30,35.250833333333325,0.3279999743999999,2.64,1.85,2.64,5.86,5.03,5.03
2021-01-31,25.867916666666662,0.0819999979999999,2.58,2.23,2.58,5.75,9.94,9.94
2021-02-01,40.75124999999999,0.1779999887999999,2.94,2.99,2.94,9.8,6.96,6.96
2021-02-02,46.87916666666667,-0.0620000012,5.7,4.95,5.7,7.04,4.08,4.08
2021-02-03,47.15708333333334,0.059999999,7.46,4.88,7.46,11.62,4.43,4.43
2021-02-04,34.867916666666666,0.109999999,7.38,4.89,7.38,5.76,2.31,2.31
2021-02-05,42.18083333333333,0.090000004,4.66,4.55,4.66,8.06,2.58,2.58
2021-02-06,31.252916666666675,-0.0839999951999999,7.07,2.87,7.07,7.59,3.74,3.74
2021-02-07,34.39166666666666,1.11000001,12.56,8.51,12.56,14.9,6.78,6.78
2021-02-08,51.39958333333334,-0.047999999,23.45,10.61,23.45,35.51,35.51,35.51
2021-02-09,59.18666666666666,-0.0719999962,10.41,6.79,10.41,12.45,7.54,7.54
2021-02-10,59.31666666666669,0.1319999976,11.07,3.53,11.07,9.43,3.27,3.27
2021-02-11,36.48333333333333,0.079999998,5.07,2.48,5.07,8.37,2.24,2.24
2021-02-12,32.22666666666667,0.209999993,5.13,2.47,5.13,7.13,2.36,2.36
2021-02-13,29.738333333333333,0.5639999788,6.54,2.91,6.54,6.37,2.03,2.03
2021-02-14,29.49999999999999,-0.039999999,5.12,2.07,5.12,5.64,3.64,3.64
2021-02-15,40.11916666666668,0.0780000023999999,4.18,3.04,4.18,4.92,2.12,2.12
2021-02-16,27.135833333333327,0.569999993,4.21,3.83,4.21,5.34,2.37,2.37
2021-02-17,22.00958333333333,0.0819999968,3.58,4.1,3.58,7.3,2.33,2.33
2021-02-18,26.782083333333333,0.0700000002,4.04,3.01,4.04,6.94,2.18,2.18
2021-02-19,26.116666666666664,-0.1760000024,3.12,4.18,3.12,14.32,3.36,3.36
2021-02-20,21.164166666666667,0.720000029,6.6,3.96,6.6,11.81,4.47,4.47
2021-02-21,27.061666666666667,0.0180000006,2.76,1.82,2.76,7.79,1.58,1.58
2021-02-22,48.54916666666666,0.0399999996,5.24,3.53,5.24,11.23,3.12,3.12
2021-02-23,56.17749999999999,-0.349999994,10.47,4.37,10.47,10.76,4.05,4.05
2021-02-24,61.27375,-0.0780000002,8.55,7.15,8.55,9.15,3.94,3.94
