date,open_NO2,sate_NO2,"DRM Office Danapur, Patna - BSPCB",Govt,"IGSC Planetarium Complex, Patna - BSPCB","Rajbansi Nagar, Patna - BSPCB","Samanpura, Patna - BSPCB"
2021-03-04,22.0075,5926202000000000.0,48.13,47.69,109.14,60.08,98.35
2021-03-05,28.26625,5995600000000000.0,49.95,49.52,59.328,52.19,105.99
2021-03-06,28.75208333333333,4977440000000000.0,46.81,50.08,66.65400000000001,54.08,111.29
2021-03-07,26.72041666666668,6504272000000000.0,35.43,46.81,68.47200000000001,40.03,113.88
2021-03-08,22.520416666666662,6926560000000000.0,19.23,44.43,50.282,36.05,122.86
2021-03-09,38.708333333333336,5846616000000000.0,35.72,46.58,59.82600000000001,50.36,102.36
2021-03-10,35.81791666666667,5672070000000000.0,49.4,51.65,69.85,55.73,115.96
2021-03-11,32.36708333333333,5184678000000000.0,34.47,45.18,76.024,49.14,122.73
2021-03-12,17.357916666666668,2970920000000000.0,19.71,46.1,60.35999999999999,42.14,83.12
2021-03-13,30.11208333333333,5912864000000000.0,18.16,47.52,65.93199999999999,38.41,41.49
2021-03-14,20.870434782608697,5728662000000000.0,24.02,46.22,55.516,45.06,46.97
2021-03-15,33.5525,4464560000000000.0,41.31,47.44,59.146,52.33,50.7
2021-03-16,31.25041666666667,6813154000000000.0,42.16,51.28,56.34599999999999,58.23,49.23
2021-03-17,32.47166666666667,6062900000000000.0,44.3,50.75,61.142,52.48,51.22
2021-03-18,25.78,5376738000000000.0,42.62,50.65,72.774,55.95,58.54
2021-03-19,13.719583333333334,6545160000000000.0,17.14,47.78,67.744,57.15,108.31
2021-03-20,14.827083333333334,5226342000000000.0,3.0,47.88,62.364,55.8,46.35
2021-03-21,18.648333333333333,6456450000000000.0,3.0,48.1,70.896,53.08,52.84
2021-03-22,36.95375,7107390000000000.0,3.0,45.4,55.968,51.69,57.63
2021-03-23,24.157083333333333,6833820000000000.0,4.02,52.77,57.646,62.37,53.74
2021-03-24,13.974583333333332,7099600000000000.0,4.38,42.05,54.776,43.37,37.82
2021-03-25,16.790416666666665,5315804000000000.0,3.68,33.38,39.720000000000006,42.71,37.48
2021-03-26,22.290000000000003,6274570000000000.0,8.97,36.18,51.192,52.06,40.45
2021-03-27,24.29583333333333,4978618000000000.0,10.77,41.83,56.97,56.73,76.59
2021-03-28,29.17166666666667,6282850000000000.0,12.44,41.95,99.89,46.21,54.52
2021-03-29,43.254583333333336,7223010000000000.0,13.24,28.19,113.0,36.63,45.24
2021-03-30,21.3925,9439550000000000.0,12.84,22.59,107.78,31.95,42.53
2021-03-31,21.577916666666663,7210480000000000.0,10.1,26.37,79.69,44.89,49.3
2021-04-01,15.526666666666667,4837230000000000.0,9.37,34.78,88.12,51.07,43.78
2021-04-02,26.986666666666665,6733390000000000.0,9.37,39.7,96.07,51.79,2.7
2021-04-03,22.138333333333332,5155334000000000.0,9.28,40.58,103.53,54.58,15.31
2021-04-04,27.854583333333338,5833820000000000.0,9.37,34.61,111.94,53.41,40.05
2021-04-05,28.89749999999999,7110240000000000.0,9.36,34.99,120.58,39.19,41.81
2021-04-06,21.6175,6883540000000000.0,9.44,27.37,107.33,32.76,35.91
2021-04-07,32.2875,6390820000000000.0,9.61,25.74,90.2,26.27,31.84
2021-04-08,18.59,7601690000000000.0,9.79,24.27,82.99,42.34,41.93
2021-04-09,47.797083333333326,4880444000000000.0,10.42,54.87,73.74,44.39,49.33
2021-04-10,19.47625,4895538000000000.0,10.49,43.12,85.29,59.73,62.42
2021-04-11,27.117500000000003,6294560000000000.0,10.49,42.55,102.9,56.43,52.83
2021-04-12,34.899166666666666,5892446000000000.0,13.35,52.34,107.17,61.36,57.98
2021-04-13,33.14458333333333,7145510000000000.0,14.85,45.31,91.94,58.85,53.0
2021-04-14,18.98333333333333,6811180000000000.0,13.66,42.61,89.81,56.9,55.14
2021-04-15,21.1,6680790000000000.0,12.69,32.44,66.89,41.44,47.51
2021-04-16,11.04625,9435780000000000.0,14.66,25.91,65.0,27.75,37.77
2021-04-17,17.320833333333336,7119260000000000.0,17.18,27.19,61.58,21.01,36.74
2021-04-18,11.580416666666666,6236950000000000.0,17.17,36.41,64.22,31.95,41.06
2021-04-19,15.6325,5307176000000000.0,17.16,44.39,79.36,43.26,44.75
2021-04-20,25.415,5987960000000000.0,47.06,50.21,91.2,48.39,47.06
2021-04-21,19.15375,4967950000000000.0,38.55,31.44,72.09,21.99,38.55
2021-04-22,21.524583333333336,4465620000000000.0,45.37,36.22,61.94,32.24,45.37
2021-04-23,27.74166666666667,6746050000000000.0,52.0,47.87,70.74,46.75,52.0
2021-04-24,13.718750000000002,7637420000000000.0,19.2,48.39,85.75,41.57,50.82
2021-04-25,23.122083333333336,7923480000000000.0,19.24,37.92,86.24,37.63,40.41
2021-04-26,42.09250000000001,5706850000000000.0,19.22,50.42,90.74,52.15,49.21
2021-04-27,44.05458333333334,7679050000000000.0,19.23,56.58,90.93,60.11,58.58
2021-04-28,15.416666666666666,7692868000000000.0,19.23,51.32,94.75,48.29,51.3
