date,open_NO2,sate_NO2,"Arumbakkam, Chennai - TNPCB",Gandhi Nagar,"Kodungaiyur, Chennai - TNPCB","Manali Village, Chennai - TNPCB","Manali, Chennai - CPCB","Perungudi, Chennai - TNPCB","Royapuram, Chennai - TNPCB",Velachery Res
2021-07-29,28.146666666666665,4384100000000000.0,0.78,9.53,9.67,12.77,12.77,4.12,31.05,3.74
2021-07-30,22.734583333333333,5145314000000000.0,0.92,9.32,12.21,12.8,12.8,6.47,28.93,5.66
2021-07-31,24.89791666666666,9876850000000000.0,0.7,9.56,8.19,12.6,12.6,5.09,23.59,11.12
2021-08-01,20.749583333333334,4690710000000000.0,0.79,9.45,9.51,12.53,12.53,4.14,21.01,10.41
2021-08-02,29.047083333333333,5803260000000000.0,0.66,9.52,9.03,12.79,12.79,4.2,16.23,9.6
2021-08-03,23.413750000000004,5170352000000000.0,0.64,9.64,8.23,12.83,12.83,3.63,21.13,7.72
2021-08-04,26.54083333333333,2992830000000000.0,0.61,9.72,10.6,12.77,12.77,4.93,39.64,7.76
2021-08-05,22.16333333333333,4620762000000000.0,0.62,9.8,7.44,12.84,12.84,4.75,17.6,7.88
2021-08-06,26.776666666666667,2823670000000000.0,0.53,9.84,8.06,12.79,12.79,4.23,21.33,7.72
2021-08-07,18.085416666666667,3234690000000000.0,0.46,9.71,7.75,12.82,12.82,3.28,9.3,7.72
2021-08-08,19.480000000000004,5141380000000000.0,0.43,9.53,6.89,12.76,12.76,3.04,12.79,7.73
2021-08-09,31.302916666666665,6435500000000000.0,0.48,9.98,7.34,12.79,12.79,3.13,16.38,7.75
2021-08-10,23.820000000000004,3695690000000000.0,0.61,9.98,9.72,12.83,12.83,5.47,28.29,7.74
2021-08-11,28.567916666666665,5559950000000000.0,0.71,10.11,11.15,12.8,12.8,4.98,26.27,7.67
2021-08-12,27.2625,5285998000000000.0,0.74,10.17,11.06,12.91,12.91,6.05,27.25,7.95
2021-08-13,36.30166666666666,3585520000000000.0,0.69,9.87,10.68,12.81,12.81,5.43,23.64,7.74
2021-08-14,23.22083333333333,4587202000000000.0,0.61,10.02,10.64,12.71,12.71,5.81,30.39,7.73
2021-08-15,27.51833333333333,4472512000000000.0,0.43,9.77,6.52,12.8,12.8,3.8,19.61,7.73
2021-08-16,41.085,2309638000000000.0,0.73,9.72,12.39,12.43,12.43,5.58,32.46,7.82
2021-08-17,28.774999999999995,5278470000000000.0,0.59,10.0,11.74,12.8,12.8,4.53,26.05,8.17
2021-08-18,31.145416666666662,4294860000000000.0,0.51,9.82,9.03,12.8,12.8,3.99,19.19,8.94
2021-08-19,31.05250000000001,4709300000000000.0,0.58,10.41,10.16,12.53,12.53,4.57,21.15,8.08
2021-08-20,22.605833333333337,4137010000000000.0,0.61,10.01,11.25,12.34,12.34,3.82,21.91,8.6
2021-08-21,18.97208333333333,3935006000000000.0,0.59,10.26,11.7,11.7,10.19,4.39,27.41,7.79
2021-08-22,18.607916666666668,2967520000000000.0,0.42,10.04,8.29,8.29,10.353636363636364,3.35,12.82,7.79
2021-08-23,22.84958333333334,5141100000000000.0,0.6,10.37,10.74,11.86,11.86,4.48,19.81,7.75
2021-08-24,21.642083333333336,5642510000000000.0,0.53,8.63,10.48,12.86,12.86,4.39,14.86,7.71
2021-08-25,27.72583333333333,3783780000000000.0,0.51,8.61,9.33,12.84,12.84,4.89,18.16,7.75
2021-08-26,32.8025,-2596120000000000.0,0.71,11.4,14.17,12.78,12.78,6.73,29.66,7.75
2021-08-27,33.56,4572104000000000.0,0.78,10.91,16.95,12.65,12.65,5.94,32.66,7.69
2021-08-28,23.780416666666664,4344764000000000.0,0.59,10.8,8.04,12.76,12.76,4.85,21.6,7.73
2021-08-29,23.135,4561264000000000.0,0.65,10.66,12.52,12.57,12.57,6.7,22.86,7.75
2021-08-30,31.92458333333334,4520848000000000.0,0.6,10.57,11.65,12.83,12.83,4.91,24.74,7.73
2021-08-31,38.76375,2080120000000000.0,0.58,10.44,12.39,12.75,12.75,4.74,24.34,7.72
2021-09-01,52.737916666666656,4320936000000000.0,0.63,10.4,13.03,12.6,12.6,5.49,28.1,7.73
2021-09-02,47.38958333333333,4094190000000000.0,0.71,10.06,13.93,13.0,13.0,7.61,29.71,7.68
2021-09-03,28.432500000000005,3921038000000000.0,0.69,10.04,15.41,12.56,12.56,7.54,25.82,7.7
2021-09-04,19.843333333333334,4262396000000000.0,0.68,9.96,12.06,12.8,12.8,4.55,26.12,7.71
2021-09-05,19.63625,4815108800000000.0,0.5,10.07,9.06,12.98,12.98,3.95,18.71,7.91
2021-09-06,26.6975,5414936000000000.0,0.66,10.06,10.49,12.94,12.94,4.98,26.88,7.75
2021-09-07,26.11916666666667,2754820000000000.0,0.59,10.06,11.93,13.0,13.0,3.53,22.07,7.77
2021-09-08,22.699166666666667,3680810000000000.0,0.59,9.79,13.7,13.2,13.2,3.88,14.27,7.74
2021-09-09,31.20208333333333,4472600000000000.0,0.68,9.82,12.35,12.97,12.97,3.91,21.05,7.88
2021-09-10,30.902916666666677,2341630000000000.0,0.58,9.6,11.27,13.3,13.3,4.81,18.48,8.33
2021-09-11,29.28291666666668,3355420000000000.0,0.53,9.45,12.63,13.12,13.12,3.83,16.92,7.74
2021-09-12,21.914166666666663,3817526000000000.0,0.51,9.62,10.66,12.8,12.8,3.61,13.26,8.86
2021-09-13,21.8,4390624000000000.0,0.54,9.24,11.56,12.79,12.79,3.63,16.75,8.27
2021-09-14,19.071666666666665,3899620000000000.0,0.5,9.05,11.04,12.47,12.47,2.73,16.2,7.78
2021-09-15,24.20583333333333,4238010000000000.0,0.49,9.48,10.72,12.5,12.5,2.56,13.14,7.72
2021-09-16,37.29333333333333,4315460000000000.0,0.5,9.38,12.78,12.85,12.85,3.85,20.17,7.67
2021-09-17,37.65375,4645320000000000.0,0.49,9.77,11.82,12.48,12.48,3.87,21.13,7.67
2021-09-18,31.387916666666676,3370450000000000.0,0.62,9.3,14.09,12.42,12.42,4.42,21.79,7.85
2021-09-19,22.75583333333334,4241100000000000.0,0.47,9.86,10.53,12.62,12.62,4.96,18.26,9.68
2021-09-20,24.89208333333333,4185818000000000.0,0.55,9.91,11.98,12.2,12.2,4.33,18.96,8.41
2021-09-21,42.68375,4190460000000000.0,0.53,9.86,12.53,15.5,15.5,5.56,23.63,7.75
2021-09-22,35.73666666666666,3552862000000000.0,0.57,9.55,12.53,11.4,11.4,4.41,24.59,7.71
2021-09-23,32.616666666666674,4996096000000000.0,0.65,9.89,14.97,12.51,12.51,3.82,23.02,7.92
2021-09-24,37.52125,4702820000000000.0,0.68,9.79,15.37,12.75,12.75,6.87,22.09,7.75
2021-09-25,34.69541666666665,4800120000000000.0,0.66,9.8,16.1,12.7,12.7,6.32,24.64,7.78
2021-09-26,28.396666666666665,3999500000000000.0,0.54,9.76,11.56,12.88,12.88,4.78,19.51,8.4
2021-09-27,24.74791666666667,-1.16e+16,0.6,9.85,12.81,12.81,12.81,3.91,19.44,8.73
2021-09-28,29.174999999999997,5016200000000000.0,0.56,9.9,12.79,11.96,11.96,4.79,20.24,7.77
2021-09-29,34.03791666666667,4336098000000000.0,0.67,9.59,14.54,11.38,11.38,8.75,26.82,7.76
2021-09-30,76.05666666666666,3837270000000000.0,0.68,9.96,17.03,11.0,11.0,8.18,27.88,7.81
2021-10-01,29.15458333333333,4768450000000000.0,0.54,9.87,11.34,11.81,11.81,4.98,12.35,7.76
2021-10-02,19.98,4422070000000000.0,6.88,9.76,6.88,11.32,11.32,2.4,9.35,7.74
2021-10-03,21.235416666666666,3776820000000000.0,6.74,9.65,6.74,12.33,12.33,2.86,8.31,8.65
2021-10-04,30.667083333333338,3907520000000000.0,0.16,9.65,7.56,10.92,10.92,5.17,9.43,8.31
2021-10-05,25.79083333333333,4011564000000000.0,0.14,10.13,10.24,11.19,11.19,6.79,16.82,8.0
2021-10-06,22.08541666666667,3657592000000000.0,0.11,9.94,12.11,10.94,10.94,5.73,12.63,8.94
2021-10-07,32.01666666666667,5121920000000000.0,0.11,9.96,11.34,10.77,10.77,2.46,11.72,7.76
2021-10-08,32.845,3782220000000000.0,0.12,9.76,15.88,10.86,10.86,5.22,20.4,7.57
2021-10-09,25.49833333333333,7670550000000000.0,0.48,9.66,15.05,11.01,11.01,6.39,15.05,7.72
2021-10-10,33.365833333333335,4963420000000000.0,0.49,9.68,16.67,11.02,11.02,7.37,16.67,7.97
2021-10-11,51.50958333333333,4206560000000000.0,0.42,9.57,16.05,11.15,11.15,5.95,16.05,8.33
2021-10-12,54.20833333333332,1.01e+16,0.47,9.57,14.98,11.35,11.35,5.82,14.98,7.71
2021-10-13,45.24708333333333,2001830000000000.0,0.49,9.4,11.96,10.98,10.98,6.7,11.96,7.7
2021-10-14,47.517083333333325,6702800000000000.0,0.51,9.1,13.34,13.34,20.540000000000003,6.2,35.6,7.77
2021-10-15,44.555,3967240000000000.0,0.1,9.27,16.72,16.72,18.68416666666667,6.77,19.17,7.65
2021-10-16,29.49625,2823530000000000.0,0.1,9.16,13.87,13.87,17.553846153846152,4.04,13.87,7.73
2021-10-17,33.37291666666668,5088710000000000.0,0.1,9.09,12.17,9.36,9.36,5.69,12.17,9.38
2021-10-18,36.93583333333333,4119270000000000.0,0.1,9.14,16.76,11.32,11.32,7.82,16.76,9.4
2021-10-19,49.69499999999999,5811200000000000.0,0.1,9.14,14.89,10.63,10.63,4.42,14.89,7.72
2021-10-20,66.54583333333333,4915040000000000.0,14.86,9.16,14.86,10.06,10.06,7.31,13.93,7.74
2021-10-21,41.78499999999998,5174900000000000.0,14.79,9.16,14.79,11.19,11.19,7.48,14.79,7.65
2021-10-22,37.5575,4348042000000000.0,10.88,9.16,10.88,11.06,11.06,5.41,8.66,9.1
2021-10-23,30.53166666666668,5547634000000000.0,10.2,9.09,10.2,11.35,11.35,4.82,13.3,8.5
2021-10-24,35.187083333333334,4248320000000000.0,0.65,9.15,10.48,11.12,11.12,7.79,17.82,7.72
2021-10-25,38.38541666666666,2260840000000000.0,0.78,9.18,16.99,10.68,10.68,7.73,17.52,7.73
2021-10-26,45.73291666666666,5988750000000000.0,0.57,9.14,15.96,11.19,11.19,7.77,13.69,7.77
2021-10-27,24.60666666666667,5916852000000000.0,0.38,9.07,18.81,11.07,11.07,5.57,29.32,7.72
2021-10-28,26.49625,5179536000000000.0,0.44,10.15,13.62,10.69,10.69,8.66,44.24,7.64
2021-10-29,23.69125,4333192000000000.0,0.63,9.79,12.12,4.83,11.31,9.38,27.03,7.93
2021-10-30,20.75333333333333,4761550000000000.0,0.72,9.63,12.13,2.99,11.02,8.17,17.81,9.42
2021-10-31,18.12125,5473984000000000.0,0.54,9.51,9.57,1.52,11.32,5.42,14.63,9.35
2021-11-01,27.661666666666672,5329434000000000.0,0.45,9.64,9.41,1.62,11.09,4.72,32.39,8.47
2021-11-02,27.45416666666667,5737834000000000.0,1.39,9.43,10.44,3.41,11.43,5.97,14.17,7.78
2021-11-03,26.325833333333332,4575386000000000.0,0.89,14.28,11.39,5.9,11.13,8.02,25.93,8.08
2021-11-04,26.761249999999997,4625784000000000.0,1.38,19.47,9.28,4.62,18.99,7.7,25.95,9.99
2021-11-05,25.246250000000003,5850906000000000.0,0.9,15.0,7.45,3.79,23.36,7.26,16.68,14.55
2021-11-06,25.290000000000003,3588230000000000.0,0.43,9.6,8.18,3.31,17.41,5.02,14.51,15.26
2021-11-07,18.167600000000004,4213934000000000.0,0.4,9.41,7.18,3.72,18.42,5.54,24.61,16.15
2021-11-08,22.862916666666667,4988178000000000.0,0.67,9.55,15.11,2.86,17.45,5.93,52.5,14.61
2021-11-09,24.661666666666672,3549380000000000.0,0.31,12.77,9.07,2.06,17.05,5.38,48.4,14.34
2021-11-10,21.255833333333328,4519754000000000.0,0.35,15.5,9.39,3.5,16.55,4.42,29.35,14.49
2021-11-11,27.325,985662000000000.0,1.1,15.47,8.38,3.13,18.28,1.41,9.01,14.38
2021-11-12,41.03541666666666,5578702000000000.0,1.4,15.45,10.69,15.94,15.94,5.36,30.04,14.56
2021-11-13,41.342083333333335,1385680000000000.0,1.4,15.76,17.04,16.61,16.61,6.85,28.15,14.44
2021-11-14,58.006250000000016,3950432000000000.0,13.22,15.48,13.22,16.01,16.01,5.79,19.21,14.35
2021-11-15,74.37083333333334,1730494000000000.0,1.35,15.31,15.79,16.74,16.74,8.71,27.16,14.42
2021-11-16,39.79875,4136068000000000.0,1.76,15.53,10.56,15.6,15.6,8.95,16.8,14.42
2021-11-17,23.626666666666665,6319518000000000.0,0.64,15.55,9.97,32.74,15.61,6.48,16.17,14.44
2021-11-18,13.620416666666664,5679570000000000.0,0.33,15.46,8.97,29.74,15.71,3.1,10.98,14.47
2021-11-19,17.986666666666668,6503476000000000.0,0.43,15.63,9.11,22.73,15.61,3.01,13.62,14.45
2021-11-20,24.990833333333335,5145048000000000.0,0.51,15.71,10.67,23.42,15.32,3.67,15.05,14.53
2021-11-21,43.52708333333334,3594444000000000.0,0.89,15.62,10.17,33.61,15.08,6.12,18.92,14.42
2021-11-22,27.43958333333333,4759730000000000.0,1.12,16.0,11.55,25.5,15.1,8.43,16.4,14.49
2021-11-23,24.34083333333333,3707824000000000.0,0.69,15.52,9.91,31.17,16.57,4.9,11.42,14.53
2021-11-24,26.32583333333333,6750500000000000.0,0.51,15.62,9.7,18.5,15.25,4.63,8.47,14.45
2021-11-25,19.53875,4074600000000000.0,0.4,15.3,15.16,43.83,15.53,3.85,8.02,18.44
2021-11-26,21.850000000000005,4513836000000000.0,0.45,15.5,12.88,19.57,15.57,5.35,13.27,22.65
2021-11-27,21.424166666666665,2141668000000000.0,0.52,15.41,10.46,4.24,15.94,4.26,3.44,14.37
2021-11-28,18.16541666666667,3393664800000000.0,0.46,15.68,7.03,8.26,16.35,4.88,15.0,15.33
2021-11-29,35.46541666666666,2674760000000000.0,1.04,15.38,13.06,7.73,16.22,8.81,29.07,16.83
2021-11-30,58.342083333333335,3521964000000000.0,0.6,15.44,8.0,16.8,16.8,2.97,13.86,14.38
2021-12-01,21.141250000000003,4257690000000000.0,0.28,15.39,8.31,15.55,15.55,2.29,8.94,14.7
2021-12-02,29.33125,4255948000000000.0,0.42,15.23,11.02,5.6,15.65,4.51,11.4,14.54
2021-12-03,35.80083333333334,2454640000000000.0,0.3,15.32,11.94,6.57,15.56,9.19,21.21,14.58
2021-12-04,47.432500000000005,5320658000000000.0,0.87,15.43,17.24,28.36,15.56,10.92,21.92,14.48
2021-12-05,36.27791666666666,5218290000000000.0,0.93,15.57,19.73,18.99,16.17,8.2,19.34,14.46
2021-12-06,82.99666666666668,7194140000000000.0,0.54,15.49,16.1,5.49,15.9,6.67,16.09,14.54
2021-12-07,40.15583333333333,3863396000000000.0,0.73,15.46,19.42,4.76,16.27,10.09,16.08,14.44
2021-12-08,31.88083333333333,4099640000000000.0,0.63,15.36,12.29,3.41,15.62,4.49,11.08,14.5
2021-12-09,38.962916666666665,4938344000000000.0,0.35,15.5,8.43,2.38,15.69,3.05,12.86,14.55
2021-12-10,21.50583333333333,4209140000000000.0,0.41,15.7,11.56,2.73,15.62,3.59,12.57,14.65
2021-12-11,15.519166666666669,5410334000000000.0,0.36,15.53,8.59,5.01,15.08,4.12,10.5,14.47
2021-12-12,16.361250000000002,3137530000000000.0,0.29,15.41,8.63,2.86,15.09,2.9,5.81,14.54
2021-12-13,29.989166666666662,4126190000000000.0,0.25,15.6,7.7,3.54,15.12,2.39,10.94,14.49
2021-12-14,16.111666666666665,5081210000000000.0,0.39,15.66,7.8,7.42,15.1,2.06,5.61,14.41
2021-12-15,19.192916666666672,5381110000000000.0,0.49,15.44,14.49,8.48,15.13,5.33,9.02,14.43
2021-12-16,22.763333333333332,4642634000000000.0,0.57,15.36,15.04,5.43,15.09,7.46,15.68,14.53
2021-12-17,24.12625,5063364000000000.0,0.53,15.37,14.88,4.89,15.1,8.38,30.52,14.46
2021-12-18,19.42541666666667,4062764000000000.0,0.35,15.72,14.79,4.36,15.07,10.0,29.81,14.58
2021-12-19,23.56916666666666,3660680000000000.0,0.47,15.48,14.85,5.93,15.12,7.1,20.57,14.46
2021-12-20,46.05333333333332,5152364000000000.0,0.48,15.59,15.82,5.98,15.15,10.08,38.29,14.4
2021-12-21,50.06,5854780000000000.0,0.49,15.29,16.78,3.68,15.13,9.84,27.76,14.5
2021-12-22,58.23499999999999,1.01e+16,1.14,15.57,20.34,6.47,15.17,11.72,33.01,14.47
2021-12-23,65.74583333333335,5932294000000000.0,1.4,15.51,21.61,4.66,15.09,13.71,40.72,14.54
2021-12-24,58.37749999999999,6961430000000000.0,1.33,15.46,17.21,3.89,15.13,10.92,34.86,15.8
2021-12-25,51.54458333333333,4459720000000000.0,1.62,15.24,16.19,1.04,15.18,9.77,24.48,20.36
2021-12-26,59.18541666666666,4623010000000000.0,0.9,15.34,14.72,16.0,16.0,8.65,24.96,20.26
2021-12-27,40.37708333333334,4863996000000000.0,0.52,15.4,14.87,5.21,16.23,9.68,25.86,19.33
2021-12-28,38.84166666666667,5102260000000000.0,0.35,15.21,12.96,2.58,15.97,7.96,24.56,19.36
2021-12-29,27.72916666666666,6338490000000000.0,0.47,15.41,11.56,7.64,16.24,6.53,18.47,17.4
2021-12-30,20.15625,3580688800000000.0,0.93,15.39,12.94,6.61,15.86,5.25,20.89,14.5
2021-12-31,20.72541666666667,5199790000000000.0,0.7,15.34,10.12,7.48,16.01,5.88,7.18,14.46
