date,open_SO2,sate_SO2,"Arumbakkam, Chennai - TNPCB",Gandhi Nagar,"Kodungaiyur, Chennai - TNPCB","Manali Village, Chennai - TNPCB","Manali, Chennai - CPCB","Perungudi, Chennai - TNPCB","Royapuram, Chennai - TNPCB",Velachery Res
2021-08-07,23.31083333333333,0.07,17.4,2.17,13.17,4.61,4.61,2.43,4.09,10.63
2021-08-08,28.317499999999995,-0.0850276984,18.48,2.2,13.64,3.12,3.12,7.72,6.22,11.62
2021-08-09,45.01166666666668,0.190075547,17.54,2.08,14.58,4.83,4.83,6.84,7.83,9.82
2021-08-10,30.55708333333333,0.270000011,16.04,2.14,12.86,7.51,7.51,3.59,4.77,9.47
2021-08-11,37.16458333333333,0.1970176298,17.09,2.15,13.48,11.84,11.84,3.85,6.16,9.33
2021-08-12,44.17250000000001,-0.0700130856,14.86,2.03,13.31,11.61,11.61,3.71,3.76,10.91
2021-08-13,41.79375,0.0279999984,15.24,2.3,14.34,11.87,11.87,2.87,4.94,10.42
2021-08-14,27.338750000000005,0.4099577006,20.34,2.15,12.27,9.27,9.27,4.15,5.59,11.09
2021-08-15,27.36916666666666,0.0639677636,17.04,2.06,13.27,7.93,7.93,4.23,2.83,11.47
2021-08-16,35.812916666666666,-0.0050518809999999,17.92,1.94,12.01,7.6,7.6,2.92,2.63,10.78
2021-08-17,30.54166666666667,0.0519526558,16.74,2.13,13.08,3.6,3.6,4.17,3.69,10.35
2021-08-18,24.989166666666662,0.0840413034,16.41,2.1,12.5,3.67,3.67,5.47,4.56,10.28
2021-08-19,30.265000000000004,0.0679445951999999,18.09,1.77,12.92,1.27,1.27,3.23,3.3,11.1
2021-08-20,29.49916666666667,0.175994964,17.36,2.08,11.82,1.46,1.46,4.24,3.23,10.51
2021-08-21,15.969166666666668,-0.0259657511999999,17.17,2.13,12.96,2.83,2.83,5.6,3.84,11.41
2021-08-22,21.75166666666667,0.1600020156,17.32,1.91,12.44,3.99,3.99,4.71,3.72,9.3
2021-08-23,25.541666666666668,0.459869057,17.65,2.04,12.11,12.31,12.31,5.1,2.69,9.93
2021-08-24,24.745833333333334,0.3610125936,17.05,6.9,12.01,2.5,2.5,6.36,2.63,10.67
2021-08-25,32.082083333333344,0.179964736,17.83,5.16,11.89,4.24,4.24,9.65,2.93,10.24
2021-08-26,49.48791666666668,0.2770095738000001,17.32,2.18,13.05,3.21,3.21,3.39,2.9,11.14
2021-08-27,43.830000000000005,0.033041803,17.42,2.19,14.42,10.71,10.71,2.26,3.19,11.0
2021-08-28,23.22125,0.0719597073999999,15.85,2.1,12.69,9.51,9.51,3.88,2.59,10.71
2021-08-29,19.480833333333337,0.213020655,16.86,2.07,12.39,9.4,9.4,3.35,2.82,9.17
2021-08-30,28.198750000000004,0.0080664865999999,15.85,2.03,11.82,10.06,10.06,3.19,3.35,10.22
2021-08-31,45.14583333333334,0.035067998,17.25,1.96,12.67,12.0,12.0,3.03,2.85,10.69
2021-09-01,56.630416666666655,-0.0470428115999999,17.74,2.15,12.3,9.42,9.42,3.51,2.92,10.31
2021-09-02,53.89291666666667,-0.0059727996,17.43,2.05,12.46,8.98,8.98,3.91,2.8,10.26
2021-09-03,33.29958333333333,0.0629652442,17.44,2.14,12.49,9.16,9.16,6.18,4.35,11.87
2021-09-04,16.198749999999997,0.250015109,18.08,2.03,12.32,10.26,10.26,4.5,2.91,8.26
2021-09-05,18.332916666666662,-0.1119476131999999,16.96,2.21,11.73,7.29,7.29,2.77,3.25,3.7
2021-09-06,22.357083333333332,-0.1229924434,17.22,2.11,12.01,3.55,3.55,3.98,2.62,4.41
2021-09-07,20.13791666666667,0.1620040324,16.95,2.0,12.41,6.1,6.1,3.92,2.64,5.77
2021-09-08,21.258333333333336,0.3429994985999999,18.72,2.16,11.89,4.29,4.29,4.64,2.38,5.99
2021-09-09,25.25916666666667,0.0670176235999999,17.15,2.08,12.52,5.01,5.01,4.75,0.99,5.89
2021-09-10,26.255416666666672,0.3609360338,13.35,2.06,12.63,8.06,8.06,2.88,12.63,4.53
2021-09-11,22.200416666666666,0.177016619,11.14,1.91,14.09,10.11,10.11,6.05,14.09,6.67
2021-09-12,16.804166666666664,0.2189571918,15.26,2.02,12.56,9.79,9.79,3.72,12.56,5.31
2021-09-13,16.222083333333337,0.1830236772,12.81,2.12,12.15,6.65,6.65,4.25,12.15,7.09
2021-09-14,19.247499999999995,0.1389652432,15.8,2.22,13.12,3.33,3.33,3.73,13.12,7.9
2021-09-15,29.83750000000001,0.0869733068,19.61,1.88,12.27,3.46,3.46,7.84,12.27,7.48
2021-09-16,47.31125,-0.629999995,18.29,2.12,12.89,7.9,7.9,3.7,12.89,8.37
2021-09-17,52.79999999999999,0.26495719,23.8,2.29,12.35,6.58,6.58,9.48,12.35,7.39
2021-09-18,23.43458333333333,-0.0529924454,20.23,2.3,13.65,2.34,2.34,8.58,13.65,7.71
2021-09-19,20.82208333333333,0.1469380482,19.32,2.19,11.92,2.96,2.96,4.4,11.92,5.49
2021-09-20,32.623333333333335,-0.060018134,18.03,2.09,13.05,6.21,6.21,4.02,3.13,7.31
2021-09-21,37.74416666666668,0.0140795841999999,17.44,2.25,13.0,7.02,7.02,4.98,3.41,7.25
2021-09-22,35.236666666666665,-0.1500060423999999,16.6,2.28,12.09,10.4,10.4,3.66,4.03,7.37
2021-09-23,32.29624999999999,0.5700181242,18.26,2.06,12.61,9.16,9.16,4.97,2.81,6.72
2021-09-24,48.04250000000001,0.769999981,18.6,2.2,12.67,11.34,11.34,4.77,3.47,8.98
2021-09-25,45.68208333333334,-0.0250156112,18.89,2.06,12.73,11.91,11.91,3.63,2.48,8.1
2021-09-26,30.09166666666667,0.1300302252,16.96,2.09,13.97,10.69,10.69,4.15,4.2,5.22
2021-09-27,25.66791666666667,-0.0300322415999999,18.94,2.11,12.97,9.17,9.17,4.25,1.84,6.2
2021-09-28,26.1925,0.129999995,17.58,2.16,13.57,6.45,6.45,3.58,4.02,7.3
2021-09-29,37.71041666666667,-0.1260413006,18.13,2.17,13.64,11.23,11.23,3.08,10.57,7.66
2021-09-30,84.02291666666666,0.3210146146,18.23,2.19,13.07,14.2,14.2,2.72,4.02,7.74
2021-10-01,33.86666666666667,-7.999999995789154e-10,17.78,2.19,13.1,2.13,2.13,2.05,3.76,8.11
2021-10-02,27.279166666666672,-0.200035259,12.5,2.17,12.5,2.41,2.41,1.9,4.31,7.27
2021-10-03,30.5175,0.200000003,13.2,2.11,13.2,13.2,11.6575,1.59,3.95,4.96
2021-10-04,43.62125,-0.414982349,17.22,2.06,12.04,3.56,3.56,2.89,2.54,6.11
2021-10-05,29.55875,0.0699083252,16.44,2.1,13.75,2.89,2.89,4.24,3.59,7.17
2021-10-06,22.66,0.0910256864,16.0,1.96,13.0,6.23,6.23,7.58,3.16,7.47
2021-10-07,31.142916666666665,0.0620382788,19.65,2.15,13.4,5.94,5.94,5.75,3.81,6.99
2021-10-08,35.475,0.0350256874,17.45,2.12,10.59,4.64,4.64,4.45,2.82,8.28
2021-10-09,33.19500000000001,-0.0710065436,16.76,2.11,13.51,7.09,7.09,2.82,9.58,7.44
2021-10-10,48.900416666666665,-0.1460000023999999,17.68,2.2,12.81,13.42,13.42,3.44,3.75,6.61
2021-10-11,58.894583333333344,-0.0010307237999999,18.28,2.33,13.25,13.43,13.43,4.03,4.18,7.87
2021-10-12,43.382500000000014,-0.110015109,18.09,2.36,15.24,6.39,6.39,2.82,4.61,7.59
2021-10-13,33.34958333333334,0.104922934,19.21,2.15,13.18,7.33,7.33,4.05,4.11,10.32
2021-10-14,47.01416666666666,0.3099879118,18.35,2.11,11.92,11.92,11.79,4.16,5.38,9.52
2021-10-15,38.86208333333333,0.3639455974,17.04,2.21,11.94,11.94,13.185454545454546,2.96,4.21,10.32
2021-10-16,24.179583333333337,0.0749894198,19.56,2.22,11.29,11.29,12.421666666666669,9.91,3.3,8.81
2021-10-17,28.546666666666663,0.1810256854,20.97,2.31,42.91,4.66,4.66,4.99,5.24,5.39
2021-10-18,37.302916666666654,0.1159254566,17.58,2.2,27.69,10.06,10.06,3.28,4.17,7.46
2021-10-19,46.42708333333332,0.052006039,18.83,2.88,13.16,12.52,12.52,4.72,4.32,9.12
2021-10-20,58.70083333333333,-0.0691072833999999,18.1,2.3,13.53,4.19,4.19,3.21,6.63,9.34
2021-10-21,36.0025,0.270000011,16.65,2.16,13.3,5.27,5.27,3.35,5.2,8.0
2021-10-22,37.15416666666667,0.0989773414,15.91,2.21,13.21,8.6,8.6,3.46,4.44,5.37
2021-10-23,31.436666666666667,-0.0310538925999999,16.06,2.33,13.44,11.5,11.5,2.87,3.25,6.93
2021-10-24,35.583333333333336,0.227984883,19.7,2.28,12.9,7.2,7.2,7.06,3.19,5.33
2021-10-25,28.699583333333333,0.2479969802,30.27,2.35,17.43,4.15,4.15,4.91,7.56,6.41
2021-10-26,32.831250000000004,0.1290579258,32.28,2.24,16.06,4.26,4.26,4.9,5.21,5.58
2021-10-27,27.895416666666662,0.2530397923999999,27.97,1.96,18.17,5.97,5.97,8.64,3.85,7.89
2021-10-28,30.717083333333324,0.0959466074,24.12,2.27,13.36,5.91,5.91,8.46,2.69,10.08
2021-10-29,27.672083333333333,0.0450921684,19.49,2.18,13.97,9.11,2.5,7.33,3.03,10.15
2021-10-30,23.245416666666667,0.1860372713999999,22.41,2.2,15.19,8.22,4.4,7.92,3.3,3.16
2021-10-31,20.578333333333333,0.1689148766,19.09,2.14,13.73,4.16,5.45,5.0,2.55,1.27
2021-11-01,25.67,0.1919929506,16.88,2.23,11.84,4.55,11.98,5.34,4.74,2.59
2021-11-02,25.387499999999992,0.1810015038,19.14,2.18,13.9,5.52,17.88,3.53,4.7,5.18
2021-11-03,44.84333333333333,0.1569461064,21.43,2.34,14.77,6.53,15.98,8.13,3.07,4.28
2021-11-04,39.41916666666666,0.2160090598,27.68,2.23,20.7,7.48,36.4,19.3,5.65,18.22
2021-11-05,42.50833333333333,-0.1500292181999999,21.01,2.29,14.91,7.28,13.02,12.13,2.98,31.81
2021-11-06,28.390833333333333,0.1550186436,19.78,2.16,16.69,6.91,18.01,6.47,3.29,16.44
2021-11-07,18.016000000000005,0.3089833845999999,17.99,2.2,14.26,6.89,18.3,5.34,3.09,18.66
2021-11-08,25.054166666666674,0.0920000018,18.95,2.22,13.76,7.26,7.81,3.18,4.06,15.37
2021-11-09,27.328333333333337,0.2619808454,18.28,2.32,13.45,7.95,8.04,4.53,2.43,4.81
2021-11-10,24.83,0.2559999988,19.53,2.4,12.72,8.21,17.81,4.94,2.93,5.81
2021-11-11,22.005416666666665,-0.1840231725999999,15.78,2.43,13.56,9.42,15.91,1.72,2.44,10.57
2021-11-12,28.33166666666668,0.0150135985999999,15.91,2.4,18.41,18.41,18.41,4.97,3.05,8.67
2021-11-13,35.04333333333333,-0.0849813624,18.0,2.36,13.24,9.79,9.79,5.45,3.04,4.95
2021-11-14,69.1325,0.227011576,12.75,2.5,12.75,9.81,9.81,3.71,3.46,5.07
2021-11-15,86.38791666666668,0.0239989958,20.55,2.31,12.71,12.31,12.31,3.79,4.02,5.05
2021-11-16,44.852083333333326,-0.0890226648,18.29,2.81,13.27,3.57,3.57,5.12,3.56,5.59
2021-11-17,24.77666666666666,0.6050659742,17.56,2.54,13.17,8.7,5.05,4.33,2.38,4.26
2021-11-18,13.195833333333336,0.2399949526,17.7,2.5,13.98,8.91,6.54,2.95,3.33,3.91
2021-11-19,14.861666666666666,0.0860060416,18.09,1.99,14.29,8.47,6.82,3.1,3.09,4.36
2021-11-20,22.843333333333334,0.4330367606,17.93,2.34,30.4,8.78,7.44,2.26,5.42,2.09
2021-11-21,38.84291666666666,0.305835797,22.52,2.46,9.58,9.58,8.42,4.29,3.25,4.38
2021-11-22,36.05083333333332,0.239999995,18.2,2.66,22.01,8.97,7.24,6.93,2.99,4.11
2021-11-23,26.02791666666667,0.1280000015999999,29.0,2.68,14.2,8.78,7.13,4.62,4.12,3.44
2021-11-24,23.280833333333334,0.3309733064,17.57,4.4,13.13,8.85,7.06,4.01,5.68,4.01
2021-11-25,20.81208333333334,0.2930367633999999,18.67,2.91,27.48,8.01,5.26,4.16,3.03,4.16
2021-11-26,19.665,0.1890065471999999,16.48,2.68,13.36,8.92,4.02,3.05,2.46,3.05
2021-11-27,17.593749999999996,0.0349843852,17.28,2.78,14.03,8.71,3.61,3.89,2.87,3.89
2021-11-28,16.83291666666667,0.1350276946,16.73,3.03,22.14,8.98,7.77,2.93,2.73,9.37
2021-11-29,29.653333333333325,0.1489420734,18.3,2.69,42.43,8.66,13.52,4.87,3.91,9.37
2021-11-30,37.54083333333333,-0.0629823736,17.32,2.83,21.18,13.56,13.56,1.97,4.77,9.37
2021-12-01,23.255833333333328,0.192000004,16.36,2.51,10.01,12.9,12.9,2.35,2.87,9.37
2021-12-02,26.255416666666672,0.2039889188,18.81,2.04,3.72,11.34,11.54,5.71,2.69,9.43
2021-12-03,30.61208333333333,0.2550206514,18.88,2.36,3.13,11.38,11.84,7.7,3.14,9.41
2021-12-04,35.64374999999999,0.174016112,23.42,2.61,3.46,13.05,13.76,10.27,3.64,9.35
2021-12-05,33.4225,0.319788456,21.17,49.91,3.15,13.75,21.71,5.32,3.71,9.38
2021-12-06,67.25416666666669,0.0579516446,18.92,55.62,3.03,12.89,17.17,4.46,6.42,9.4
2021-12-07,42.28999999999999,0.13722901676209476,24.55,28.73,7.9,11.97,8.89,9.48,3.96,9.41
2021-12-08,28.035,1.30954671,32.57,66.46,5.65,11.82,6.36,2.68,2.18,9.35
2021-12-09,26.439583333333346,0.3248977544,15.74,68.71,3.27,10.92,5.9,2.84,2.63,9.42
2021-12-10,21.92,0.1909733042,32.34,76.57,5.32,10.39,5.95,3.56,3.44,9.39
2021-12-11,17.78625,0.3899828618000001,18.23,78.09,3.08,11.28,8.97,3.41,2.79,9.39
2021-12-12,19.840000000000003,0.2500050398,22.31,30.93,3.86,13.12,7.4,4.26,2.92,9.41
2021-12-13,25.22208333333333,-0.059999999,16.74,75.41,3.37,11.95,8.6,2.42,2.94,9.4
2021-12-14,18.79083333333333,0.2159899288,17.17,66.06,1.75,11.43,10.55,3.27,1.93,9.41
2021-12-15,21.935,-0.079999998,24.91,75.26,6.36,12.92,9.07,5.43,3.44,9.38
2021-12-16,23.667916666666667,0.069987914,18.39,36.49,5.61,13.22,10.09,8.43,3.59,9.42
2021-12-17,24.08125,0.1560181313999999,24.01,60.71,4.99,12.03,10.98,10.42,5.3,9.38
2021-12-18,21.09916666666667,0.0599667642,20.21,65.96,3.98,11.09,11.35,7.5,3.59,9.39
2021-12-19,22.2775,0.0930186414,23.29,44.58,7.06,12.27,12.27,7.05,2.92,9.38
2021-12-20,29.370000000000008,0.2569833836,23.37,71.0,6.85,13.5,13.89,9.05,2.6,9.39
2021-12-21,44.16708333333332,0.799853921,24.37,40.8,4.85,11.92,19.49,11.66,4.04,9.39
2021-12-22,45.38791666666666,0.170000002,31.19,59.19,4.26,13.48,20.19,4.36,2.95,9.39
2021-12-23,56.61541666666667,-0.0379798544,31.31,54.29,4.93,12.2,20.63,7.02,4.05,9.35
2021-12-24,55.491666666666696,0.155133471,22.45,58.58,3.41,12.29,22.2,4.32,9.43,9.37
2021-12-25,47.55541666666667,-0.004028204,26.37,58.64,3.33,12.53,25.52,3.95,6.84,9.42
2021-12-26,49.89916666666667,0.0549501346,27.33,71.38,3.48,12.79,24.1,3.19,3.45,9.42
2021-12-27,30.60791666666667,0.121000507,19.97,54.41,4.26,11.74,24.41,6.74,3.27,9.41
2021-12-28,26.20625,0.560985389,17.24,50.85,3.66,12.93,22.79,7.93,3.1,9.39
2021-12-29,24.199166666666667,-0.264937043,20.75,69.61,3.99,13.11,26.58,6.13,3.07,9.39
2021-12-30,23.410416666666677,0.2750156134,16.1,59.05,3.47,12.59,25.81,4.31,5.17,9.41
2021-12-31,19.00916666666667,0.2179738082,16.34,55.97,3.61,12.85,23.47,3.03,3.15,9.43
