date,open_NO2,sate_NO2,"Indirapuram, Ghaziabad - UPPCB","Sanjay Nagar, Ghaziabad - UPPCB","Vasundhara, Ghaziabad - UPPCB"
2021-02-16,84.05416666666665,1.36e+16,57.63,102.13,2.88
2021-02-17,73.11500000000001,8075400000000000.0,84.56,122.62,2.77
2021-02-18,83.43958333333335,1.2e+16,74.93,84.08,2.84
2021-02-19,80.51208333333331,8322360000000000.0,49.52,80.55,2.45
2021-02-20,68.21666666666667,1.06e+16,72.25,79.71,2.36
2021-02-21,55.5925,9925010000000000.0,55.21,64.83,2.46
2021-02-22,75.07208333333334,1.6483912e+16,72.34,100.6,2.67
2021-02-23,120.46875,1.67e+16,140.81,178.29,3.15
2021-02-24,109.30166666666668,8050092000000000.0,142.32,154.88,2.9
2021-02-25,85.48083333333334,8775410000000000.0,96.36,106.56,2.94
2021-02-26,85.49624999999999,7920958000000000.0,80.22,99.3,3.51
2021-02-27,69.07291666666667,8078480000000000.0,73.49,100.89,3.2
2021-02-28,50.00874999999999,1.89e+16,49.32,47.2,2.91
2021-03-01,41.0275,6964362000000000.0,46.78,42.23,2.95
2021-03-02,41.53541666666667,6885280000000000.0,39.33,31.3,2.62
2021-03-03,68.98833333333334,1.318699e+16,76.54,65.63,3.56
2021-03-04,93.27916666666668,1.11e+16,106.08,125.17,65.19
2021-03-05,32.587916666666665,6390792000000000.0,47.19,54.85,57.94
2021-03-06,43.491666666666674,6448780000000000.0,61.6,65.94,60.02
2021-03-07,16.024166666666666,6171140000000000.0,45.47,68.37,51.88
2021-03-08,22.04958333333333,6612410000000000.0,20.01,47.82,34.46
2021-03-09,73.18625,8089100000000000.0,31.54,75.38,41.29
2021-03-10,56.93500000000001,9498586000000000.0,47.61,95.36,54.26
2021-03-11,45.38291666666667,8619560000000000.0,49.84,104.63,57.29
2021-03-12,30.188333333333336,8039422000000000.0,32.03,80.64,47.26
2021-03-13,59.63458333333332,7235360000000000.0,49.09,74.1,54.28
2021-03-14,41.09869565217391,6964198000000000.0,38.61,61.56,50.56
2021-03-15,49.39541666666667,5358470000000000.0,37.21,67.2,53.16
2021-03-16,53.80083333333334,6849770000000000.0,35.4,59.86,50.28
2021-03-17,48.8525,5819306000000000.0,44.18,65.17,56.17
2021-03-18,82.49791666666668,1.2e+16,51.93,78.38,57.92
2021-03-19,67.27458333333333,1.0537742e+16,51.48,69.23,55.0
2021-03-20,54.514166666666654,8235880000000000.0,47.01,74.43,55.97
2021-03-21,36.70708333333333,6439276000000000.0,49.72,106.18,58.63
2021-03-22,39.14333333333333,4807160000000000.0,34.13,64.63,48.76
2021-03-23,49.62458333333333,7241812000000000.0,34.97,82.51,48.33
2021-03-24,36.28708333333334,8904600000000000.0,34.27,68.44,49.46
2021-03-25,38.28541666666666,7437560000000000.0,18.8,42.33,39.55
2021-03-26,55.14374999999999,7234546000000000.0,30.97,49.44,44.64
2021-03-27,64.61125,1.11e+16,49.95,97.32,60.52
2021-03-28,39.32208333333335,8058984000000000.0,53.87,86.3,62.93
2021-03-29,47.38208333333333,5150350000000000.0,40.06,78.95,38.05
2021-03-30,27.025833333333328,7939562000000000.0,26.04,61.58,41.91
2021-03-31,23.969583333333333,6411380000000000.0,12.73,32.67,32.74
2021-04-01,37.622083333333336,7604670000000000.0,16.86,33.96,27.22
2021-04-02,50.90208333333334,7024680000000000.0,36.85,51.37,34.26
