date,open_NO2,sate_NO2,"Indirapuram, Ghaziabad - UPPCB","Sanjay Nagar, Ghaziabad - UPPCB","Vasundhara, Ghaziabad - UPPCB"
2021-12-12,162.73833333333332,1.35e+16,33.22,113.41,81.22
2021-12-13,100.13333333333333,2.78e+16,26.88,81.89,72.37
2021-12-14,75.54333333333332,9638038000000000.0,23.51,65.34,69.51
2021-12-15,85.01083333333332,1.25e+16,23.74,46.96,56.35
2021-12-16,65.61708333333333,1.0036382e+16,24.69,52.19,57.44
2021-12-17,48.62458333333333,6843870000000000.0,20.97,40.65,40.16
2021-12-18,30.988333333333333,7724270000000000.0,21.35,39.38,45.03
2021-12-19,51.42291666666667,9150630000000000.0,23.15,47.1,54.12
2021-12-20,99.41958333333334,1.3298428e+16,25.28,73.2,69.39
2021-12-21,107.44458333333334,1.61e+16,178.05,97.49,85.16
2021-12-22,118.09833333333336,3.76e+16,164.98,94.67,93.11
2021-12-23,77.34333333333333,1.2650198e+16,16.39,96.31,85.55
2021-12-24,85.93958333333335,1.14e+16,16.02,80.99,71.48
2021-12-25,87.76708333333335,1.267279e+16,16.42,80.14,79.68
2021-12-26,51.76666666666667,1.4210432e+16,15.44,68.97,27.6
2021-12-27,61.94833333333332,6143300000000000.0,14.82,62.59,25.66
2021-12-28,67.31791666666668,1.412366e+16,11.43,74.12,60.02
2021-12-29,85.76708333333335,1.61e+16,9.4,61.88,53.52
2021-12-30,84.14041666666668,7931146000000000.0,9.18,72.53,55.03
2021-12-31,98.5629166666667,1.81e+16,10.65,83.5,59.32
