date,open_NO2,sate_NO2,"Ardhali Bazar, Varanasi - UPPCB","Bhelupur, Varanasi - UPPCB","IESD Banaras Hindu University, Varanasi - UPPCB","Maldahiya, Varanasi - UPPCB"
2021-01-09,23.826666666666668,5279130000000000.0,94.19,94.19,94.19,28.3075
2021-01-10,13.779166666666669,4255000000000000.0,88.21,88.21,88.21,27.67
2021-01-11,21.01875,5311646000000000.0,88.49,88.49,88.49,26.14875
2021-01-12,33.52083333333333,5333800000000000.0,95.11,95.11,95.11,29.65222222222222
2021-01-13,36.88791666666666,4890420000000000.0,104.34,104.34,104.34,32.169999999999995
2021-01-14,48.97291666666666,5266050000000000.0,106.34,106.34,106.34,29.95888888888889
2021-01-15,50.97625,5288610000000000.0,103.99,103.99,103.99,28.02375
2021-01-16,47.221250000000005,4959990000000000.0,97.91,97.91,97.91,29.401250000000005
2021-01-17,24.407083333333333,3921310000000000.0,100.36,100.36,100.36,24.195714285714285
2021-01-18,51.22333333333333,5194360000000000.0,90.96,90.96,90.96,25.867500000000007
2021-01-19,41.89166666666667,5434730000000000.0,90.94,90.94,90.94,33.4
2021-01-20,18.55208333333333,5094624000000000.0,88.04,88.04,88.04,29.74875
2021-01-21,34.86208333333334,5698910000000000.0,88.28,88.28,88.28,29.383750000000003
2021-01-22,46.23291666666666,6293010000000000.0,84.43,84.43,84.43,30.742500000000003
2021-01-23,45.81916666666667,6139772000000000.0,81.8,81.8,81.8,28.551428571428573
2021-01-24,32.0925,6070800000000000.0,94.21,94.21,94.21,25.25375
2021-01-25,32.79375,4564596000000000.0,98.8,98.8,98.8,27.11888888888889
2021-01-26,31.528500000000008,5575410000000000.0,98.6,98.6,98.6,26.62110168921193
2021-01-27,69.23,4998560000000000.0,97.45,97.45,97.45,30.59444444444444
2021-01-28,52.77916666666667,4148190000000000.0,105.53,105.53,105.53,47.0525
2021-01-29,23.02083333333333,5267992000000000.0,99.85,99.85,99.85,27.53
2021-01-30,23.259166666666665,5100870000000000.0,104.62,104.62,104.62,33.45
