date,open_NO2,sate_NO2,"Marhatal, Jabalpur - MPPCB"
2021-01-05,16.144583333333333,4988488000000000.0,58.56
2021-01-06,14.64375,5366240000000000.0,66.89
2021-01-07,5.795416666666665,3656890000000000.0,61.04
2021-01-08,26.53708333333334,4189090000000000.0,57.43
2021-01-09,8.224583333333333,4201256000000000.0,58.78
2021-01-10,5.380833333333334,4335910000000000.0,49.88
2021-01-11,6.220833333333334,4769182000000000.0,45.08
2021-01-12,7.875833333333332,4847580000000000.0,44.53
2021-01-13,12.158749999999998,2907420000000000.0,55.52
2021-01-14,13.269166666666669,4100176000000000.0,59.26
2021-01-15,16.587083333333336,3081190000000000.0,60.86
2021-01-16,16.5675,5204112000000000.0,65.84
2021-01-17,8.79875,3476360000000000.0,54.17
2021-01-18,11.797083333333331,4597006000000000.0,66.8
2021-01-19,7.245833333333333,5076170000000000.0,49.75
2021-01-20,10.720833333333331,3680920000000000.0,64.99
2021-01-21,15.053333333333333,4776876000000000.0,57.57
2021-01-22,13.460416666666667,3437930000000000.0,52.67
2021-01-23,15.547499999999998,4134882000000000.0,54.57
2021-01-24,6.237916666666666,4424090000000000.0,57.67
2021-01-25,5.870833333333333,4344196000000000.0,54.58
2021-01-26,4.420999999999999,4005000000000000.0,53.46
2021-01-27,7.84,4392132000000000.0,51.07
2021-01-28,5.907916666666666,4695990000000000.0,49.21
2021-01-29,5.68875,2166890000000000.0,53.22
2021-01-30,8.94,4026886000000000.0,59.34
2021-01-31,10.207916666666668,2691580000000000.0,58.39
2021-02-01,18.62833333333333,3927136000000000.0,67.64
2021-02-02,15.30625,2858160000000000.0,60.9
2021-02-03,10.741666666666667,3668730000000000.0,53.52
2021-02-04,9.665,4955580000000000.0,51.17
2021-02-05,5.002916666666668,5549310000000000.0,43.19
2021-02-06,6.308333333333333,4422496000000000.0,52.97
2021-02-07,8.305833333333334,3516200000000000.0,54.29
2021-02-08,13.902500000000003,3708163200000000.0,44.84
2021-02-09,14.7275,4149300000000000.0,74.95
2021-02-10,15.359583333333331,4040492000000000.0,65.63
2021-02-11,9.28416666666667,4488480000000000.0,66.53
2021-02-12,8.9125,4861624000000000.0,69.6
2021-02-13,7.214166666666667,4312400000000000.0,73.49
2021-02-14,7.777083333333331,4293040000000000.0,63.55
2021-02-15,9.902916666666668,3171058000000000.0,74.02
2021-02-16,5.853333333333333,3220200000000000.0,53.64
2021-02-17,9.114166666666668,4213440000000000.0,46.24
2021-02-18,8.588333333333333,4411540000000000.0,55.96
2021-02-19,11.41375,4229666000000000.0,58.35
2021-02-20,6.415,8143670000000000.0,56.59
2021-02-21,11.912916666666666,3698320000000000.0,63.36
2021-02-22,14.907083333333338,4936008000000000.0,64.04
2021-02-23,14.002499999999998,2855230000000000.0,61.02
2021-02-24,17.157499999999995,4498678000000000.0,64.45
2021-02-25,11.218749999999998,4995910000000000.0,63.1
2021-02-26,17.683749999999993,4487296000000000.0,59.8
2021-02-27,7.809999999999999,3900010000000000.0,65.2
2021-02-28,14.308333333333332,4627106000000000.0,51.96
2021-03-01,6.03875,5393550000000000.0,59.14
2021-03-02,7.478333333333334,4056770000000000.0,54.72
2021-03-03,15.628749999999998,4252334000000000.0,61.05
2021-03-04,11.544583333333334,2736560000000000.0,55.86
2021-03-05,8.161666666666667,4156864000000000.0,55.22
2021-03-06,7.524999999999999,4273800000000000.0,54.57
2021-03-07,9.02375,4224268000000000.0,46.83
2021-03-08,12.980416666666663,4734340000000000.0,58.94
2021-03-09,10.404166666666669,4323720000000000.0,55.14
2021-03-10,14.448749999999997,4333572000000000.0,55.66
2021-03-11,12.358333333333333,6807050000000000.0,42.02
2021-03-12,3.85,4263700000000000.0,39.41
2021-03-13,5.577083333333334,5550290000000000.0,46.58
2021-03-14,7.046956521739131,4466130000000000.0,55.13
2021-03-15,7.632083333333333,4749280000000000.0,57.33
2021-03-16,12.371666666666668,5816810000000000.0,56.23
2021-03-17,7.780833333333333,5363350000000000.0,55.26
2021-03-18,15.110416666666666,7806380000000000.0,46.74
2021-03-19,11.860416666666667,6632530000000000.0,39.58
2021-03-20,6.0370833333333325,4055360000000000.0,45.78
2021-03-21,4.305416666666668,4658208000000000.0,30.52
2021-03-22,7.727083333333333,4711546000000000.0,46.69
2021-03-23,13.298333333333334,4561872000000000.0,34.71
2021-03-24,8.018333333333333,5898340000000000.0,48.84
2021-03-25,7.024583333333333,4128890000000000.0,49.96
2021-03-26,8.472083333333334,4729440000000000.0,49.35
2021-03-27,6.804999999999999,5712390000000000.0,51.79
2021-03-28,13.100416666666668,6488130000000000.0,42.55
2021-03-29,7.596666666666667,7730210000000000.0,45.12
2021-03-30,4.594583333333333,4180132000000000.0,36.74
2021-03-31,12.067916666666669,7006520000000000.0,44.49
2021-04-01,10.419583333333334,4561928000000000.0,50.53
2021-04-02,8.175416666666665,7146620000000000.0,53.03
2021-04-03,6.173333333333333,9668830000000000.0,50.9
2021-04-04,7.024583333333335,6988090000000000.0,39.89
2021-04-05,10.085000000000004,6806940000000000.0,64.73
2021-04-06,12.329166666666664,4965776000000000.0,63.97
2021-04-07,9.22375,5473560000000000.0,62.57
2021-04-08,11.09375,5039832000000000.0,52.2
2021-04-09,3.8645833333333326,6194820000000000.0,34.18
2021-04-10,8.676250000000001,5432790000000000.0,28.15
2021-04-11,6.844166666666667,4992660000000000.0,26.22
2021-04-12,15.789583333333333,4381840000000000.0,38.08
2021-04-13,11.199583333333331,5008350000000000.0,37.91
2021-04-14,3.945416666666667,3348580000000000.0,26.78
2021-04-15,4.550416666666666,4522684000000000.0,25.69
2021-04-16,9.99125,6638010000000000.0,34.7
2021-04-17,5.465833333333333,4582504000000000.0,31.0
2021-04-18,8.352916666666667,6914650000000000.0,28.11
2021-04-19,13.044583333333334,5417280000000000.0,34.91
2021-04-20,3.1366666666666667,5547050000000000.0,27.72
2021-04-21,7.599166666666666,5001324000000000.0,25.73
2021-04-22,5.62875,4097735200000000.0,28.43
2021-04-23,12.777916666666664,4453580000000000.0,29.91
2021-04-24,3.497499999999999,5010054000000000.0,24.63
2021-04-25,5.472916666666667,5724840000000000.0,19.15
2021-04-26,9.000833333333334,4924560000000000.0,24.46
2021-04-27,11.37208333333333,5764160000000000.0,18.08
2021-04-28,11.791250000000003,5922320000000000.0,16.58
2021-04-29,11.730416666666668,4512490000000000.0,18.2
2021-04-30,7.16375,4953270000000000.0,18.13
