date,open_NO2,sate_NO2,"Buddhi Vihar, Moradabad - UPPCB","Eco Herbal Park, Moradabad - UPPCB","Employment Office, Moradabad - UPPCB"
2021-02-15,18.454166666666666,6239856000000000.0,103.53,41.5225,103.53
2021-02-16,13.970416666666669,7174090000000000.0,93.57,44.1625,93.57
2021-02-17,19.6675,6004386000000000.0,75.38,40.878888888888895,75.38
2021-02-18,19.54625,6407820000000000.0,99.03,49.995000000000005,99.03
2021-02-19,12.259583333333332,6578044000000000.0,68.55,40.672,68.55
2021-02-20,7.842916666666666,7176680000000000.0,41.31,43.784,41.31
2021-02-21,7.502916666666668,7369330000000000.0,48.41,42.854,48.41
2021-02-22,9.800833333333337,5095916000000000.0,78.27,48.475,78.27
2021-02-23,12.865833333333336,8485880000000000.0,91.69,45.455000000000005,91.69
2021-02-24,8.987916666666667,5815236000000000.0,94.47333333333331,48.66499999999999,94.47333333333331
2021-02-25,9.18,5408190000000000.0,83.46333333333332,49.487,83.46333333333332
2021-02-26,11.0875,5730922000000000.0,64.65333333333334,38.595,64.65333333333334
2021-02-27,10.694583333333332,5705120000000000.0,69.70333333333333,41.854,69.70333333333333
2021-02-28,11.12,6928934000000000.0,73.94333333333333,36.93444444444444,73.94333333333333
2021-03-01,5.854583333333333,5694400000000000.0,395.73,37.201,395.73
2021-03-02,6.290833333333333,4547620000000000.0,198.63,35.943000000000005,198.63
2021-03-03,16.762083333333337,6600940000000000.0,258.3,43.71000000000001,258.3
2021-03-04,11.67625,5040750000000000.0,220.88,42.542,220.88
2021-03-05,5.307499999999999,4127952000000000.0,254.87,35.477000000000004,254.87
2021-03-06,10.744583333333331,5211340000000000.0,221.86,31.464,221.86
2021-03-07,7.627916666666667,4740624000000000.0,221.04,28.963,221.04
2021-03-08,14.742499999999998,5405910000000000.0,185.32,27.525,185.32
2021-03-09,12.125416666666668,4639410000000000.0,236.7,33.67900000000001,236.7
2021-03-10,11.434166666666668,6375624000000000.0,236.54,35.46,236.54
2021-03-11,19.34708333333333,4523560000000000.0,240.96,28.841,240.96
2021-03-12,10.813333333333333,5123860000000000.0,235.68,33.352,235.68
2021-03-13,7.966250000000001,4828830000000000.0,205.41,37.64,205.41
2021-03-14,7.018695652173913,5444286000000000.0,217.46,38.731,217.46
2021-03-15,8.698749999999999,4096020000000000.0,260.87,40.720000000000006,260.87
2021-03-16,7.610416666666668,4955966000000000.0,259.31,37.311,259.31
2021-03-17,8.615416666666667,4589370000000000.0,256.62,43.91,256.62
2021-03-18,11.29041666666667,4443100000000000.0,234.91,38.069,234.91
2021-03-19,23.31458333333333,5852618000000000.0,236.04,42.896,236.04
2021-03-20,9.697916666666666,4683400000000000.0,278.43,32.46,278.43
2021-03-21,11.250833333333334,5011642000000000.0,245.59,27.034,245.59
2021-03-22,11.671666666666669,5896780000000000.0,280.42,32.746,280.42
2021-03-23,9.169166666666667,5361636000000000.0,224.04,33.188,224.04
2021-03-24,7.463333333333334,5407480000000000.0,291.61,36.37500000000001,291.61
2021-03-25,6.786666666666666,5160680000000000.0,12.81,39.42,12.81
2021-03-26,8.370833333333334,5124630000000000.0,11.18,37.084,11.18
2021-03-27,26.115,5630010000000000.0,14.29,46.387,14.29
2021-03-28,18.47958333333333,5183480000000000.0,20.58,28.271,20.58
2021-03-29,19.84708333333333,3792220000000000.0,15.49,17.779999999999998,15.49
2021-03-30,5.992916666666667,5337304000000000.0,18.21,20.160000000000004,18.21
2021-03-31,5.146249999999999,6020280000000000.0,9.9,20.08,9.9
2021-04-01,5.839166666666666,4936034000000000.0,8.77,18.972,8.77
2021-04-02,9.166250000000002,6222980000000000.0,9.91,18.582,9.91
2021-04-03,6.829583333333333,4396740000000000.0,14.4,22.29,14.4
2021-04-04,10.95,6564660000000000.0,11.57,19.160000000000004,11.57
2021-04-05,9.071666666666667,7533930000000000.0,14.58,21.041,14.58
2021-04-06,6.236249999999999,4623218000000000.0,10.23,20.962,10.23
2021-04-07,24.347916666666677,5015420000000000.0,8.23,16.607777777777777,8.23
2021-04-08,7.769583333333333,6316352000000000.0,9.95,16.253333333333334,9.95
2021-04-09,7.5625,6247530000000000.0,10.25,16.934444444444445,10.25
2021-04-10,6.418333333333334,4923960000000000.0,10.09,15.123333333333337,10.09
2021-04-11,7.710833333333333,6842170000000000.0,15.17,15.25222222222222,15.17
2021-04-12,8.166666666666668,6527790000000000.0,17.39,17.957,17.39
2021-04-13,7.249583333333334,6579640000000000.0,8.86,17.939,8.86
2021-04-14,7.924166666666667,6535120000000000.0,8.58,14.817999999999998,8.58
2021-04-15,12.336666666666666,5404352000000000.0,10.41,15.353,10.41
2021-04-16,5.84,7626330000000000.0,13.39,16.376000000000005,13.39
