date,open_NO2,sate_NO2,"GIFT City, Gandhinagar - IITM","IIPHG Lekawada, Gandhinagar - IITM"
2021-01-07,18.1575,6602920000000000.0,35.03285714285715,27.52
2021-01-08,13.57875,5626708000000000.0,29.34875,25.18
2021-01-09,10.271666666666668,5663090000000000.0,28.3075,20.47
2021-01-10,14.129583333333334,5383294000000000.0,27.67,22.04
2021-01-11,20.55208333333333,5479120000000000.0,26.14875,34.28
2021-01-12,12.192083333333336,5095592000000000.0,29.65222222222222,47.63
2021-01-13,10.98875,4732780000000000.0,32.169999999999995,59.83
2021-01-14,11.482916666666668,5343132000000000.0,29.95888888888889,49.9
2021-01-15,28.51875,4553410000000000.0,28.02375,39.14
2021-01-16,26.89375,7766460000000000.0,29.401250000000005,31.83
2021-01-17,47.032500000000006,4879848000000000.0,24.195714285714285,34.18
2021-01-18,32.959583333333335,7343070000000000.0,25.867500000000007,22.56
2021-01-19,26.404166666666665,6037578000000000.0,33.4,37.95
2021-01-20,41.070416666666674,6033490000000000.0,29.74875,32.85
2021-01-21,29.89625000000001,5520496000000000.0,29.383750000000003,39.39
2021-01-22,52.52250000000001,6609990000000000.0,30.742500000000003,34.54
2021-01-23,13.367083333333332,5267840000000000.0,28.551428571428573,15.47
2021-01-24,21.36041666666667,5869096000000000.0,25.25375,21.69
2021-01-25,12.4425,5208830000000000.0,27.11888888888889,24.62
2021-01-26,10.2695,4772860000000000.0,26.62110168921193,24.44
2021-01-27,9.725,5003610000000000.0,30.59444444444444,26.7
2021-01-28,13.425833333333337,5374882000000000.0,47.0525,33.4
2021-01-29,9.05,5085170000000000.0,27.53,42.95
2021-01-30,9.005833333333333,5298494000000000.0,33.45,39.56
2021-01-31,9.379166666666665,5795570000000000.0,34.536652533817886,33.92
2021-02-01,14.7625,6800330000000000.0,27.792845028986765,37.17
2021-02-02,43.39791666666667,5514372000000000.0,27.302857142857142,29.11
2021-02-03,30.610000000000003,6342080000000000.0,30.798571428571428,30.56
2021-02-04,13.880833333333332,6549986000000000.0,30.10571428571429,18.76
2021-02-05,13.29625,7213520000000000.0,28.7925,20.51
2021-02-06,6.439583333333332,6141858000000000.0,29.7325,15.12
2021-02-07,7.775000000000001,5292890000000000.0,26.50375,11.53
2021-02-08,14.794999999999996,6127300000000000.0,33.865,10.41
2021-02-09,39.89875,5359728000000000.0,42.4025,28.36
2021-02-10,33.25249999999999,5149270000000000.0,34.294285714285714,32.02
2021-02-11,22.34958333333334,4687106000000000.0,38.53625,24.12
2021-02-12,35.05125,6411350000000000.0,36.26375,30.6
2021-02-13,23.39916666666667,4785392000000000.0,35.5525,27.46
2021-02-14,29.592916666666664,4944500000000000.0,30.87,30.72
2021-02-15,22.667083333333327,4825990000000000.0,26.395714285714284,38.95
2021-02-16,27.56583333333333,4670200000000000.0,21.20142857142857,30.63
2021-02-17,18.47875,6457240000000000.0,29.218333333333337,38.43
2021-02-18,12.003750000000002,5740378000000000.0,29.292500000000004,32.55
2021-02-19,9.793333333333331,5930010000000000.0,25.882857142857144,34.69
2021-02-20,8.887499999999998,5762254000000000.0,26.514285714285712,40.04
2021-02-21,14.238333333333337,6569320000000000.0,26.592857142857145,40.2
2021-02-22,34.30125,6102394000000000.0,28.898571428571422,45.83
2021-02-23,25.2975,5881760000000000.0,28.822500000000005,34.61
2021-02-24,27.41791666666667,5383190000000000.0,32.4275,32.71
2021-02-25,24.376249999999995,5365348000000000.0,29.651428571428568,24.26
2021-02-26,16.959999999999997,5792180000000000.0,30.012857142857143,20.86
2021-02-27,11.099583333333335,4967376000000000.0,27.37857142857143,17.7
2021-02-28,16.72458333333333,5200830000000000.0,26.53857142857143,30.1
2021-03-01,16.927499999999995,5749192000000000.0,28.787142857142857,39.06
2021-03-02,20.64958333333333,4827130000000000.0,28.825714285714287,35.29
2021-03-03,19.36083333333333,4754204000000000.0,34.55333333333333,47.1
2021-03-04,28.53125,4741700000000000.0,36.12,26.14
2021-03-05,26.05791666666666,5306100000000000.0,33.145,32.02
2021-03-06,17.469166666666666,5131618000000000.0,28.93166666666666,29.49
2021-03-07,11.113333333333337,5116490000000000.0,24.52,13.72
2021-03-08,18.66208333333333,4657738000000000.0,23.451666666666668,32.35
2021-03-09,18.86125,5168610000000000.0,26.758571428571432,36.57
2021-03-10,26.022083333333335,5143090000000000.0,27.85,51.21
2021-03-11,18.839166666666667,5606890000000000.0,22.708571428571428,24.89
2021-03-12,10.594583333333334,3798410000000000.0,24.198571428571427,13.74
2021-03-13,25.640833333333337,6259558000000000.0,27.585714285714285,14.58
2021-03-14,12.353478260869563,5309760000000000.0,31.09142857142857,22.66
2021-03-15,15.46125,6355660000000000.0,31.63428571428571,43.12
2021-03-16,14.91708333333333,6089550000000000.0,28.56571428571428,54.71
2021-03-17,13.354999999999997,4796784000000000.0,30.37714285714286,51.04
2021-03-18,17.90791666666667,4987250000000000.0,31.1025,29.83
2021-03-19,28.896666666666665,5579250000000000.0,22.5625,28.43
2021-03-20,39.00375,7487920000000000.0,23.375,31.58
2021-03-21,19.196250000000003,6580060000000000.0,20.271666666666665,38.25
2021-03-22,26.1225,9193520000000000.0,23.02666666666667,30.37
2021-03-23,17.74083333333333,7460810000000000.0,26.191666666666663,21.01
2021-03-24,9.124583333333335,1801550000000000.0,26.85,29.96
2021-03-25,8.959583333333331,6582400000000000.0,28.723333333333333,37.62
2021-03-26,23.35458333333333,4507120000000000.0,35.35666666666667,51.21
2021-03-27,14.66041666666667,7246250000000000.0,46.24333333333333,38.42
2021-03-28,9.354583333333332,6084450000000000.0,31.76666666666667,25.33
2021-03-29,10.054166666666667,5567450000000000.0,21.697142857142858,16.45
2021-03-30,8.74,5560220000000000.0,20.78,10.8
2021-03-31,13.427083333333334,6843450000000000.0,19.11,7.94
2021-04-01,27.379166666666663,5637420000000000.0,17.26875,28.95
2021-04-02,28.6225,6176152000000000.0,20.06625,48.68
2021-04-03,18.620416666666664,5288600000000000.0,22.645,57.66
2021-04-04,13.46541666666667,4647504000000000.0,18.35998788612962,56.63
2021-04-05,10.1725,5539140000000000.0,33.18125,30.47
2021-04-06,9.204583333333332,5708580000000000.0,18.0225,18.47
2021-04-07,16.07,4957950000000000.0,18.6575,23.87
2021-04-08,16.32875,6469000000000000.0,18.227500000000003,21.52
2021-04-09,13.838749999999996,-631952000000000.0,17.51125,33.29
2021-04-10,13.587916666666668,7698430000000000.0,15.62125,37.38
2021-04-11,8.929166666666667,6559026000000000.0,14.5925,39.17
2021-04-12,14.812916666666668,5671090000000000.0,19.4425,57.95
2021-04-13,12.272083333333333,5294980000000000.0,18.4875,38.78
2021-04-14,10.93125,6228560000000000.0,15.12375,14.7
2021-04-15,20.64708333333333,6559000000000000.0,15.951250000000002,14.79
2021-04-16,4.773333333333333,5203580000000000.0,15.332499999999998,14.15
2021-04-17,13.798333333333334,5741660000000000.0,16.450000000000003,10.02
2021-04-18,7.185833333333334,5542204000000000.0,17.25,23.64
2021-04-19,12.460000000000004,4570570000000000.0,17.9675,31.44
2021-04-20,9.155833333333334,4737148000000000.0,14.27125,18.28
2021-04-21,19.605833333333337,6058330000000000.0,14.1375,14.25
2021-04-22,21.59625,6027880000000000.0,13.97625,27.8
2021-04-23,7.653749999999998,5439490000000000.0,17.736250000000002,17.14
2021-04-24,14.245833333333332,4003590000000000.0,15.15375,19.09
2021-04-25,24.808750000000003,5004700000000000.0,15.29375,32.44
2021-04-26,13.545000000000002,6988570000000000.0,15.055,54.25
2021-04-27,9.37875,5080846000000000.0,18.44875,40.68
2021-04-28,7.230833333333333,6010960000000000.0,18.9525,12.34
2021-04-29,12.587916666666668,4678310000000000.0,15.2275,16.39
2021-04-30,13.411666666666669,5933500000000000.0,14.4775,16.46
2021-05-01,12.864583333333334,5330210000000000.0,13.63375,13.95
2021-05-02,13.648333333333332,6837430000000000.0,15.5325,9.62
2021-05-03,6.245416666666667,4950590000000000.0,17.9,13.69
2021-05-04,9.189166666666663,5700068000000000.0,16.995,14.57
2021-05-05,8.709166666666667,4933340000000000.0,16.41875,15.62
2021-05-06,15.640416666666669,4876390000000000.0,16.08125,21.42
2021-05-07,16.73833333333333,5349150000000000.0,17.2375,18.43
2021-05-08,6.6745833333333335,5104120000000000.0,17.3175,23.25
2021-05-09,11.867499999999994,5815090000000000.0,17.43285714285714,23.2
2021-05-10,5.846666666666665,4926200000000000.0,16.174999999999997,13.23
2021-05-11,5.671250000000001,-1195140000000000.0,16.66375,8.89
2021-05-12,5.732916666666665,6040010000000000.0,16.915,15.69
2021-05-13,9.165416666666667,5649542000000000.0,18.715,21.65
2021-05-14,13.725833333333334,5599530000000000.0,18.79625,22.41
2021-05-15,12.1475,4338440000000000.0,20.965,14.66
2021-05-16,4.755,5280440000000000.0,16.265,17.21
2021-05-17,5.459166666666667,1264430000000000.0,15.1725,16.76
2021-05-18,5.760000000000001,5043866000000000.0,14.31,10.87
2021-05-19,8.615,5252860000000000.0,17.0225,7.79
2021-05-20,19.3,5542064000000000.0,16.28,25.28
2021-05-21,15.276666666666666,5902660000000000.0,16.21875,13.79
2021-05-22,11.507916666666665,4005986000000000.0,17.537499999999998,13.73
2021-05-23,11.365416666666668,6092400000000000.0,17.53875,16.09
2021-05-24,12.379583333333333,5514150000000000.0,17.642500000000002,26.38
2021-05-25,8.59625,5748010000000000.0,17.2025,26.45
2021-05-26,13.67041666666667,4540350000000000.0,15.63,13.03
2021-05-27,14.596249999999998,80390800000000.0,14.1925,15.9
2021-05-28,14.817916666666669,4850830000000000.0,14.04625,15.05
2021-05-29,12.230833333333331,5350336000000000.0,13.52875,14.93
2021-05-30,9.250833333333334,5018350000000000.0,14.70857142857143,13.15
2021-05-31,12.038333333333334,5367520000000000.0,17.33285714285714,13.62
2021-06-01,13.064166666666663,4998120000000000.0,23.882857142857144,13.11
2021-06-02,13.426666666666668,6386960000000000.0,14.623333333333337,18.73
2021-06-03,11.65,6340720000000000.0,14.97777777777778,17.85
2021-06-04,12.127083333333337,4908520000000000.0,13.789090909090907,17.76
2021-06-05,11.9125,5889502000000000.0,13.103636363636362,15.55
2021-06-06,10.921666666666669,4845020000000000.0,10.50777777777778,15.4
2021-06-07,9.491249999999996,5302558000000000.0,11.503636363636362,14.43
2021-06-08,6.537083333333334,5598560000000000.0,10.146000000000004,13.16
2021-06-09,7.394999999999999,4756690000000000.0,10.203,12.22
2021-06-10,5.097083333333333,5562980000000000.0,10.547999999999998,19.36
2021-06-11,8.125833333333334,6323230000000000.0,12.723,15.68
2021-06-12,4.873333333333334,-142946000000000.0,13.015,15.66
2021-06-13,5.4325,5096480000000000.0,12.855555555555556,13.38
2021-06-14,6.785833333333335,4662922000000000.0,12.858,13.79
2021-06-15,8.760416666666668,5992370000000000.0,11.933,13.32
2021-06-16,13.626666666666663,6073920000000000.0,14.406,14.12
2021-06-17,23.091666666666665,6581890000000000.0,10.84,11.91
2021-06-18,21.26083333333333,4595000000000000.0,10.65,9.54
2021-06-19,15.619583333333336,5826542000000000.0,10.67,9.33
2021-06-20,17.265416666666667,4964000000000000.0,10.64,9.6
2021-06-21,25.2875,4954340000000000.0,10.62,9.46
2021-06-22,20.45666666666667,5526750000000000.0,10.61,9.38
2021-06-23,19.37875,4674552000000000.0,10.64,9.34
2021-06-24,14.770416666666664,5186210000000000.0,10.61,9.42
2021-06-25,12.926666666666671,5389930000000000.0,10.69,9.49
2021-06-26,13.34625,5577960000000000.0,10.69,9.35
2021-06-27,12.168333333333331,3920570000000000.0,10.64,9.44
2021-06-28,12.859583333333331,-1556710000000000.0,10.54,9.57
2021-06-29,12.985,5749370000000000.0,10.56,9.36
2021-06-30,9.460833333333335,5325430000000000.0,10.5,9.35
2021-07-01,9.727083333333336,4919560000000000.0,10.65,9.28
2021-07-02,10.551666666666668,5487010000000000.0,10.79,9.61
2021-07-03,9.957083333333332,4465070000000000.0,10.82,9.47
2021-07-04,10.957083333333337,5330240000000000.0,10.86,9.41
2021-07-05,9.943333333333332,5852170000000000.0,11.0,9.44
2021-07-06,11.504583333333334,4118890000000000.0,10.95,9.24
2021-07-07,6.260000000000001,5231722000000000.0,10.97,9.32
2021-07-08,5.236250000000001,5329050000000000.0,10.92,9.46
2021-07-09,11.425000000000002,5435286000000000.0,10.95,9.46
2021-07-10,5.795833333333333,5362900000000000.0,11.05,9.36
2021-07-11,25.27375,4566900000000000.0,10.96,9.4
2021-07-12,20.35916666666667,4318510000000000.0,10.92,9.59
2021-07-13,17.452083333333334,5220620000000000.0,10.53,9.3
2021-07-14,33.36541666666667,4905000000000000.0,10.57,9.51
2021-07-15,25.562916666666663,5737500000000000.0,10.61,9.39
2021-07-16,26.587083333333336,5427582000000000.0,10.71,9.28
