date,open_NO2,sate_NO2,"New Industrial Town, Faridabad - HSPCB","Sector 11, Faridabad - HSPCB","Sector 30, Faridabad - HSPCB","Sector- 16A, Faridabad - HSPCB"
2021-06-09,30.825,6847836000000000.0,5.01,25.1,36.76,36.76
2021-06-10,8.20125,6107320000000000.0,5.02,25.04,28.57,28.57
2021-06-11,10.9075,7336994000000000.0,5.04,25.06,42.15,42.15
2021-06-12,5.841666666666668,6559120000000000.0,5.02,14.605,36.23,36.23
2021-06-13,7.516666666666667,6921480000000000.0,5.03,15.12,34.44,34.44
2021-06-14,10.13125,1.02e+16,5.03,25.0,44.98,44.98
2021-06-15,20.52125,6835510000000000.0,5.03,25.06,37.76,37.76
2021-06-16,15.477916666666664,7791474000000000.0,5.03,25.19,44.79,44.79
2021-06-17,11.339166666666666,6763734000000000.0,5.02,25.04,42.91,42.91
2021-06-18,8.660833333333334,6880042000000000.0,5.04,25.0,32.86,32.86
2021-06-19,12.385833333333332,5356010000000000.0,5.02,25.08,36.22,36.22
2021-06-20,11.095416666666669,5887510000000000.0,5.05,25.0,27.24,27.24
2021-06-21,29.1675,8048140000000000.0,5.03,24.98,44.08,44.08
2021-06-22,47.11333333333334,1.03e+16,5.03,24.95,60.39,60.39
2021-06-23,15.997499999999995,1.08e+16,5.05,25.02,63.46,63.46
2021-06-24,13.952500000000002,6192030000000000.0,5.04,24.95,45.62,45.62
2021-06-25,31.39333333333333,8981124000000000.0,5.03,24.98,40.4,40.4
2021-06-26,13.80625,8989020000000000.0,5.04,24.98,66.79,66.79
2021-06-27,9.107500000000002,6053262000000000.0,5.04,24.95,55.83,55.83
2021-06-28,16.620833333333337,9169960000000000.0,5.03,24.92,62.36,62.36
2021-06-29,26.092916666666667,1.05e+16,5.02,24.97,79.08,79.08
2021-06-30,8.897083333333335,8464520000000000.0,5.02,25.1,56.77,56.77
2021-07-01,9.564583333333331,6358920000000000.0,5.02,24.91,42.43,42.43
2021-07-02,10.544583333333334,7605430000000000.0,5.02,24.92,36.38,36.38
2021-07-03,16.460833333333333,5780610000000000.0,5.03,24.91,50.81,50.81
2021-07-04,30.110000000000003,9770424000000000.0,5.08,24.95,54.21,54.21
2021-07-05,37.90083333333335,7900880000000000.0,4.86,25.19,58.83,58.83
2021-07-06,34.14416666666667,9322240000000000.0,5.03,24.94,46.1,46.1
2021-07-07,19.5075,7881580000000000.0,5.04,24.98,56.69,56.69
2021-07-08,29.328333333333333,9231180000000000.0,5.04,24.92,54.77,54.77
2021-07-09,7.785416666666666,6785970000000000.0,5.03,24.88,39.03,39.03
2021-07-10,5.874166666666665,5187220000000000.0,5.05,24.96,33.39,33.39
2021-07-11,9.809166666666664,9975044000000000.0,5.03,24.99,28.03,28.03
2021-07-12,8.759166666666667,6046600000000000.0,5.05,25.04,24.1,24.1
2021-07-13,10.960833333333332,6150170000000000.0,4.81,24.95,38.27,38.27
2021-07-14,15.013750000000002,7570500000000000.0,5.03,24.97,35.48,35.48
2021-07-15,9.414166666666668,6508460000000000.0,5.05,25.11,36.33,36.33
2021-07-16,12.426249999999998,8176910000000000.0,5.03,21.68,32.13,32.13
2021-07-17,14.848333333333333,5123200000000000.0,5.04,25.06,38.64,38.64
2021-07-18,13.723333333333333,6742784000000000.0,5.02,24.92,37.63,37.63
2021-07-19,16.594166666666666,6290888000000000.0,5.03,24.96,50.62,50.62
2021-07-20,57.98541666666667,5916520000000000.0,5.03,25.29,52.27,52.27
2021-07-21,32.109583333333326,5474510000000000.0,5.03,25.19,46.12,46.12
2021-07-22,16.802500000000002,4158260000000000.0,5.02,24.96,27.69,27.69
2021-07-23,20.534583333333337,6240970000000000.0,5.03,24.91,27.63,27.63
2021-07-24,13.18125,6844512000000000.0,5.03,25.05,40.54,40.54
2021-07-25,10.327083333333334,4486990000000000.0,5.04,25.29,29.28,29.28
2021-07-26,24.048749999999995,7865254000000000.0,5.04,25.04,29.53,29.53
2021-07-27,26.76875,7643420000000000.0,5.0,24.95,30.76,30.76
2021-07-28,49.37499999999999,9363726000000000.0,5.04,25.02,33.89,33.89
2021-07-29,44.28333333333335,6038656000000000.0,5.03,25.07,45.62,45.62
2021-07-30,14.884166666666664,5706868000000000.0,5.03,25.1,42.84,42.84
2021-07-31,11.01875,5717240000000000.0,5.06,25.01,29.6,29.6
2021-08-01,26.436666666666667,4380160000000000.0,5.03,25.06,51.26,51.26
2021-08-02,17.829583333333336,6343382000000000.0,4.99,25.14,48.32,48.32
2021-08-03,10.732083333333335,6969910000000000.0,5.02,24.98,26.96,26.96
2021-08-04,12.054583333333332,5728270000000000.0,4.98,24.93,28.5,28.5
2021-08-05,24.44875,6677376000000000.0,5.02,24.92,29.08,29.08
2021-08-06,36.20125000000001,5562950000000000.0,5.02,9.47,45.28,45.28
2021-08-07,18.04208333333333,7507720000000000.0,5.04,9.19,46.32,46.32
2021-08-08,28.11166666666666,9569224000000000.0,5.05,8.58,51.23,51.23
2021-08-09,50.94416666666666,5848960000000000.0,8.52,9.38,43.3,43.3
2021-08-10,24.73458333333333,5862220000000000.0,13.0,9.34,38.03,38.03
2021-08-11,16.56833333333333,5440490000000000.0,12.98,8.61,34.62,34.62
2021-08-12,17.40458333333333,7509772000000000.0,13.05,9.23,39.27,39.27
2021-08-13,16.27208333333333,5934870000000000.0,13.0,8.59,38.05,38.05
2021-08-14,9.132916666666668,6255832000000000.0,13.08,11.32,40.05,40.05
2021-08-15,21.492083333333337,5662330000000000.0,13.13,13.660000000000002,38.57,38.57
2021-08-16,37.80041666666666,6740120000000000.0,12.97,10.25,50.29,50.29
2021-08-17,41.23499999999999,8913430000000000.0,12.99,10.81,52.78,52.78
2021-08-18,45.98958333333332,7488300000000000.0,13.0,9.51,63.34,63.34
2021-08-19,30.28166666666667,7213098000000000.0,13.06,9.11,54.87,54.87
2021-08-20,16.044999999999998,9758212000000000.0,12.99,9.0,31.51,31.51
2021-08-21,11.895833333333336,9372194000000000.0,12.97,9.29,25.77,25.77
2021-08-22,17.880000000000003,5045640000000000.0,12.98,10.03,20.39,20.39
2021-08-23,21.97125,6324020000000000.0,13.04,10.17,34.44,34.44
2021-08-24,26.9975,9504626000000000.0,13.06,10.55,38.21,38.21
2021-08-25,21.948750000000004,7598430000000000.0,12.96,30.0275,34.61,34.61
2021-08-26,14.82875,4913720000000000.0,13.02,10.5,38.52,38.52
2021-08-27,17.277083333333334,5403800000000000.0,12.94,10.08,32.52,32.52
2021-08-28,25.20833333333334,6756666000000000.0,12.95,9.7,39.7,39.7
2021-08-29,11.723749999999995,6264674000000000.0,12.96,19.4875,22.6,22.6
2021-08-30,14.419583333333335,7404292000000000.0,12.95,14.3375,16.27,16.27
2021-08-31,14.088333333333331,9570378000000000.0,12.98,9.3,29.11,29.11
2021-09-01,22.756250000000005,1.3326064e+16,13.01,10.05,31.76,31.76
2021-09-02,21.799166666666668,6268430000000000.0,12.98,10.86,33.04,33.04
2021-09-03,17.79333333333333,5363050000000000.0,13.05,10.59,34.37,34.37
2021-09-04,17.307916666666664,8362520000000000.0,0.97,21.41,42.86,42.86
2021-09-05,21.919166666666676,5121070000000000.0,1.01,12.4,47.49,47.49
