date,open_SO2,sate_SO2,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB"
2021-07-24,5.853333333333334,-0.1503075726,3.47
2021-07-25,8.561250000000001,0.1210868128,3.7
2021-07-26,10.406250000000002,-0.0407355834,4.15
2021-07-27,11.46875,0.041366278,5.52
2021-07-28,12.485416666666667,0.0128181539999999,4.45
2021-07-29,10.88375,0.1950077173999999,4.18
2021-07-30,7.066666666666667,0.0858137881999999,4.59
2021-07-31,6.698333333333334,-0.1392415716,4.07
2021-08-01,9.055833333333332,0.0446758098,4.02
2021-08-02,11.6875,-0.1692547031999999,4.66
2021-08-03,13.505833333333332,0.2283606664,4.94
2021-08-04,10.249999999999998,0.1059665455999999,5.59
2021-08-05,10.10375,-0.1413675666,5.35
2021-08-06,11.136666666666668,0.080970288,5.31
2021-08-07,9.849583333333332,0.0580172693999999,3.65
2021-08-08,10.119166666666668,-0.0227679216,3.97
2021-08-09,12.605833333333331,-0.0042309328,3.77
2021-08-10,10.909999999999998,0.1710664354,3.72
2021-08-11,10.243333333333334,0.0900083178,4.11
2021-08-12,11.70625,0.1202064622,5.55
2021-08-13,7.073333333333334,0.243229425,5.0
2021-08-14,6.410833333333332,0.1777231078,5.55
2021-08-15,9.187083333333332,0.1104463404,5.76
2021-08-16,12.99916666666667,0.1708156802,5.99
2021-08-17,11.751666666666663,0.0326938062,6.68
2021-08-18,8.27875,0.0020328617999999,7.58
2021-08-19,11.41375,0.0048506134,7.1
2021-08-20,11.91625,0.1642925324,6.72
2021-08-21,9.805833333333338,0.191200763,7.05
2021-08-22,13.72958333333333,0.0123522082,7.43
2021-08-23,9.622083333333334,0.2645563558,7.47
2021-08-24,9.598333333333334,0.0475634693999999,6.65
2021-08-25,9.976666666666668,0.0329510732,5.3
2021-08-26,7.433749999999999,0.1156700357999999,5.01
2021-08-27,9.922083333333331,0.0606398152,5.47
2021-08-28,7.190833333333334,0.449999988,5.41
2021-08-29,4.764166666666667,0.2114940464,5.19
2021-08-30,7.699583333333332,-0.150000006,5.18
2021-08-31,10.352083333333333,-0.1535792232,5.42
2021-09-01,13.059583333333338,-0.0640025012,5.16
2021-09-02,13.28875,0.0259438619999999,5.77
2021-09-03,13.789166666666665,-0.0136383594,5.6
2021-09-04,7.96625,-0.0703870876,5.84
2021-09-05,9.9,-0.0452280751999999,5.9
2021-09-06,7.655416666666666,0.097912744,5.96
2021-09-07,6.971666666666667,0.1173394222,5.97
2021-09-08,10.47625,0.0782378942,5.51
2021-09-09,10.752500000000005,-0.0883441654,5.6
2021-09-10,7.779166666666668,-0.0623881041999999,6.12
2021-09-11,6.324583333333333,0.063026995,5.95
2021-09-12,8.83375,-0.001074947,6.2
2021-09-13,5.85875,0.029999999,6.04
2021-09-14,4.084583333333334,-0.0198292424,5.61
2021-09-15,4.661666666666668,0.1837799356,5.62
2021-09-16,9.741666666666667,0.1633468804,5.72
2021-09-17,9.81458333333333,0.052760245,6.16
2021-09-18,9.251666666666669,-0.1055832622,6.36
2021-09-19,9.936249999999998,-0.2359860515999999,6.63
2021-09-20,10.099583333333332,-0.1552645372,6.61
2021-09-21,9.127916666666664,-0.036732361,7.19
2021-09-22,7.683750000000001,-0.0390542054,7.42
2021-09-23,9.550416666666663,0.1168174834,6.51
2021-09-24,9.999166666666667,-0.1291698365999999,6.81
2021-09-25,8.64583333333333,-0.039999999,7.08
2021-09-26,7.792916666666666,0.1350031958,7.53
2021-09-27,10.600416666666666,-0.419999987,7.07
2021-09-28,9.099583333333332,0.098855242,6.55
2021-09-29,7.862916666666667,0.2366739265999999,6.43
2021-09-30,6.524583333333335,-0.0810031203999999,7.64
2021-10-01,4.742500000000001,0.2024471998,8.96
2021-10-02,4.517916666666666,-0.1035657108,8.82
2021-10-03,7.505833333333335,0.0696746098,6.49
2021-10-04,10.637916666666664,-0.1435299696,7.7
2021-10-05,13.31,-0.1327314304,8.41
2021-10-06,12.59625,0.1983362674,8.8
2021-10-07,11.050000000000002,-0.223644212,11.77
2021-10-08,9.912083333333332,0.0372825688,10.68
2021-10-09,10.592916666666667,0.1377536968,9.66
2021-10-10,15.93,0.1768236006,9.85
2021-10-11,19.714583333333334,-0.179773942,9.58
2021-10-12,12.87916666666667,-0.0892237962,8.95
2021-10-13,10.5675,0.140736818,9.77
2021-10-14,13.76375,-0.073649623,10.59
2021-10-15,17.854999999999997,-0.1322764418,10.9
2021-10-16,9.030833333333334,0.096606255,11.37
2021-10-17,6.909166666666667,0.1467651336,11.6
2021-10-18,5.68625,0.2793892944,12.2
2021-10-19,9.540416666666667,0.0275102375999999,13.24
2021-10-20,9.050416666666669,0.0678132242,12.14
2021-10-21,15.184999999999995,-0.2328651707999999,14.46
2021-10-22,13.646666666666668,-0.088714994,11.03
2021-10-23,9.159583333333334,-0.0167848724,11.45
2021-10-24,15.422916666666666,0.0123769551999999,14.02
2021-10-25,9.379583333333334,-0.059999999,12.92
2021-10-26,9.951666666666666,0.072805562,11.38
2021-10-27,9.192916666666664,-0.028928658,10.41
2021-10-28,13.267916666666665,0.0521353393999999,11.21
2021-10-29,15.69333333333333,-0.466259241,11.42
2021-10-30,9.935416666666669,0.042329915,11.69
2021-10-31,15.371249999999998,0.1370681594,11.56
2021-11-01,38.23041666666668,0.096756421,11.89
2021-11-02,37.67041666666667,0.0778660049999999,12.0
2021-11-03,12.61625,-0.52810514,12.19
2021-11-04,13.5525,-0.0344262405999999,12.76
2021-11-05,13.117916666666666,0.0085801832,12.83
2021-11-06,14.183333333333335,-0.168118958,12.55
2021-11-07,17.457199999999997,-0.0508853844,12.59
2021-11-08,26.0075,-0.233274773,12.74
2021-11-09,34.61041666666666,-0.174822363,10.52
2021-11-10,22.8775,-0.094539441,12.61
2021-11-11,15.624166666666666,-0.144810538,11.83
2021-11-12,22.08833333333334,-0.406074822,12.09
2021-11-13,13.011666666666668,0.1676228314,12.17
2021-11-14,12.460416666666667,0.300000012,12.06
2021-11-15,18.02583333333333,-0.076477349,11.99
2021-11-16,15.69625,-0.0047537886,12.49
2021-11-17,28.117500000000007,-0.389386892,12.58
2021-11-18,12.298333333333334,-0.0598164036,13.11
2021-11-19,10.089999999999998,0.0033186454,14.07
2021-11-20,7.815,-0.0031477497999999,14.76
2021-11-21,18.12,0.078595335,14.67
2021-11-22,17.278333333333336,0.0425737021999999,14.14
2021-11-23,17.15875,-0.150369078,13.6
2021-11-24,31.834166666666672,-0.189410016,13.11
2021-11-25,23.77333333333333,-0.0753350014,14.36
2021-11-26,44.93166666666667,-0.0047261876,15.34
2021-11-27,31.085833333333337,0.114726238,15.71
2021-11-28,14.953333333333331,-0.0174683743999999,15.23
2021-11-29,10.01625,0.0320219201999999,15.37
2021-11-30,21.24333333333333,-0.0877321582,15.9
2021-12-01,13.42125,-0.131152153,11.89
2021-12-02,13.657083333333334,0.0897611342,16.37
2021-12-03,10.191666666666668,0.137217299,16.75
2021-12-04,7.935416666666666,0.0744514234,17.19
2021-12-05,7.399999999999999,-0.577232301,17.15
2021-12-06,8.949166666666667,0.1337985106,17.33
2021-12-07,9.470833333333331,0.026040388018453868,17.43
2021-12-08,19.773333333333337,-0.1999324587999999,17.17
2021-12-09,12.032083333333333,-0.389150232,17.32
2021-12-10,11.927083333333334,0.299736083,16.68
2021-12-11,10.8525,-0.143466254,15.03
2021-12-12,21.80458333333333,0.0555306528,15.24
2021-12-13,13.015833333333331,0.1234566025999999,15.14
2021-12-14,10.356666666666667,-0.158958063,15.64
2021-12-15,8.153333333333332,0.0425737021999999,15.55
2021-12-16,8.577916666666665,0.560000002,15.31
2021-12-17,11.4425,-0.073605418,15.67
2021-12-18,14.162500000000003,0.1220761642,15.58
2021-12-19,11.57125,0.760867655,15.47
2021-12-20,11.187916666666666,0.075186469,15.55
2021-12-21,14.844583333333333,-0.748703599,15.88
2021-12-22,11.993333333333334,0.216397948,15.69
2021-12-23,16.42375,-0.1449097324,16.03
2021-12-24,19.135416666666668,-0.1867059492,16.7
2021-12-25,9.669583333333334,-1.01003301,17.77
2021-12-26,8.864166666666664,0.0110377185999999,17.87
2021-12-27,19.754583333333333,0.165434888,17.37
2021-12-28,10.0825,-0.0908507943999999,17.27
2021-12-29,10.142083333333332,0.1549621078,18.1
2021-12-30,20.108750000000004,-0.129999995,17.38
2021-12-31,7.590416666666667,-0.0737195371999999,16.36
