file_name,label
"Maharashtra_Mumbai_Kandivali East, Mumbai - MPCB.csv",4
"Uttar Pradesh_Varanasi_Maldahiya, Varanasi - UPPCB.csv",4
"Maharashtra_Pune_Hadapsar, Pune - IITM.csv",4
"Uttar Pradesh_Agra_Manoharpur, Agra - UPPCB.csv",4
"Uttar Pradesh_Prayagraj_Jhunsi, Prayagraj - UPPCB.csv",4
"Uttar Pradesh_Prayagraj_Motilal Nehru NIT, Prayagraj - UPPCB.csv",4
"Tamil Nadu_Chennai_Manali, Chennai - CPCB.csv",4
"Maharashtra_Pune_Bhosari, Pune - IITM.csv",4
"Maharashtra_Mumbai_Chakala-Andheri East, Mumbai - IITM.csv",5
"Rajasthan_Jaipur_Police Commissionerate, Jaipur - RSPCB.csv",5
"Uttar Pradesh_Lucknow_Gomti Nagar, Lucknow - UPPCB.csv",5
"West Bengal_Kolkata_Victoria, Kolkata - WBPCB.csv",5
"Gujarat_Gandhinagar_IIPHG Lekawada, Gandhinagar - IITM.csv",5
"Bihar_Patna_Samanpura, Patna - BSPCB.csv",5
"Uttar Pradesh_Agra_Sector-3B Avas Vikas Colony, Agra - UPPCB.csv",5
"Uttar Pradesh_Moradabad_Employment Office, Moradabad - UPPCB.csv",5
"Madhya Pradesh_Gwalior_City Center, Gwalior - MPPCB.csv",5
"West Bengal_Asansol_Asansol Court Area, Asansol - WBPCB.csv",5
"Bihar_Patna_Govt. High School Shikarpur, Patna - BSPCB.csv",5
"Delhi_Delhi_Vivek Vihar, Delhi - DPCC.csv",6
"Delhi_Delhi_Narela, Delhi - DPCC.csv",6
"Delhi_Delhi_Sonia Vihar, Delhi - DPCC.csv",6
"Delhi_Delhi_ITO, Delhi - CPCB.csv",6
"Delhi_Delhi_ITO, Delhi - CPCB.csv",6
"Delhi_Delhi_Lodhi Road, Delhi - IITM.csv",7
"Delhi_Delhi_Sri Aurobindo Marg, Delhi - DPCC.csv",7
"Delhi_Delhi_Pusa, Delhi - IMD.csv",7
"Uttar Pradesh_Meerut_Jai Bhim Nagar, Meerut - UPPCB.csv",7
"Uttar Pradesh_Lucknow_Nishant Ganj, Lucknow - UPPCB.csv",7
"Delhi_Delhi_IGI Airport (T3), Delhi - IMD.csv",7
"Uttar Pradesh_Ghaziabad_Vasundhara, Ghaziabad - UPPCB.csv",8
"Delhi_Delhi_Nehru Nagar, Delhi - DPCC.csv",8
"Delhi_Delhi_Wazirpur, Delhi - DPCC.csv",8
"Delhi_Delhi_DTU, Delhi - CPCB.csv",8
"Haryana_Faridabad_Sector- 16A, Faridabad - HSPCB.csv",8
"Delhi_Delhi_Punjabi Bagh, Delhi - DPCC.csv",8
"Delhi_Delhi_Ashok Vihar, Delhi - DPCC.csv",8
"Uttar Pradesh_Kanpur_Nehru Nagar, Kanpur - UPPCB.csv",9
"Uttar Pradesh_Meerut_Pallavpuram Phase 2, Meerut - UPPCB.csv",9
"Delhi_Delhi_Shadipur, Delhi - CPCB.csv",9
"Delhi_Delhi_Dr. Karni Singh Shooting Range, Delhi - DPCC.csv",9
"Delhi_Delhi_Anand Vihar, Delhi - DPCC.csv",10
"Delhi_Delhi_Jahangirpuri, Delhi - DPCC.csv",10
"Delhi_Delhi_Jawaharlal Nehru Stadium, Delhi - DPCC.csv",11
"Delhi_Delhi_Pusa, Delhi - DPCC.csv",11
"Uttar Pradesh_Ghaziabad_Sanjay Nagar, Ghaziabad - UPPCB.csv",11
"Uttar Pradesh_Ghaziabad_Indirapuram, Ghaziabad - UPPCB.csv",11
"Delhi_Delhi_Mandir Marg, Delhi - DPCC.csv",11
"Bihar_Patna_IGSC Planetarium Complex, Patna - BSPCB.csv",11
"Karnataka_Bengaluru_City Railway Station, Bengaluru - KSPCB.csv",12
