date,open_SO2,sate_SO2,"Alipur, Delhi - DPCC","Anand Vihar, Delhi - DPCC","Ashok Vihar, Delhi - DPCC","Aya Nagar, Delhi - IMD","Bawana, Delhi - DPCC","Burari Crossing, Delhi - IMD","Chandni Chowk, Delhi - IITM","CRRI Mathura Road, Delhi - IMD",Dr,"DTU, Delhi - CPCB","Dwarka-Sector 8, Delhi - DPCC ","East Arjun Nagar, Delhi - CPCB","IGI Airport (T3), Delhi - IMD","IHBAS, Dilshad Garden, Delhi - CPCB","ITO, Delhi - CPCB","Jahangirpuri, Delhi - DPCC","Jawaharlal Nehru Stadium, Delhi - DPCC","Lodhi Road, Delhi - IITM","Lodhi Road, Delhi - IMD","Major Dhyan Chand National Stadium, Delhi - DPCC","Mandir Marg, Delhi - DPCC","Mundka, Delhi - DPCC","Najafgarh, Delhi - DPCC","Narela, Delhi - DPCC","Nehru Nagar, Delhi - DPCC","North Campus, DU, Delhi - IMD","NSIT Dwarka, Delhi - CPCB","Okhla Phase-2, Delhi - DPCC","Patparganj, Delhi - DPCC","Punjabi Bagh, Delhi - DPCC","Pusa, Delhi - DPCC","Pusa, Delhi - IMD","R K Puram, Delhi - DPCC","Rohini, Delhi - DPCC","Shadipur, Delhi - CPCB","Sirifort, Delhi - CPCB","Sonia Vihar, Delhi - DPCC","Sri Aurobindo Marg, Delhi - DPCC","Vivek Vihar, Delhi - DPCC","Wazirpur, Delhi - DPCC"
2021-01-14,145.45624999999998,0.5700000244000001,11.47,36.21,18.39,13.955,9.18,15.7375,11.62,15.7375,13.836666666666666,8.49,13.93,40.72,13.93,10.96,20.52,8.17,23.8,5.83,13.955,20.08,21.28,14.31,7.18,9.05,14.75,15.7375,13.48,24.59,10.99,8.77,19.49,19.49,15.9,3.9,12.4,11.05,8.26,9.14,29.17,21.41
2021-01-15,162.34374999999997,0.2040000004,11.95,34.31,21.23,21.08,9.79,20.2925,3.98,20.2925,14.38,10.11,13.54,31.74,13.54,15.46,20.45,13.98,23.26,2.29,21.08,20.86,20.93,13.57,6.85,10.01,18.32,20.2925,15.02,24.26,11.23,9.45,19.91,19.91,33.73,7.5,13.29,11.23,14.31,8.77,29.86,25.86
2021-01-16,48.20083333333333,0.0659999994,9.16,18.85,16.22,15.645,7.56,10.2425,3.9,10.2425,16.37,7.39,10.01,14.01,10.01,6.99,10.64,8.69,22.12,2.5,15.645,15.44,20.49,12.11,4.88,3.2,12.18,10.2425,11.12,17.02,4.02,6.59,15.57,15.57,10.77,2.32,8.47,10.77,6.77,6.62,18.22,19.68
2021-01-17,52.40208333333333,-0.0900000036,10.340000000000002,16.03,19.2,17.71,6.99,10.340000000000002,3.59,10.340000000000002,9.606666666666667,9.56,10.52,15.57,10.52,14.9,8.87,10.01,21.81,2.27,17.71,18.37,18.47,10.85,5.57,5.24,11.01,10.340000000000002,11.1,15.0,4.24,8.77,13.94,13.94,11.78,3.89,5.35,5.23,15.52,6.41,25.78,17.7
2021-01-18,73.71166666666667,-0.0479999988,13.38,24.5,21.59,17.76,8.9,14.05,5.54,14.05,11.783333333333331,14.92,16.5,27.25,16.5,19.52,16.75,14.45,21.92,2.34,17.76,20.42,20.4,12.14,6.4,10.07,19.45,14.05,18.76,20.17,5.82,11.93,18.72,18.72,16.83,4.84,10.37,5.26,16.4,7.64,31.76,24.5
2021-01-19,42.55791666666666,-0.2259999945999999,10.29,20.86,17.46,18.955,7.11,10.935,4.22,10.935,11.066666666666668,12.98,9.67,16.91,9.67,12.97,12.69,11.53,12.53,5.91,18.955,15.39,18.6,13.25,4.92,3.6,12.53,10.935,9.78,18.54,5.09,18.02,16.89,16.89,9.82,4.34,11.76,10.44,8.7,7.48,18.56,22.56
2021-01-20,36.130833333333335,0.289999992,8.74,15.18,17.09,20.55,7.87,10.5025,2.85,10.5025,8.200000000000001,7.45,9.35,14.01,9.35,7.4,6.94,9.17,14.71,2.55,20.55,15.15,16.45,10.49,3.51,1.49,10.38,10.5025,12.0,19.82,3.19,8.1,15.66,15.66,10.26,5.26,5.65,4.13,8.32,5.55,17.15,17.04
2021-01-21,41.77291666666666,-0.0060000003999999,10.54,17.06,18.31,19.985,8.25,11.8725,7.0,11.8725,11.27,5.6,12.81,15.68,12.81,11.78,10.39,11.81,15.72,3.38,19.985,18.09,16.62,12.54,3.58,4.46,15.3,11.8725,12.27,18.31,4.7,13.91,15.51,15.51,13.94,5.41,7.56,3.63,12.82,5.25,20.43,37.1
2021-01-22,59.972916666666656,-0.0960000162,9.31,11.61,17.05,17.45,7.65,10.7925,7.41,10.7925,10.616666666666667,4.4,10.23,23.34,10.23,34.37,15.31,10.62,13.17,3.75,17.45,16.65,19.34,15.83,5.64,6.0,12.1,10.7925,11.97,17.93,4.16,10.1,14.49,14.49,11.77,4.46,9.13,6.39,12.73,1.96,24.4,21.85
2021-01-23,34.91875,-0.039999989,9.87,12.19,18.1,16.314999999999998,8.29,11.7525,6.68,11.7525,9.216666666666669,4.06,10.07,17.6,10.07,14.98,12.22,11.67,14.52,1.88,16.314999999999998,15.85,19.62,12.91,4.05,5.8,12.38,11.7525,11.51,19.26,5.49,5.0,15.63,15.63,12.39,3.83,6.58,4.53,13.96,1.9,22.7,19.24
