date,open_NO2,sate_NO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2021-09-26,10.315,5295140000000000.0,17.75,12.24,0.78,39.11,17.75
2021-09-27,5.68625,4765752000000000.0,18.1,13.03,0.91,43.27,18.1
2021-09-28,6.347916666666666,3811370000000000.0,18.45,7.63,1.55,35.62,18.45
2021-09-29,8.079583333333334,4275090000000000.0,17.12,8.14,1.72,36.12,17.12
2021-09-30,16.291666666666668,4380050000000000.0,18.52,13.54,0.76,54.53,18.52
2021-10-01,18.99541666666667,6208644000000000.0,19.48,22.19,1.53,60.38,19.48
2021-10-02,14.498749999999996,5007018000000000.0,19.83,19.93,4.65,53.39,19.83
2021-10-03,12.022916666666667,3980278000000000.0,20.84,23.0,3.24,48.87,20.84
2021-10-04,18.010416666666664,4647020000000000.0,18.3,19.1,3.77,48.38,18.3
2021-10-05,26.062083333333337,4339560000000000.0,19.63,14.73,2.43,59.67,19.63
2021-10-06,34.32583333333333,5515516000000000.0,19.27,19.87,2.47,58.64,19.27
2021-10-07,20.860833333333336,5935280000000000.0,19.44,30.51,2.39,57.81,19.44
2021-10-08,24.62375,4370234000000000.0,19.61,40.21,3.61,52.76,19.61
2021-10-09,20.81625,4636810000000000.0,18.13,39.2,3.46,50.82,18.13
2021-10-10,29.803749999999997,4910474000000000.0,20.48,40.73,5.27,53.22,20.48
2021-10-11,55.68375,5201380000000000.0,20.25,31.78,3.54,75.72,20.25
2021-10-12,40.825,5503360000000000.0,52.85,28.11,4.59,65.02,52.85
2021-10-13,22.252916666666668,5831602000000000.0,43.39,22.93,4.25,51.76,43.39
2021-10-14,24.415833333333328,4403570000000000.0,45.4,43.41,4.9,52.29,45.4
2021-10-15,42.03333333333333,4726326000000000.0,46.51,43.95,5.55,63.66,46.51
2021-10-16,8.135416666666666,4643290000000000.0,43.35,35.32,4.95,77.42,43.35
2021-10-17,5.476666666666669,4738370000000000.0,27.27,11.61,1.78,66.52,27.27
2021-10-18,8.182916666666666,4846618000000000.0,15.9,5.59,1.81,36.93,15.9
2021-10-19,14.034583333333336,5133274000000000.0,23.96,14.7,2.73,18.38,23.96
2021-10-20,15.936666666666667,5612300000000000.0,38.13,36.59,5.27,24.52,38.13
2021-10-21,12.162916666666668,5161910000000000.0,33.76,42.49,4.43,37.51,33.76
2021-10-22,17.774583333333336,5789178000000000.0,35.41,44.37,4.18,44.5,35.41
2021-10-23,31.895000000000007,5416890000000000.0,46.21,47.74,4.7,39.27,46.21
2021-10-24,25.97208333333332,4685806000000000.0,44.88,31.11,2.99,38.64,44.88
2021-10-25,17.9075,4215010000000000.0,37.99,27.84,2.0,33.91,37.99
2021-10-26,18.22833333333333,6174212000000000.0,39.76,32.24,2.44,40.71,39.76
2021-10-27,25.06583333333333,4442470000000000.0,58.86,44.82,3.54,44.87,58.86
2021-10-28,40.412083333333335,6807100000000000.0,99.96,54.8,4.16,57.71,99.96
2021-10-29,33.79791666666667,5174202000000000.0,106.76,72.8,6.72,65.77,106.76
2021-10-30,12.542499999999997,5391210000000000.0,77.25,7.53,7.53,55.5,77.25
2021-10-31,20.92625,4756696000000000.0,95.43,6.37,6.37,60.11,95.43
2021-11-01,55.50708333333333,4401720000000000.0,113.64,5.87,5.87,70.66,113.64
2021-11-02,43.02291666666667,4266398000000000.0,111.79,45.56,4.33,62.89,111.79
2021-11-03,43.051666666666655,4944480000000000.0,106.01,53.96,3.75,64.02,106.01
2021-11-04,37.335,5169606000000000.0,100.11,52.56,5.74,56.45,100.11
2021-11-05,22.214583333333334,5923520000000000.0,87.51,52.79,6.39,52.04,87.51
2021-11-06,13.63375,1.06e+16,57.19,28.48,5.84,45.55,57.19
2021-11-07,23.0284,4511002000000000.0,80.49,50.95,7.89,57.3,80.49
2021-11-08,26.746250000000003,5425020000000000.0,102.31,56.19,5.48,65.96,102.31
2021-11-09,31.399166666666677,4662768000000000.0,105.34,51.82,4.57,61.13,105.34
2021-11-10,37.22166666666667,5562500000000000.0,112.84,61.09,5.34,67.59,112.84
2021-11-11,43.73208333333333,5030320000000000.0,127.24,59.87,9.09,69.98,127.24
2021-11-12,41.89125000000001,6176140000000000.0,118.41,62.3,6.92,69.62,118.41
2021-11-13,34.67916666666667,7122990000000000.0,122.44,72.45,7.79,65.45,122.44
2021-11-14,35.232083333333335,4634800000000000.0,131.7,68.18,9.11,66.96,131.7
2021-11-15,26.21166666666667,6606280000000000.0,143.05,68.61,6.71,69.23,143.05
2021-11-16,33.464166666666664,4740720000000000.0,124.31,62.99,5.45,68.87,124.31
2021-11-17,43.07625,6009460000000000.0,126.27,69.17,6.84,66.71,126.27
2021-11-18,18.66125,4676152000000000.0,89.94,52.63,4.83,61.09,89.94
2021-11-19,23.30875,4846492000000000.0,89.9,53.95,4.98,57.41,89.9
2021-11-20,25.505,5508024000000000.0,85.55,58.92,7.61,74.03,85.55
2021-11-21,12.822083333333332,4208410000000000.0,64.44,53.94,7.81,66.5,64.44
2021-11-22,14.85125,6676140000000000.0,64.78,59.87,8.6,76.8,64.78
2021-11-23,42.07375,5821262000000000.0,94.75,66.04,8.79,70.88,94.75
2021-11-24,51.63666666666668,6094610000000000.0,150.67,68.29,12.49,83.11,150.67
2021-11-25,30.699166666666677,4331222000000000.0,150.42,78.33,11.51,81.46,150.42
2021-11-26,39.94124999999999,4582864000000000.0,135.14,95.66,10.04,74.6,135.14
2021-11-27,39.38583333333333,5353096000000000.0,136.35,82.67,8.55,66.19,136.35
2021-11-28,30.26458333333333,4485860000000000.0,122.73,73.2,6.24,67.2,122.73
2021-11-29,30.337083333333343,6905430000000000.0,100.1,69.61,8.67,56.53,100.1
2021-11-30,42.316666666666656,6175314000000000.0,107.69,64.95,9.64,64.92,107.69
2021-12-01,33.11125000000001,5600224000000000.0,108.32,59.46,7.94,61.83,108.32
2021-12-02,27.14,5595692000000000.0,75.88,42.12,6.24,44.85,75.88
2021-12-03,34.89416666666667,5893786000000000.0,56.96,46.29,8.19,43.81,56.96
2021-12-04,38.31916666666666,5219288000000000.0,44.85,61.2,8.51,47.57,44.85
2021-12-05,25.72583333333333,6363560000000000.0,42.59,43.53,6.61,54.81,42.59
2021-12-06,20.614166666666662,5345576000000000.0,37.23,37.93,5.23,48.79,37.23
2021-12-07,23.75458333333333,5023830000000000.0,31.54,46.32,6.77,53.65,31.54
2021-12-08,42.81208333333333,6472430000000000.0,36.98,63.3,10.81,59.17,36.98
2021-12-09,32.28875,5952098000000000.0,47.18,67.3,9.62,63.08,47.18
2021-12-10,20.7425,5017940000000000.0,38.32,58.41,9.09,64.06,38.32
2021-12-11,26.020416666666677,5288522000000000.0,43.4,64.0,11.96,63.94,43.4
2021-12-12,49.00958333333333,5682690000000000.0,48.73,56.44,11.47,67.25,48.73
2021-12-13,55.81374999999999,4996032000000000.0,53.31,68.17,8.65,81.39,53.31
2021-12-14,39.73125,6064210000000000.0,43.88,59.89,9.74,66.41,43.88
2021-12-15,32.134166666666665,5517770000000000.0,39.88,52.33,7.08,58.22,39.88
2021-12-16,28.72458333333334,5072444000000000.0,40.91,49.03,6.1,65.73,40.91
2021-12-17,17.88916666666667,2699510000000000.0,32.42,35.18,7.61,47.6,32.42
2021-12-18,13.03375,5080562000000000.0,27.28,37.41,7.81,54.55,27.28
2021-12-19,19.082916666666677,4905080000000000.0,46.5,40.57,9.84,58.97,46.5
2021-12-20,35.57,5428452000000000.0,43.8,53.56,12.91,71.22,43.8
2021-12-21,31.313333333333336,4545700000000000.0,63.83,53.21,12.41,79.3,63.83
2021-12-22,45.28666666666666,4782034000000000.0,127.17,67.45,10.92,74.5,127.17
2021-12-23,55.22624999999999,6817070000000000.0,123.7,81.59,13.48,81.58,123.7
2021-12-24,32.67833333333334,9746840000000000.0,115.92,73.01,10.2,75.01,115.92
2021-12-25,28.484583333333337,5603800000000000.0,67.33,51.91,4.41,63.62,67.33
2021-12-26,20.257916666666667,4882276000000000.0,19.33,60.09,4.73,57.6,19.33
2021-12-27,33.688750000000006,5579360000000000.0,49.04,49.31,3.9,49.25,49.04
2021-12-28,15.074166666666668,6039694000000000.0,35.3,33.91,6.73,47.04,35.3
2021-12-29,9.509583333333332,4470252000000000.0,16.15,26.22,3.72,32.1,16.15
2021-12-30,24.094583333333333,4555772000000000.0,24.38,29.34,3.42,25.03,24.38
2021-12-31,26.068749999999994,3324640000000000.0,12.49,26.57,7.54,27.62,12.49
