date,open_NO2,sate_NO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2020-12-23,42.141666666666666,5711290000000000.0,82.56,59.68,82.56,106.39,82.56
2020-12-24,32.87416666666667,5719740000000000.0,77.23,79.98,77.23,97.43,77.23
2020-12-25,20.35,4871150000000000.0,48.81,50.25,48.81,92.25,48.81
2020-12-26,40.20833333333332,6101348000000000.0,54.88,56.15,54.88,96.79,54.88
2020-12-27,24.351666666666663,4509400000000000.0,68.42,43.54,68.42,114.96,68.42
2020-12-28,23.972916666666677,7201230000000000.0,76.57,50.86,76.57,108.67,76.57
2020-12-29,24.54041666666666,4478188000000000.0,34.0,51.5,34.0,88.88,34.0
2020-12-30,27.47875,6980780000000000.0,30.94,45.05,30.94,108.95,30.94
2020-12-31,43.208333333333336,5216760000000000.0,32.92,44.48,32.92,106.37,32.92
2021-01-01,50.73750000000001,5762280000000000.0,64.86,71.91,64.86,116.17,64.86
2021-01-02,32.74583333333333,5763930000000000.0,82.75,80.48,82.75,99.72,82.75
2021-01-03,23.47,4138830000000000.0,60.95,66.02,60.95,79.47,60.95
2021-01-04,20.312916666666663,5288060000000000.0,49.08,58.5,49.08,72.74,49.08
2021-01-05,40.400416666666665,4991588000000000.0,39.76,55.04,39.76,71.88,39.76
2021-01-06,25.726666666666663,9743510000000000.0,37.11,51.97,37.11,55.86,37.11
2021-01-07,17.36583333333333,4867666000000000.0,21.41,41.9,21.41,31.7,21.41
2021-01-08,16.195,6035688000000000.0,20.05,31.95,20.05,28.67,20.05
2021-01-09,11.06375,5274946000000000.0,22.91,43.63,22.91,38.87,22.91
2021-01-10,9.140416666666669,4018560000000000.0,16.59,32.56,16.59,25.98,16.59
2021-01-11,16.005416666666665,5312118000000000.0,33.31,30.61,33.31,32.95,33.31
2021-01-12,29.530416666666657,4463680000000000.0,41.14,34.69,41.14,37.32,41.14
2021-01-13,37.69583333333333,7306460000000000.0,54.61,48.21,54.61,47.04,54.61
