date,open_NO2,sate_NO2,"JN Stadium, Shillong - Meghalaya PCB","Lumpyngngad, Shillong - Meghalaya PCB"
2021-03-14,11.248260869565218,3217472000000000.0,12.26,12.26
2021-03-15,4.3445833333333335,4136022000000000.0,14.86,14.86
2021-03-16,7.645416666666666,5826240000000000.0,16.62,16.62
2021-03-17,6.883749999999998,5824410000000000.0,15.53,15.53
2021-03-18,6.954166666666668,3611198000000000.0,15.61,15.61
2021-03-19,6.562083333333335,5758700000000000.0,20.83,20.83
2021-03-20,2.3116666666666665,5686180000000000.0,15.06,15.06
2021-03-21,5.4575,7487150000000000.0,16.77,16.77
2021-03-22,5.909166666666667,4680800000000000.0,19.1,19.1
2021-03-23,5.025833333333334,7592270000000000.0,17.12,17.12
2021-03-24,1.9766666666666663,4253460000000000.0,15.03,15.03
2021-03-25,3.120416666666666,8773470000000000.0,18.02,18.02
2021-03-26,5.761666666666666,1.22e+16,18.24,18.24
2021-03-27,6.352916666666668,7012840000000000.0,13.57,13.57
2021-03-28,5.652916666666666,7499780000000000.0,11.87,11.87
2021-03-29,6.242083333333333,5197778000000000.0,9.65,9.65
2021-03-30,2.22,3490626000000000.0,6.08,6.08
2021-03-31,2.855,4364052000000000.0,4.21,4.21
2021-04-01,2.052916666666666,4797380000000000.0,5.53,5.53
2021-04-02,2.9250000000000003,3675000000000000.0,5.81,5.81
2021-04-03,2.3083333333333336,3627590000000000.0,9.06,9.06
2021-04-04,6.800000000000001,4445210000000000.0,6.1,6.1
2021-04-05,6.775833333333332,5651380000000000.0,9.13,9.13
2021-04-06,7.873333333333332,5523150000000000.0,13.67,13.67
2021-04-07,4.1658333333333335,3491528000000000.0,9.08,9.08
2021-04-08,2.119166666666666,3453800000000000.0,7.76,7.76
2021-04-09,2.60875,2170880180000000.0,6.47,6.47
2021-04-10,1.31625,4097820000000000.0,9.77,9.77
2021-04-11,1.497083333333333,4212230000000000.0,8.32,8.32
2021-04-12,2.7558333333333334,4235610000000000.0,9.15,9.15
2021-04-13,2.1516666666666664,3381380000000000.0,9.14,9.14
2021-04-14,7.006666666666668,3949552000000000.0,5.73,5.73
2021-04-15,3.675416666666667,4376680000000000.0,6.48,6.48
2021-04-16,12.213333333333331,3065952180000000.0,5.42,5.42
2021-04-17,10.300000000000002,5013910000000000.0,8.46,8.46
2021-04-18,1.4795833333333337,3732130000000000.0,11.0,11.0
2021-04-19,1.6945833333333329,4249620000000000.0,6.64,6.64
2021-04-20,3.9079166666666665,4185090000000000.0,5.62,5.62
2021-04-21,7.535833333333333,5327440000000000.0,8.84,8.84
2021-04-22,3.190416666666666,3350034000000000.0,10.35,10.35
2021-04-23,4.600416666666667,3070600180000000.0,17.09,17.09
2021-04-24,6.653333333333333,4131560000000000.0,13.42,13.42
2021-04-25,5.769166666666666,3036992180000000.0,14.11,14.11
2021-04-26,6.892499999999999,3172720000000000.0,14.16,14.16
2021-04-27,8.850833333333332,3607770000000000.0,7.89,7.89
2021-04-28,6.605416666666667,4495770000000000.0,6.26,6.26
2021-04-29,8.0175,2237500000000000.0,8.63,8.63
2021-04-30,11.423333333333334,3948532000000000.0,7.52,7.52
2021-05-01,9.857083333333334,3757098000000000.0,5.81,5.81
2021-05-02,9.666250000000002,3723862000000000.0,5.62,5.62
2021-05-03,5.699166666666666,3936008000000000.0,7.79,7.79
2021-05-04,15.335416666666664,4274540000000000.0,6.95,6.95
2021-05-05,15.439999999999996,3452478000000000.0,5.73,5.73
2021-05-06,8.4625,3965102000000000.0,9.6,9.6
2021-05-07,4.789166666666666,4000090000000000.0,5.79,5.79
2021-05-08,6.055833333333333,3739976000000000.0,5.49,5.49
2021-05-09,4.675833333333333,3143536000000000.0,5.37,5.37
2021-05-10,6.952083333333332,3884370000000000.0,4.85,4.85
2021-05-11,4.98125,2809114180000000.0,4.27,4.27
2021-05-12,10.757083333333334,3599058000000000.0,4.63,4.63
2021-05-13,3.3741666666666674,3479064000000000.0,4.62,4.62
2021-05-14,2.5383333333333336,3107540000000000.0,3.83,3.83
