date,open_NO2,sate_NO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2020-12-20,38.65375,4914970000000000.0,111.12,111.12,111.12
2020-12-21,37.33999999999999,6142610000000000.0,117.66,117.66,117.66
2020-12-22,36.40375,5086586000000000.0,135.85,135.85,135.85
2020-12-23,48.79666666666668,5214340000000000.0,129.82,129.82,129.82
2020-12-24,39.07791666666667,4892770000000000.0,138.72,138.72,138.72
2020-12-25,18.756666666666668,4615960000000000.0,95.91,95.91,95.91
2020-12-26,35.30375,6446394000000000.0,115.19,115.19,115.19
2020-12-27,21.27458333333333,4901870000000000.0,146.67,146.67,146.67
2020-12-28,19.35,7500980000000000.0,75.22,75.22,75.22
2020-12-29,28.011250000000008,4439102000000000.0,81.09,81.09,81.09
2020-12-30,30.72416666666666,4992080000000000.0,74.08,74.08,74.08
2020-12-31,45.23666666666667,5049586000000000.0,73.04,73.04,73.04
2021-01-01,50.187916666666666,3964800000000000.0,100.24,100.24,100.24
2021-01-02,25.05875,5433018000000000.0,119.39,119.39,119.39
2021-01-03,14.210000000000004,5053850000000000.0,106.9,106.9,106.9
2021-01-04,21.63583333333333,4766464000000000.0,99.0,99.0,99.0
2021-01-05,23.788333333333327,5527810000000000.0,100.24,100.24,100.24
2021-01-06,22.81458333333333,1.97e+16,102.49,102.49,102.49
2021-01-07,20.35375,4778102000000000.0,66.66,66.66,66.66
2021-01-08,16.059166666666666,4896366000000000.0,57.03,57.03,57.03
2021-01-09,14.235,4636752000000000.0,72.41,72.41,72.41
2021-01-10,9.600833333333332,3626930000000000.0,49.37,49.37,49.37
2021-01-11,13.58125,5076004000000000.0,52.76,52.76,52.76
2021-01-12,18.50375,6020600000000000.0,63.64,63.64,63.64
2021-01-13,32.99208333333333,6250370000000000.0,69.67,69.67,69.67
2021-01-14,40.85666666666666,4361780000000000.0,82.14,82.14,82.14
2021-01-15,40.64875000000001,5996510000000000.0,102.73,102.73,102.73
2021-01-16,32.52041666666667,4473634000000000.0,115.16,115.16,115.16
2021-01-17,11.164166666666668,4743826000000000.0,64.58,64.58,64.58
2021-01-18,35.89541666666666,4956314000000000.0,84.09,84.09,84.09
2021-01-19,27.889166666666668,5437150000000000.0,88.52,88.52,88.52
2021-01-20,12.499999999999998,5689370000000000.0,77.28,77.28,77.28
2021-01-21,27.795833333333334,5256930000000000.0,73.08,73.08,73.08
2021-01-22,26.337083333333336,6642310000000000.0,57.99,57.99,57.99
2021-01-23,15.559166666666668,5106640000000000.0,58.79,58.79,58.79
2021-01-24,18.66625,4827740000000000.0,54.92,54.92,54.92
2021-01-25,31.988333333333333,4154838000000000.0,59.33,59.33,59.33
2021-01-26,32.231,3365750000000000.0,58.36,58.36,58.36
2021-01-27,32.475,4780908000000000.0,83.94,83.94,83.94
2021-01-28,45.30708333333333,3859268000000000.0,70.9,70.9,70.9
2021-01-29,16.440833333333334,4937840000000000.0,66.77,66.77,66.77
2021-01-30,18.408750000000005,4957010000000000.0,103.26,103.26,103.26
2021-01-31,35.54416666666666,5506170000000000.0,123.69,123.69,123.69
2021-02-01,43.23000000000001,4828434000000000.0,128.47,128.47,128.47
2021-02-02,38.695,4123650000000000.0,147.21,147.21,147.21
2021-02-03,21.99625,5205656000000000.0,98.3,98.3,98.3
2021-02-04,20.621666666666663,6162850000000000.0,76.99,76.99,76.99
2021-02-05,20.97875,4191609800000000.0,66.4,66.4,66.4
2021-02-06,16.689583333333335,5156250000000000.0,62.29,62.29,62.29
2021-02-07,26.6425,5595380000000000.0,70.22,70.22,70.22
2021-02-08,28.784166666666675,7738380000000000.0,92.11,92.11,92.11
2021-02-09,38.84291666666668,4215880000000000.0,109.81,109.81,109.81
2021-02-10,46.32916666666666,4488174000000000.0,112.9,112.9,112.9
2021-02-11,39.10333333333333,4879320000000000.0,94.01,94.01,94.01
2021-02-12,40.3275,4637048000000000.0,104.24,104.24,104.24
2021-02-13,28.689583333333346,4321840000000000.0,103.34,103.34,103.34
2021-02-14,33.095416666666665,4196580000000000.0,98.56,98.56,98.56
2021-02-15,40.299166666666665,5327126000000000.0,120.82,120.82,120.82
2021-02-16,33.487500000000004,4763190000000000.0,97.33,97.33,97.33
2021-02-17,34.37583333333333,4346868000000000.0,98.73,98.73,98.73
2021-02-18,25.430000000000003,5817420000000000.0,102.35,102.35,102.35
2021-02-19,37.395,5393082000000000.0,93.58,93.58,93.58
2021-02-20,27.0825,5639890000000000.0,96.85,96.85,96.85
2021-02-21,24.727500000000003,4038775800000000.0,81.86,81.86,81.86
2021-02-22,22.543333333333333,5863800000000000.0,90.72,90.72,90.72
2021-02-23,26.589166666666667,5138240000000000.0,105.34,105.34,105.34
2021-02-24,17.807916666666667,5358162000000000.0,121.3,121.3,121.3
2021-02-25,12.5375,4204520000000000.0,95.69,95.69,95.69
2021-02-26,16.357083333333332,5576072000000000.0,76.48,76.48,76.48
2021-02-27,23.61333333333333,4610310000000000.0,83.22,83.22,83.22
2021-02-28,23.6225,5372100000000000.0,69.74,69.74,69.74
2021-03-01,12.3825,5780670000000000.0,63.09,63.09,63.09
2021-03-02,12.0925,5120300000000000.0,48.45,48.45,48.45
2021-03-03,28.40625,5661780000000000.0,80.84,80.84,80.84
2021-03-04,38.29458333333334,3991200000000000.0,118.44,118.44,118.44
2021-03-05,11.190833333333332,4539102000000000.0,79.6,79.6,79.6
2021-03-06,20.922500000000003,5924520000000000.0,83.01,83.01,83.01
2021-03-07,20.629166666666663,4137154000000000.0,85.47,85.47,85.47
2021-03-08,17.487500000000004,5056680000000000.0,65.03,65.03,65.03
2021-03-09,24.027916666666663,4997924000000000.0,75.64,75.64,75.64
2021-03-10,15.793750000000005,6196900000000000.0,82.84,82.84,82.84
2021-03-11,19.83208333333334,5423960000000000.0,83.81,83.81,83.81
2021-03-12,14.304583333333332,4980214000000000.0,75.89,75.89,75.89
2021-03-13,30.869583333333328,4293540000000000.0,65.7,65.7,65.7
2021-03-14,20.61782608695652,4968300000000000.0,89.13,89.13,89.13
2021-03-15,23.394166666666678,4415320000000000.0,95.04,95.04,95.04
2021-03-16,24.015833333333337,5062380000000000.0,91.1,91.1,91.1
2021-03-17,31.037083333333324,4552260000000000.0,96.37,96.37,96.37
2021-03-18,26.68,5071090000000000.0,104.88,104.88,104.88
2021-03-19,16.123749999999998,4391162000000000.0,85.93,85.93,85.93
2021-03-20,23.19458333333333,5126090000000000.0,71.5,71.5,71.5
2021-03-21,26.880416666666665,4893846000000000.0,97.57,97.57,97.57
2021-03-22,17.665000000000003,5236050000000000.0,70.97,70.97,70.97
2021-03-23,15.628750000000002,4934822000000000.0,51.92,51.92,51.92
2021-03-24,11.40375,5405830000000000.0,48.48,48.48,48.48
2021-03-25,16.294999999999998,3717300000000000.0,46.01,46.01,46.01
2021-03-26,24.75708333333333,6110780000000000.0,63.84,63.84,63.84
2021-03-27,17.199583333333333,4927050000000000.0,91.71,91.71,91.71
2021-03-28,15.858749999999995,6195740000000000.0,96.11,96.11,96.11
2021-03-29,27.42166666666667,4367680000000000.0,75.79,75.79,75.79
2021-03-30,9.077916666666669,5934184000000000.0,62.23,62.23,62.23
2021-03-31,8.020833333333332,5565240000000000.0,46.59,46.59,46.59
2021-04-01,20.48,5061272000000000.0,61.47,61.47,61.47
2021-04-02,15.612916666666663,5237600000000000.0,62.36,62.36,62.36
2021-04-03,14.257916666666668,4315710000000000.0,70.62,70.62,70.62
2021-04-04,16.345,4711318000000000.0,81.07,81.07,81.07
2021-04-05,23.7075,5084560000000000.0,117.07,117.07,117.07
2021-04-06,16.257083333333334,5269200000000000.0,77.17,77.17,77.17
2021-04-07,13.267500000000004,5236660000000000.0,66.28,66.28,66.28
2021-04-08,14.120000000000005,4931098000000000.0,61.96,61.96,61.96
2021-04-09,13.907083333333333,5313750000000000.0,64.51,64.51,64.51
2021-04-10,18.98125,5961410000000000.0,66.93,66.93,66.93
2021-04-11,13.236666666666666,6395590000000000.0,88.84,88.84,88.84
2021-04-12,18.72083333333333,4279700000000000.0,85.94,85.94,85.94
2021-04-13,25.110416666666666,6147290000000000.0,117.89,117.89,117.89
2021-04-14,10.857916666666668,6441690000000000.0,92.57,92.57,92.57
2021-04-15,24.239166666666662,4668974000000000.0,76.29,76.29,76.29
2021-04-16,30.09375,5714780000000000.0,97.67,97.67,97.67
2021-04-17,13.1575,5068180000000000.0,44.15,44.15,44.15
2021-04-18,11.753333333333332,5568170000000000.0,42.75,42.75,42.75
2021-04-19,28.102083333333336,4624660000000000.0,69.01,69.01,69.01
2021-04-20,25.010000000000005,4414108000000000.0,97.04,97.04,97.04
2021-04-21,15.26833333333333,4565420000000000.0,40.91,40.91,40.91
2021-04-22,9.558750000000002,6528930000000000.0,46.21,46.21,46.21
2021-04-23,11.884583333333332,6117460000000000.0,62.61,62.61,62.61
2021-04-24,7.643333333333333,4709990000000000.0,32.11,32.11,32.11
2021-04-25,17.264166666666668,6736840000000000.0,41.16,41.16,41.16
2021-04-26,24.72791666666667,6321120000000000.0,76.3,76.3,76.3
2021-04-27,41.62875,6432760000000000.0,109.1,109.1,109.1
2021-04-28,23.993333333333336,6613130000000000.0,127.39,127.39,127.39
2021-04-29,10.525416666666668,6500320000000000.0,109.63,109.63,109.63
2021-04-30,7.859583333333334,6159750000000000.0,59.91,59.91,59.91
2021-05-01,8.592916666666666,5830636000000000.0,55.38,55.38,55.38
2021-05-02,20.86875,5277722000000000.0,33.54,33.54,33.54
2021-05-03,12.166666666666666,5337408000000000.0,44.79,44.79,44.79
2021-05-04,5.735833333333332,5810780000000000.0,43.81,43.81,43.81
2021-05-05,5.032916666666666,3901880000000000.0,33.46,33.46,33.46
2021-05-06,5.022083333333334,6105812000000000.0,33.83,33.83,33.83
2021-05-07,11.083333333333334,4018430000000000.0,34.48,34.48,34.48
2021-05-08,16.522499999999997,2535700000000000.0,34.61,34.61,34.61
2021-05-09,12.77875,5878240000000000.0,38.22,38.22,38.22
2021-05-10,13.406250000000002,5129492000000000.0,33.67,33.67,33.67
2021-05-11,13.606250000000005,6535500000000000.0,39.47,39.47,39.47
2021-05-12,7.237500000000002,6487930000000000.0,33.44,33.44,33.44
2021-05-13,10.38625,6336120000000000.0,30.88,30.88,30.88
2021-05-14,21.15041666666667,5696750000000000.0,42.96,42.96,42.96
2021-05-15,7.292083333333333,6049200000000000.0,46.21,46.21,46.21
2021-05-16,17.512083333333333,6809660000000000.0,49.74,49.74,49.74
2021-05-17,18.9825,4259224000000000.0,36.78,36.78,36.78
2021-05-18,10.089999999999998,4450750000000000.0,37.09,37.09,37.09
2021-05-19,5.367500000000001,4914142000000000.0,30.93,30.93,30.93
2021-05-20,10.14375,4034060000000000.0,34.48,34.48,34.48
2021-05-21,23.555,5766310000000000.0,43.56,43.56,43.56
2021-05-22,20.15791666666667,4716386000000000.0,40.24,40.24,40.24
2021-05-23,9.254999999999995,5894820000000000.0,40.54,40.54,40.54
2021-05-24,11.0925,5495680000000000.0,41.49,41.49,41.49
2021-05-25,10.1725,4245120000000000.0,42.75,42.75,42.75
2021-05-26,7.552916666666666,4307636000000000.0,37.79,37.79,37.79
2021-05-27,10.33,6847550000000000.0,27.87,27.87,27.87
2021-05-28,6.791249999999999,5218280000000000.0,26.66,26.66,26.66
2021-05-29,8.910416666666668,7138520000000000.0,21.55,21.55,21.55
2021-05-30,6.2425,6463600000000000.0,27.86,27.86,27.86
2021-05-31,21.692916666666672,5940180000000000.0,56.44,56.44,56.44
2021-06-01,10.105,4506890000000000.0,40.15,40.15,40.15
2021-06-02,10.910833333333334,5493884000000000.0,49.89,49.89,49.89
2021-06-03,14.071666666666667,6258530000000000.0,48.9,48.9,48.9
2021-06-04,14.804166666666664,5137532000000000.0,57.11,57.11,57.11
2021-06-05,12.127916666666666,4994980000000000.0,55.5,55.5,55.5
