date,open_SO2,sate_SO2,"Kariavattom, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram - Kerala PCB"
2021-01-24,5.022916666666668,-0.414385647,5.28,8.54
2021-01-25,7.090833333333332,0.006663896,0.6,7.47
2021-01-26,4.8665,0.0767336083999999,5.73,8.07
2021-01-27,6.007499999999999,0.036697816,3.96,8.14
2021-01-28,3.9654166666666666,0.079816301,8.52,8.52
2021-01-29,4.712083333333333,0.0798390484,9.0,9.0
2021-01-30,3.940833333333333,-0.0039675927999999,5.4,7.22
2021-01-31,4.287916666666667,0.0436982982,4.68,9.23
2021-02-01,6.850833333333334,-0.076640524,0.97,7.22
2021-02-02,8.09625,0.113293149,1.4,8.0
2021-02-03,9.85375,-0.123372212,2.68,7.03
2021-02-04,6.890416666666666,0.0251208731999999,3.98,7.04
2021-02-05,8.008333333333335,-0.069028229,4.14,7.36
2021-02-06,8.030416666666667,0.0019424025999999,4.14,7.08
2021-02-07,7.707083333333334,0.0255539742,2.73,8.76
2021-02-08,10.933749999999998,0.114153355,4.39,6.28
2021-02-09,8.945,-0.093388669,8.33,9.66
2021-02-10,7.196666666666666,0.184325799,2.35,7.44
2021-02-11,9.947916666666668,0.0320728994,4.4,7.93
2021-02-12,7.125833333333335,-0.008824709,4.78,9.27
2021-02-13,5.555416666666667,-0.0127698822,6.17,7.95
2021-02-14,6.657499999999999,0.439943463,5.18,8.37
2021-02-15,4.847500000000001,0.0471475236,3.68,7.37
2021-02-16,2.78,0.0293182642,4.78,7.75
2021-02-17,4.703333333333334,0.056761477,8.74,8.45
2021-02-18,4.83125,0.360000014,3.54,8.81
2021-02-19,3.5850000000000004,-0.027679531,5.59,10.35
2021-02-20,3.32125,0.0048992181999999,6.6,9.28
2021-02-21,4.479583333333333,0.060092941,5.83,8.03
2021-02-22,4.824166666666668,-0.0115584339999999,5.07,7.36
2021-02-23,4.618333333333333,0.0766539666,5.36,7.61
2021-02-24,4.142500000000001,0.0303415824,6.62,9.2
2021-02-25,4.454166666666666,-0.026443576,4.85,8.8
2021-02-26,5.317916666666667,0.029968552,4.82,8.47
2021-02-27,2.930000000000001,0.194471642,5.49,8.2
2021-02-28,5.961666666666666,0.018943772,6.77,8.25
2021-03-01,6.114583333333333,0.0386025156,2.97,7.99
2021-03-02,5.5975,0.159957543,6.68,8.64
2021-03-03,7.427499999999999,-0.0001221437999999,3.43,8.36
2021-03-04,9.440833333333336,0.0531569207999999,1.04,8.73
2021-03-05,5.590000000000001,0.044454571,6.53,9.95
2021-03-06,3.665,0.006714134,3.68,8.21
2021-03-07,4.2404166666666665,0.085499637,4.61,9.51
2021-03-08,8.0875,-0.098808788,2.61,8.61
2021-03-09,10.310416666666669,-0.29449299,3.63,8.18
2021-03-10,7.195416666666668,0.0135766833999999,3.3,9.0
