date,open_NO2,sate_NO2,"Collectorate, Jodhpur - RSPCB"
2021-11-18,6.559166666666666,4801480000000000.0,61.41
2021-11-19,7.03875,4338462000000000.0,53.39
2021-11-20,6.114583333333333,4542610000000000.0,47.67
2021-11-21,7.806249999999999,4304558000000000.0,42.94
2021-11-22,21.8925,4103650000000000.0,44.79
2021-11-23,29.07458333333333,4896610000000000.0,88.01
2021-11-24,29.548333333333336,3788070000000000.0,76.96
2021-11-25,58.68666666666666,4483590000000000.0,78.55
2021-11-26,49.317083333333336,4350694000000000.0,64.2
2021-11-27,29.09375,4248520000000000.0,53.35
2021-11-28,29.184583333333336,4993166000000000.0,63.36
2021-11-29,16.90666666666667,5268810000000000.0,56.49
2021-11-30,13.387916666666664,4577420000000000.0,58.18
2021-12-01,7.67541666666667,3891484000000000.0,63.9
2021-12-02,11.177916666666668,4452480000000000.0,46.19
2021-12-03,16.178749999999997,4160024000000000.0,50.07
2021-12-04,23.308749999999996,5465440000000000.0,50.98
2021-12-05,15.575,3808072000000000.0,59.58
2021-12-06,8.753333333333336,3573240000000000.0,50.91
2021-12-07,19.602083333333336,3407044000000000.0,45.07
2021-12-08,14.386666666666663,4879040000000000.0,40.81
2021-12-09,12.620416666666664,4728564000000000.0,49.32
2021-12-10,13.22375,3318150000000000.0,50.02
2021-12-11,19.08375,4238470000000000.0,47.42
2021-12-12,24.441666666666663,3739618000000000.0,48.68
2021-12-13,19.200833333333332,5432110000000000.0,39.43
2021-12-14,11.661249999999995,4682808000000000.0,36.18
2021-12-15,20.18375,3498790000000000.0,33.88
2021-12-16,7.482500000000001,4327026000000000.0,41.91
2021-12-17,9.691666666666665,4951390000000000.0,40.46
2021-12-18,10.390833333333331,2829280000000000.0,40.28
2021-12-19,17.925833333333333,4119310000000000.0,42.18
2021-12-20,49.61083333333335,4977590000000000.0,68.13
2021-12-21,41.67958333333333,4737046000000000.0,69.96
2021-12-22,27.82666666666667,3769630000000000.0,93.84
2021-12-23,16.914583333333333,4765494000000000.0,69.44
2021-12-24,14.835416666666664,3858280000000000.0,39.78
2021-12-25,32.25541666666667,4944600000000000.0,42.01
2021-12-26,9.65625,2719780000000000.0,44.87
2021-12-27,11.526666666666667,5059520000000000.0,44.04
2021-12-28,9.812499999999998,4228410000000000.0,32.41
2021-12-29,15.610833333333336,4089240000000000.0,35.53
2021-12-30,11.700833333333334,4117962000000000.0,47.66
2021-12-31,12.112916666666663,3738912000000000.0,47.49
