date,open_NO2,sate_NO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2021-01-14,13.112083333333333,3653296000000000.0,62.09,20.79,17.32,14.86,34.05,18.36,27.09,18.54,14.86,24.56
2021-01-15,14.592083333333337,3622670000000000.0,63.91,14.4,17.3,14.96,38.0,16.9,25.74,18.65,13.03,20.32
2021-01-16,14.659583333333336,3993318000000000.0,66.89,7.1,17.31,14.88,43.75,18.54,26.5,19.05,12.86,20.52
2021-01-17,13.419166666666664,5541510000000000.0,74.38,19.64,17.35,14.7,31.7,15.53,26.5,17.69,14.7,21.74
2021-01-18,13.725833333333329,4140730000000000.0,85.97,17.71,17.33,15.68,38.75,21.67,25.53,20.93,12.78,25.81
2021-01-19,23.355416666666667,5364776000000000.0,70.39,28.22,17.27,15.77,35.44,22.75,26.1,23.02,12.87,33.61
2021-01-20,22.552916666666665,5132750000000000.0,50.39,26.58,13.23,15.18,38.66,25.82,26.96,23.4,13.03,42.61
2021-01-21,28.675416666666678,4353552000000000.0,49.75,33.66,44.72,15.34,37.72,27.96,28.5,23.45,12.61,40.32
2021-01-22,18.85083333333333,4789880000000000.0,49.87,26.16,21.59,15.63,39.92,25.56,27.7,22.89,12.61,31.31
2021-01-23,13.700833333333334,4073738000000000.0,64.63,25.46,26.84,16.08,39.8,22.58,25.49,21.85,12.05,32.3
2021-01-24,18.6225,4355210000000000.0,68.36,33.99,31.27,15.93,36.37,25.28,27.49,24.63,15.93,54.59
2021-01-25,27.1225,4527010000000000.0,57.07,29.47,32.02,15.91,45.41,24.81,25.59,23.48,12.3,31.52
2021-01-26,18.7305,3673816000000000.0,61.3,37.99,32.77,15.98,39.33,25.06,27.44,21.3,12.56,36.02
2021-01-27,25.96,3663150000000000.0,79.63,30.04,26.93,15.93,45.71,24.38,26.22,22.74,12.62,36.84
2021-01-28,13.111249999999998,4191514000000000.0,72.61,22.81,23.5,17.84,43.79,24.16,25.92,24.52,12.41,34.4
2021-01-29,13.357916666666666,4165730000000000.0,52.17,31.59,20.73,17.42,33.76,19.58,26.15,22.62,12.81,31.59
2021-01-30,10.2525,3615606000000000.0,71.37,23.77,25.94,16.25,43.34,22.73,26.42,25.05,12.65,39.38
2021-01-31,10.467083333333331,3810390000000000.0,57.11,26.57,18.94,16.06,37.15,21.45,25.0,24.04,12.91,32.28
2021-02-01,12.55916666666667,3595282000000000.0,73.48,26.39,24.86,16.21,34.32,23.39,26.81,28.2,12.81,35.9
2021-02-02,11.370416666666667,4251250000000000.0,66.5,25.57,20.73,16.14,38.88,26.63,25.65,25.17,13.19,33.76
2021-02-03,14.716666666666663,3558450000000000.0,70.38,19.17,21.33,16.25,38.91,16.95,26.46,23.54,13.03,32.99
2021-02-04,19.23541666666667,4199214000000000.0,78.9,35.2,26.07,16.17,40.1,26.36,26.36,26.38,13.08,40.91
2021-02-05,24.367083333333337,3998750000000000.0,91.8,25.26,25.95,16.38,39.45,34.3,28.12,26.97,12.4,51.83
2021-02-06,12.165416666666664,5052102000000000.0,103.79,31.8,45.0,16.4,46.01,26.83,28.31,29.39,12.65,45.0
2021-02-07,12.520833333333334,3568720000000000.0,94.59,45.36,47.34,16.75,45.47,23.68,25.86,25.95,12.97,47.34
2021-02-08,13.476666666666665,4294496000000000.0,59.49,26.14,22.13,16.91,21.94,15.17,21.6,23.04,13.93,33.3
2021-02-09,18.65625,4412400000000000.0,105.19,48.1,48.55,17.26,56.22,28.5,27.99,29.19,12.83,63.0
2021-02-10,22.61208333333333,5326930000000000.0,98.53,45.2,45.2,23.14,54.54,28.81,32.1,29.67,13.56,45.2
2021-02-11,19.546250000000004,4990970000000000.0,76.92,31.51,50.48,33.3,53.11,28.45,28.5,27.65,13.64,50.48
2021-02-12,20.80666666666667,5719710000000000.0,60.85,28.25,43.92,33.28,50.44,28.11,27.18,29.25,13.44,43.92
2021-02-13,23.705,3378110000000000.0,56.88,54.06,49.51,33.28,28.24,30.28,28.02,30.14,13.43,45.2
2021-02-14,29.49833333333333,4805970000000000.0,52.64,65.41,35.11,33.37,13.06,34.7,27.82,27.79,13.06,60.9
2021-02-15,27.603750000000005,4211614000000000.0,59.14,36.64,37.34,33.34,13.01,31.24,28.03,28.95,13.01,78.74
2021-02-16,28.804583333333337,4376610000000000.0,52.11,57.21,29.23,26.37,12.19,35.27,27.3,28.21,12.19,80.63
2021-02-17,14.566666666666665,3365062000000000.0,53.29,40.03,30.65,27.53,12.67,32.28,26.61,27.27,12.67,66.99
2021-02-18,14.847916666666668,4723810000000000.0,38.73,25.36,17.66,27.66,48.55,18.54,24.68,23.14,12.35,47.86
