date,open_NO2,sate_NO2,"Ballygunge, Kolkata - WBPCB","Bidhannagar, Kolkata - WBPCB","Fort William, Kolkata - WBPCB","Jadavpur, Kolkata - WBPCB","Rabindra Bharati University, Kolkata - WBPCB","Victoria, Kolkata - WBPCB"
2021-01-07,119.9833333333333,6560530000000000.0,65.89,54.64,116.98,65.58,28.01,100.86
2021-01-08,70.47333333333334,5763450000000000.0,53.29,36.14,87.14,59.83,23.29,80.35
2021-01-09,93.46499999999996,9557910000000000.0,35.94,30.43,76.26,59.66,21.65,62.7
2021-01-10,74.8008333333333,9300320000000000.0,30.77,36.81,74.39,53.5,23.28,56.94
2021-01-11,65.2325,5625036000000000.0,33.43,33.89,71.04,56.67,23.59,57.93
2021-01-12,66.4175,7816430000000000.0,21.71,24.0,58.4,49.65,23.6,42.59
2021-01-13,67.27416666666669,6264440000000000.0,16.44,21.47,54.41,42.16,18.37,35.37
2021-01-14,71.23083333333334,6470028000000000.0,23.65,24.76,58.96,42.3,18.39,42.03
2021-01-15,82.56875000000001,6827778000000000.0,34.94,28.44,73.78,43.11,19.27,63.87
2021-01-16,81.16875,5004690000000000.0,28.36,25.21,63.48,40.34,18.59,47.62
2021-01-17,69.28166666666665,1.14e+16,34.13,30.5,58.32,42.68,18.44,50.92
2021-01-18,106.83125,8631890000000000.0,48.91,32.71,78.95,46.42,22.2,76.83
2021-01-19,53.66541666666666,1.06e+16,35.95,27.96,75.63,43.54,24.12,64.39
2021-01-20,74.2008333333333,6512968000000000.0,53.86,28.33,56.23,42.37,19.94,57.98
2021-01-21,76.1708333333333,9599440000000000.0,67.5,31.39,67.94,45.87,19.41,74.63
2021-01-22,73.77166666666666,5598842000000000.0,61.77,29.84,66.85,42.4,18.24,75.73
2021-01-23,73.41583333333334,5998650000000000.0,67.63,31.78,63.12,44.36,18.27,66.36
2021-01-24,87.16666666666667,6668932000000000.0,52.53,28.0,66.42,41.87,17.75,47.75
2021-01-25,120.15375,8531664000000000.0,60.46,28.83,64.75,47.8,18.32,51.69
2021-01-26,57.012000000000015,8521050000000000.0,58.61,26.96,52.98,47.06,17.54,48.31
2021-01-27,59.97749999999999,5524946000000000.0,67.7,31.35,57.39,43.86,18.19,53.31
2021-01-28,73.85750000000002,6443590000000000.0,61.12,29.13,59.59,42.87,19.35,57.92
2021-01-29,74.3,5418226000000000.0,64.27,33.07,71.0,48.03,18.99,61.6
2021-01-30,63.57583333333332,6007688000000000.0,72.84,38.53,71.19,48.53,19.67,72.26
2021-01-31,64.54,5493170000000000.0,57.17,32.22,57.76,49.5,17.91,55.19
2021-02-01,92.00833333333333,5765670000000000.0,65.61,38.41,65.47,52.6,19.47,71.75
2021-02-02,91.82375,9503550000000000.0,91.04,44.28,100.22,60.33,21.58,96.5
2021-02-03,87.72541666666667,9179832000000000.0,99.78,49.26,99.77,62.02,23.38,101.52
2021-02-04,94.49291666666667,7711440000000000.0,93.09,49.0,88.8,63.08,21.06,87.66
2021-02-05,151.28541666666663,6196524000000000.0,90.33,44.35,96.35,67.23,21.86,93.47
2021-02-06,42.39875,8734400000000000.0,73.51,39.99,83.11,58.37,21.3,78.28
2021-02-07,54.401250000000005,5813864000000000.0,56.76,32.81,48.28,47.37,18.65,53.13
2021-02-08,76.1775,6642890000000000.0,66.04,39.87,74.04,55.45,19.42,71.02
2021-02-09,105.83166666666664,5717246000000000.0,83.86,44.36,83.16,61.59,21.18,86.11
2021-02-10,106.73083333333334,6879050000000000.0,87.88,51.41,113.65,62.25,22.19,114.42
2021-02-11,120.72624999999998,9922850000000000.0,72.89,50.85,79.04,59.39,21.85,79.81
2021-02-12,100.5625,5935444000000000.0,68.3,44.74,76.69,54.14,20.36,73.9
2021-02-13,115.55583333333333,1.05e+16,63.92,52.17,83.89,55.18,21.16,70.27
2021-02-14,93.39291666666666,5011040000000000.0,41.47,31.97,59.88,51.03,18.5,41.05
2021-02-15,108.91625,6213390000000000.0,56.55,32.62,67.54,44.73,18.37,60.25
2021-02-16,122.675,5754308000000000.0,49.95,33.27,71.01,48.56,18.89,62.59
2021-02-17,80.96916666666667,5031318000000000.0,61.48,43.2,72.48,52.51,20.12,61.29
2021-02-18,91.69416666666667,7066310000000000.0,66.53,42.22,81.61,53.21,19.66,80.06
2021-02-19,59.94833333333333,9195454000000000.0,63.61,39.12,81.49,51.76,18.86,76.34
2021-02-20,92.93583333333332,6256514000000000.0,68.05,42.17,76.29,53.26,19.63,69.07
2021-02-21,105.29625,6834144000000000.0,69.88,45.52,84.83,52.18,20.56,80.89
2021-02-22,104.81791666666663,8436020000000000.0,69.7,47.36,104.61,54.55,20.15,84.27
2021-02-23,88.31,5958156000000000.0,37.71,45.21,88.59,47.66,20.49,65.62
2021-02-24,104.01125,7647020000000000.0,65.46,43.38,84.71,50.21,19.49,71.28
2021-02-25,92.92166666666668,5567486000000000.0,55.95,38.83,90.66,46.55,19.15,60.06
2021-02-26,85.40249999999999,7808410000000000.0,49.86,33.29,55.38,40.98,18.58,49.33
2021-02-27,69.08125,6689850000000000.0,54.91,35.09,70.72,44.24,17.94,39.53
2021-02-28,56.39249999999999,7315952000000000.0,31.81,23.46,46.7,36.93,16.49,25.32
2021-03-01,87.41666666666667,6673500000000000.0,26.72,25.34,57.75,36.94,16.68,23.67
2021-03-02,71.21624999999999,4951668000000000.0,19.74,21.57,55.87,32.22,16.65,16.46
2021-03-03,95.6779166666667,7175530000000000.0,36.15,31.3,76.37,39.48,19.08,35.82
2021-03-04,90.59375,6731324000000000.0,34.12,35.94,78.77,40.72,19.16,36.26
2021-03-05,35.8075,8864140000000000.0,15.83,19.6,42.62,31.86,16.76,11.82
2021-03-06,63.86124999999999,9343100000000000.0,31.09,18.77,70.09,29.61,18.77,30.37
2021-03-07,90.11666666666666,7095056000000000.0,21.31,16.15,49.94,31.51,16.15,15.81
2021-03-08,35.37375,1.19e+16,16.89,16.51,34.98,24.78,16.51,9.88
2021-03-09,38.61458333333334,7849526000000000.0,19.73,21.11,33.34,22.56,16.46,11.78
2021-03-10,75.5925,7284650000000000.0,21.29,17.5,32.67,24.64,16.12,12.66
2021-03-11,76.52875,8187096000000000.0,20.32,16.64,29.16,22.6,15.89,12.21
2021-03-12,96.76333333333332,6162850000000000.0,27.8,22.07,46.1,24.84,16.86,20.88
2021-03-13,43.54000000000001,6561842000000000.0,36.15,24.51,44.37,25.93,16.98,21.19
2021-03-14,81.7186956521739,7463420000000000.0,42.47,24.89,53.61,31.87,16.27,30.15
2021-03-15,77.48458333333332,1.1e+16,33.74,29.69,63.67,29.04,17.67,27.13
2021-03-16,99.57,6060040000000000.0,44.02,30.09,61.54,27.1,16.83,32.85
2021-03-17,94.02750000000005,7796020000000000.0,45.67,33.11,76.62,32.62,17.64,30.52
2021-03-18,69.66666666666666,-3146760000000000.0,53.0,33.37,64.76,30.65,17.84,30.0
2021-03-19,95.89958333333334,9067650000000000.0,67.07,35.97,86.55,34.18,17.78,41.1
2021-03-20,72.50916666666667,6257348000000000.0,58.08,34.52,88.6,36.76,18.26,32.55
2021-03-21,89.40875,8434730000000000.0,39.43,26.2,52.27,30.05,16.84,19.43
2021-03-22,110.27166666666666,8793740000000000.0,49.75,26.63,66.73,36.67,16.98,26.35
2021-03-23,80.49791666666665,8187350000000000.0,38.52,31.08,62.73,25.7,18.83,24.04
2021-03-24,108.37333333333332,1.12e+16,32.1,24.75,55.52,31.79,17.6,14.69
2021-03-25,110.1375,7505420000000000.0,39.92,30.76,72.63,34.7,18.41,58.94
2021-03-26,92.06583333333332,1.03e+16,36.39,35.87,78.54,34.7,18.5,38.22
2021-03-27,86.99583333333334,5929572000000000.0,36.28,29.18,61.23,33.79,18.27,23.97
2021-03-28,42.55583333333333,8875370000000000.0,22.84,19.98,34.11,23.54,34.11,10.79
2021-03-29,38.74416666666667,8095336000000000.0,18.43,16.53,22.88,20.26,22.88,6.6
2021-03-30,27.532499999999995,8461850000000000.0,20.33,17.34,23.8,20.53,23.8,8.61
2021-03-31,47.361250000000005,1.12e+16,22.4,19.3,29.26,19.94,16.7,11.97
2021-04-01,41.28499999999999,9663150000000000.0,20.87,16.68,28.45,20.14,15.87,13.32
2021-04-02,36.51500000000001,7313150000000000.0,18.53,15.16,22.09,18.54,15.52,8.83
2021-04-03,48.71791666666666,1893720000000000.0,19.5,15.76,25.32,18.41,15.62,9.89
2021-04-04,64.87541666666667,6606270000000000.0,19.29,15.8,21.76,18.33,15.58,10.16
2021-04-05,61.334166666666654,6831416000000000.0,30.53,24.83,35.05,24.03,16.2,22.22
2021-04-06,39.8425,6186490000000000.0,18.45,18.97,22.25,18.2,16.16,15.14
2021-04-07,24.99833333333333,5393540000000000.0,15.44,15.83,13.05,16.44,15.48,6.78
2021-04-08,30.224166666666665,6151570000000000.0,14.6,14.91,12.0,16.57,15.57,7.68
2021-04-09,41.05625,7901960000000000.0,15.47,15.51,13.56,17.46,15.67,9.08
2021-04-10,58.37833333333332,8073800000000000.0,14.99,16.85,13.14,16.43,15.87,7.81
2021-04-11,49.96708333333333,8032570000000000.0,15.63,18.21,13.98,15.88,15.9,6.99
2021-04-12,61.10625,6604654000000000.0,18.26,21.42,16.5,16.72,16.46,10.29
2021-04-13,41.92083333333333,6138640000000000.0,14.99,16.64,11.54,15.26,16.06,7.26
2021-04-14,36.46541666666668,7431014000000000.0,13.8,13.93,10.02,14.7,15.83,5.87
2021-04-15,43.18375,6272260000000000.0,14.77,14.64,10.88,14.82,15.85,7.25
2021-04-16,65.16041666666668,6767334000000000.0,18.5,17.04,13.37,16.55,16.18,10.21
2021-04-17,27.425,7208240000000000.0,16.6,12.92,11.17,15.45,15.39,7.94
2021-04-18,28.65791666666668,5967990000000000.0,15.09,12.98,13.36,14.97,15.6,7.18
2021-04-19,32.87291666666667,4379470000000000.0,18.61,18.26,13.22,15.8,15.97,9.36
2021-04-20,35.14500000000002,6200690000000000.0,12.68,14.83,9.16,14.18,15.63,5.42
2021-04-21,36.55041666666666,5739062000000000.0,16.07,17.86,9.72,15.02,15.52,6.32
2021-04-22,95.33541666666667,7386234000000000.0,32.81,28.94,19.37,22.44,16.26,20.75
2021-04-23,102.67458333333332,6581070000000000.0,61.42,47.12,26.16,29.91,16.88,29.26
2021-04-24,73.40166666666666,6496820000000000.0,24.93,30.8,21.15,18.05,16.25,15.52
2021-04-25,37.34375000000001,7775950000000000.0,24.88,22.2,11.43,15.69,15.57,7.36
2021-04-26,33.194583333333334,8105260000000000.0,15.77,19.74,10.32,14.52,15.72,6.54
2021-04-27,43.08374999999999,7667000000000000.0,17.87,20.41,10.02,14.49,15.75,6.3
2021-04-28,37.55791666666666,5593148000000000.0,13.61,16.86,9.46,13.62,15.58,5.81
2021-04-29,37.13708333333334,6265250000000000.0,20.65,15.63,10.21,13.42,15.49,5.97
2021-04-30,58.09833333333333,5345796000000000.0,14.48,16.52,10.13,12.71,15.55,5.71
2021-05-01,30.152500000000003,6314290000000000.0,16.6,17.91,11.52,13.26,15.25,6.36
2021-05-02,27.640000000000004,6170370000000000.0,21.23,17.08,9.44,12.22,15.16,4.84
2021-05-03,52.02416666666667,5572320000000000.0,20.75,20.63,12.44,14.06,15.4,8.25
2021-05-04,54.93708333333333,8667340000000000.0,24.57,22.35,16.25,17.07,15.35,12.07
2021-05-05,34.33,-2461960000000000.0,18.4,19.23,13.16,14.97,14.77,8.39
2021-05-06,34.201249999999995,5735430000000000.0,18.09,19.43,13.54,15.28,15.56,8.43
2021-05-07,23.492500000000003,5122622000000000.0,17.88,18.85,13.04,15.53,15.48,8.36
2021-05-08,28.06083333333333,5242290000000000.0,19.81,21.48,12.4,15.47,15.56,8.38
2021-05-09,24.87708333333333,6948310000000000.0,14.93,17.18,10.13,13.52,15.32,5.99
2021-05-10,29.196250000000003,6400400000000000.0,17.94,19.52,11.15,14.14,15.6,7.98
2021-05-11,37.62875,7015006000000000.0,15.09,16.85,10.16,14.06,15.29,6.15
2021-05-12,45.63249999999999,6279430000000000.0,21.97,17.58,12.29,17.21,15.31,9.73
2021-05-13,39.084583333333335,5652450000000000.0,24.92,29.08,16.81,16.43,15.24,13.61
2021-05-14,39.81333333333333,5914536000000000.0,17.36,23.0,13.25,15.01,16.05,9.36
2021-05-15,20.75041666666667,5465800000000000.0,13.19,18.03,9.29,13.4,15.56,5.43
2021-05-16,17.207083333333333,5127572000000000.0,10.61,14.61,7.32,11.66,15.15,2.66
2021-05-17,23.93458333333333,6947670000000000.0,9.74,14.22,6.98,11.46,15.04,2.49
2021-05-18,24.028333333333336,4493030000000000.0,9.74,13.77,7.18,11.2,15.01,2.34
2021-05-19,27.34625,6744430000000000.0,11.28,14.92,8.59,11.98,15.01,3.9
2021-05-20,21.52833333333333,4952150000000000.0,8.24,13.15,7.3,11.63,14.89,1.93
2021-05-21,25.106250000000003,-704118000000000.0,9.03,13.48,7.71,11.92,14.81,2.55
2021-05-22,27.168750000000003,5346820000000000.0,11.99,16.38,8.99,12.83,14.8,3.53
2021-05-23,58.80541666666667,6504862000000000.0,17.18,17.4,10.24,13.74,14.79,5.23
2021-05-24,21.39833333333333,5566072000000000.0,17.58,20.06,11.91,16.45,15.1,7.88
2021-05-25,8.863750000000001,5494260000000000.0,16.4,14.41,8.26,11.79,14.75,2.72
2021-05-26,12.078333333333331,7890922000000000.0,8.08,11.48,6.14,10.77,14.63,0.53
2021-05-27,15.387916666666667,6374688000000000.0,8.6,12.04,7.15,12.79,14.72,1.72
2021-05-28,22.489166666666662,4924620000000000.0,8.71,11.75,6.77,11.44,14.8,1.35
2021-05-29,24.45458333333333,5850370000000000.0,8.81,12.43,6.89,14.98,14.64,1.98
2021-05-30,20.792083333333327,5633074000000000.0,8.66,12.42,6.85,13.8,14.7,1.75
2021-05-31,37.84250000000001,5192780000000000.0,14.31,16.6,10.49,15.53,14.89,5.74
2021-06-01,32.97375,7821166000000000.0,10.46,15.17,8.71,15.19,14.8,3.16
2021-06-02,39.71416666666666,6743180000000000.0,10.04,15.39,8.82,16.0,14.84,3.53
2021-06-03,37.04333333333334,6517980000000000.0,9.51,14.34,7.96,15.02,14.86,2.62
2021-06-04,34.18833333333333,5509240000000000.0,11.69,13.94,7.71,15.41,15.1,2.69
2021-06-05,27.654166666666672,5949630000000000.0,11.53,12.73,8.66,14.46,14.98,4.45
2021-06-06,38.114583333333336,7808108000000000.0,11.94,12.82,8.65,14.29,14.91,5.36
2021-06-07,44.613333333333344,5722838000000000.0,11.72,12.85,7.75,15.99,11.97,4.79
2021-06-08,50.19624999999999,5527402000000000.0,11.16,12.15,7.35,18.63,9.37,4.4
2021-06-09,63.032916666666665,6409402000000000.0,13.34,13.51,10.92,20.4,11.5,8.64
2021-06-10,35.12999999999999,9566764000000000.0,12.4,13.52,9.07,20.17,19.24,7.06
2021-06-11,32.74458333333333,6668530000000000.0,15.71,18.11,9.15,17.38,16.68,6.83
2021-06-12,24.99833333333333,6564668000000000.0,12.62,14.94,9.67,16.25,16.54,6.06
2021-06-13,29.34625,5410484000000000.0,12.02,12.33,7.37,14.14,16.5,3.86
2021-06-14,33.79375,5721710000000000.0,11.18,11.76,7.65,14.62,15.91,4.41
2021-06-15,43.94041666666666,5334412000000000.0,11.66,14.31,10.06,17.38,17.83,6.06
2021-06-16,40.25583333333333,5146678000000000.0,13.96,18.92,11.14,19.55,18.0,8.32
2021-06-17,44.21166666666667,5611324000000000.0,13.78,13.78,10.12,38.96,15.91,7.22
2021-06-18,40.55666666666667,8234638000000000.0,11.59,13.07,8.82,37.37,15.3,5.33
2021-06-19,35.42958333333334,4955276000000000.0,16.55,21.12,13.64,35.48,18.15,13.63
2021-06-20,44.02666666666667,6053064000000000.0,13.23,15.88,10.06,44.17,20.16,7.28
2021-06-21,66.40333333333335,5606194000000000.0,13.12,20.63,11.34,46.37,26.34,10.22
