date,open_SO2,sate_SO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-01-31,17.125833333333333,-0.051677626,36.95,36.95,36.95,36.95,36.95,36.95
2021-02-01,33.954583333333325,-0.1579666529999999,25.48,25.48,25.48,25.48,25.48,25.48
2021-02-02,17.4025,-0.180380836,38.96,38.96,38.96,38.96,38.96,38.96
2021-02-03,14.877083333333331,-0.0239909335999999,31.96,31.96,31.96,31.96,31.96,31.96
2021-02-04,16.462083333333332,0.0252314492,27.19,27.19,27.19,27.19,27.19,27.19
2021-02-05,21.992916666666677,-0.124894395,16.54,16.54,16.54,16.54,16.54,16.54
2021-02-06,7.697083333333332,0.0869431128,8.21,8.21,8.21,8.21,8.21,8.21
2021-02-07,11.255,-0.251988888,5.07,5.07,5.07,5.07,5.07,5.07
2021-02-08,15.214999999999998,0.0352392522,3.57,3.57,3.57,3.57,3.57,3.57
2021-02-09,20.83791666666667,-0.132809266,2.62,2.62,2.62,2.62,2.62,2.62
2021-02-10,15.465833333333334,0.046351166,4.99,4.99,4.99,4.99,4.99,4.99
2021-02-11,27.962916666666672,0.370000005,2.23,2.23,2.23,2.23,2.23,2.23
2021-02-12,32.95958333333334,0.085283466,0.96,0.96,0.96,0.96,0.96,0.96
2021-02-13,17.732083333333332,0.630400181,0.84,0.84,0.84,0.84,0.84,0.84
2021-02-14,16.42166666666667,-0.016998885,0.69,0.69,0.69,0.69,0.69,0.69
2021-02-15,14.68,0.0072182311999999,0.69,0.69,0.69,0.69,0.69,0.69
2021-02-16,15.865000000000002,0.216453269,0.61,0.61,0.61,0.61,0.61,0.61
2021-02-17,19.33750000000001,0.1403590918,0.67,0.67,0.67,0.67,0.67,0.67
2021-02-18,21.94333333333333,0.035837703,0.67,0.67,0.67,0.67,0.67,0.67
2021-02-19,24.15000000000001,0.096246604,26.49,26.49,26.49,26.49,26.49,26.49
2021-02-20,24.53708333333333,-0.098896615,26.89,26.89,26.89,26.89,26.89,26.89
2021-02-21,11.328333333333331,0.230229005,47.85,47.85,47.85,47.85,47.85,47.85
2021-02-22,16.06416666666667,-0.1301766596,33.25,33.25,33.25,33.25,33.25,33.25
2021-02-23,21.40291666666667,0.512976646,32.33,32.33,32.33,32.33,32.33,32.33
2021-02-24,17.548333333333332,0.0817147064,39.47,39.47,39.47,39.47,39.47,39.47
2021-02-25,14.01041666666667,0.056832146,25.39,25.39,25.39,25.39,25.39,25.39
2021-02-26,19.37666666666667,0.0615111753999999,22.03,22.03,22.03,22.03,22.03,22.03
2021-02-27,15.27166666666666,0.129999995,0.12,0.12,0.12,0.12,0.12,0.12
2021-02-28,17.693333333333335,0.144772112,29.52,29.52,29.52,29.52,29.52,29.52
2021-03-01,18.49,0.070455752,0.08,0.08,0.08,0.08,0.08,0.08
2021-03-02,12.975833333333334,-0.104865491,0.4,0.4,0.4,0.4,0.4,0.4
2021-03-03,23.30666666666667,0.031369543,35.63,35.63,35.63,35.63,35.63,35.63
2021-03-04,17.355,-0.038051136,0.52,0.52,0.52,0.52,0.52,0.52
2021-03-05,14.46,0.0571774832,0.74,0.74,0.74,0.74,0.74,0.74
2021-03-06,18.458333333333336,-0.350386828,0.73,0.73,0.73,0.73,0.73,0.73
2021-03-07,15.881666666666668,0.0668721435999999,36.98,36.98,36.98,36.98,36.98,36.98
2021-03-08,15.503333333333332,-0.321136743,0.73,0.73,0.73,0.73,0.73,0.73
2021-03-09,15.9,0.136974439,0.74,0.74,0.74,0.74,0.74,0.74
2021-03-10,17.317083333333333,0.0056571777999999,0.74,0.74,0.74,0.74,0.74,0.74
2021-03-11,16.887916666666673,-0.091988877,0.68,0.68,0.68,0.68,0.68,0.68
2021-03-12,12.577083333333333,-0.0432599276,0.66,0.66,0.66,0.66,0.66,0.66
2021-03-13,22.640833333333333,0.410075605,0.7,0.7,0.7,0.7,0.7,0.7
2021-03-14,13.36782608695652,0.0450945516,0.68,0.68,0.68,0.68,0.68,0.68
2021-03-15,24.20041666666667,-1.21000004,0.71,0.71,0.71,0.71,0.71,0.71
2021-03-16,23.7875,0.629933298,0.71,0.71,0.71,0.71,0.71,0.71
2021-03-17,22.83333333333333,-0.030144507,0.75,0.75,0.75,0.75,0.75,0.75
2021-03-18,21.11041666666667,-0.176754758,0.76,0.76,0.76,0.76,0.76,0.76
2021-03-19,14.467083333333337,0.0824320113999999,0.71,0.71,0.71,0.71,0.71,0.71
2021-03-20,17.685833333333335,0.17482993,0.71,0.71,0.71,0.71,0.71,0.71
2021-03-21,18.840416666666663,-0.0686333215999999,1.06,1.06,1.06,1.06,1.06,1.06
2021-03-22,16.467916666666667,0.207212314,0.73,0.73,0.73,0.73,0.73,0.73
2021-03-23,16.898749999999996,0.0044544785999999,0.71,0.71,0.71,0.71,0.71,0.71
2021-03-24,19.98916666666667,0.046932191,0.67,0.67,0.67,0.67,0.67,0.67
2021-03-25,9.727083333333336,-0.073061131,0.7,0.7,0.7,0.7,0.7,0.7
2021-03-26,16.124583333333334,0.1739907651999999,0.74,0.74,0.74,0.74,0.74,0.74
2021-03-27,22.66583333333334,-0.090889953,1.69,1.69,1.69,1.69,1.69,1.69
2021-03-28,21.602083333333336,-0.0080749575999999,0.77,0.77,0.77,0.77,0.77,0.77
2021-03-29,14.591666666666669,0.080011115,0.72,0.72,0.72,0.72,0.72,0.72
2021-03-30,8.3025,0.03078696013865336,19.81,19.81,19.81,19.81,19.81,19.81
2021-03-31,9.587083333333334,0.0750044493999999,26.36,26.36,26.36,26.36,26.36,26.36
