date,open_SO2,sate_SO2,"Bandra Kurla Complex, Mumbai - IITM","Bandra, Mumbai - MPCB","Borivali East, Mumbai - IITM","Borivali East, Mumbai - MPCB","Chakala-Andheri East, Mumbai - IITM",Chhatrapati Shivaji Intl,"Colaba, Mumbai - MPCB","Deonar, Mumbai - IITM","Kandivali East, Mumbai - MPCB","Khindipada-Bhandup West, Mumbai - IITM","Kurla, Mumbai - MPCB","Malad West, Mumbai - IITM","Mazgaon, Mumbai - IITM","Mulund West, Mumbai - MPCB","Navy Nagar-Colaba, Mumbai - IITM","Powai, Mumbai - MPCB","Siddharth Nagar-Worli, Mumbai - IITM","Sion, Mumbai - MPCB","Vasai West, Mumbai - MPCB","Vile Parle West, Mumbai - MPCB"
2021-02-05,46.105,0.034996189,1.33,13.97,4.05,4.05,2.28,15.84,19.15,26.68,35.0,7.44,42.41,6.82,13.76,16.63,7.03,7.53,13.76,8.51,23.69,3.12
2021-02-06,29.172083333333337,0.1425887526,4.08,13.93,3.84,3.84,6.6,18.24,20.35,24.9,37.82,7.93,45.02,7.4,6.36,20.66,9.8,8.14,6.36,12.87,23.57,4.22
2021-02-07,27.945000000000004,0.109574282,5.81,13.15,3.75,3.75,1.39,13.06,21.75,12.09,39.4,2.99,44.85,5.3,17.63,18.0,6.02,6.64,17.63,11.1,23.79,0.61
2021-02-08,42.35,-0.089927621,1.75,13.17,3.68,3.68,1.34,12.07,20.78,8.78,40.27,7.75,44.81,3.48,4.45,7.75,21.03,7.02,4.45,6.37,24.03,0.32
2021-02-09,64.97874999999998,0.283133507,5.43,13.72,4.28,4.28,3.39,25.82,24.47,12.5,48.89,4.02,54.77,6.94,19.0,24.47,8.62,13.22,19.0,19.37,24.39,4.13
2021-02-10,66.64749999999997,-0.220026657,5.66,14.67,4.07,4.07,4.58,22.82,11.74,11.71,47.69,7.5,50.77,7.48,15.79,24.19,7.19,10.77,15.79,14.86,24.5,6.53
2021-02-11,54.55875,0.1479438798,6.15,14.56,3.89,3.89,8.28,21.69,13.65,13.73,50.74,3.38,49.67,8.13,6.23,25.32,7.33,11.6,6.23,6.2,24.48,4.07
2021-02-12,62.66541666666666,0.19011429,3.33,14.7,4.19,4.19,6.05,20.08,13.89,22.33,49.92,3.37,49.31,4.08,16.44,27.44,5.25,17.77,16.44,8.57,24.5,6.88
2021-02-13,38.48416666666666,0.0799001952,5.21,13.82,3.99,3.99,7.9,21.1,14.79,25.86,34.7,8.18,47.63,6.52,5.67,25.67,6.43,13.68,5.67,9.14,24.17,5.19
2021-02-14,33.30916666666667,0.0762425564,4.09,14.11,3.9,3.9,3.16,3.16,9.91,20.95,23.55,5.84,43.1,6.32,3.41,26.55,2.12,10.87,3.41,6.91,23.95,2.11
