date,open_NO2,sate_NO2,"Solapur, Solapur - MPCB"
2021-03-22,2.1966666666666668,5997400000000000.0,27.66
2021-03-23,3.245416666666666,5357750000000000.0,25.48
2021-03-24,3.78375,5957770000000000.0,27.28
2021-03-25,4.954166666666667,5454240000000000.0,28.68
2021-03-26,3.220833333333333,3911844000000000.0,26.99
2021-03-27,5.268750000000001,5015380000000000.0,30.07
2021-03-28,6.302916666666667,4524380000000000.0,29.98
2021-03-29,6.824583333333336,5961260000000000.0,27.78
2021-03-30,3.755833333333333,4887960000000000.0,25.93
2021-03-31,4.510416666666666,5218560000000000.0,24.04
2021-04-01,4.178333333333332,4853170000000000.0,23.49
2021-04-02,5.958333333333332,616306000000000.0,27.56
2021-04-03,4.512083333333334,5794700000000000.0,29.53
2021-04-04,4.12625,3168980000000000.0,26.99
2021-04-05,4.625000000000001,5399220000000000.0,29.7
2021-04-06,4.5233333333333325,7054510000000000.0,32.96
2021-04-07,7.780416666666666,5722770000000000.0,27.18
2021-04-08,7.3304166666666655,3644826000000000.0,30.25
2021-04-09,6.29625,5342600000000000.0,27.03
2021-04-10,2.46125,2795550000000000.0,21.03
2021-04-11,2.932916666666667,4733308000000000.0,18.08
2021-04-12,6.408333333333334,3728890000000000.0,17.5
2021-04-13,4.04625,4653448000000000.0,14.26
2021-04-14,4.4695833333333335,5003850000000000.0,18.13
2021-04-15,8.332500000000001,5238110000000000.0,25.18
2021-04-16,6.045416666666665,6490840000000000.0,24.71
2021-04-17,5.823333333333333,5205160000000000.0,7.47
2021-04-18,3.1820833333333334,5427400000000000.0,9.53
2021-04-19,3.5725,4632600000000000.0,13.68
2021-04-20,5.2175,3455530000000000.0,11.89
2021-04-21,3.1612499999999994,4611190000000000.0,14.11
2021-04-22,4.277499999999999,4703560000000000.0,16.05
2021-04-23,3.758333333333333,4204602000000000.0,19.01
2021-04-24,6.232083333333335,7316510000000000.0,22.72
2021-04-25,3.477500000000001,6048930000000000.0,13.77
2021-04-26,8.097916666666666,4498180000000000.0,17.31
2021-04-27,6.364999999999999,4262304000000000.0,14.86
2021-04-28,4.806666666666667,4175350000000000.0,23.86
2021-04-29,9.635416666666666,4835288000000000.0,20.6
2021-04-30,5.82125,5521330000000000.0,19.52
2021-05-01,3.3495833333333334,3286030000000000.0,17.1
2021-05-02,2.5854166666666667,4615700000000000.0,11.46
2021-05-03,5.35125,5036520000000000.0,13.25
2021-05-04,2.9008333333333334,105396000000000.0,12.58
2021-05-05,5.933750000000001,5090406000000000.0,14.84
2021-05-06,4.99875,2658470000000000.0,20.24
2021-05-07,5.537916666666667,3080410000000000.0,18.56
2021-05-08,3.540833333333333,6087870000000000.0,20.26
2021-05-09,3.059583333333333,5408910000000000.0,14.47
2021-05-10,3.1254166666666667,4219410000000000.0,18.24
2021-05-11,4.0875,5660180000000000.0,18.63
2021-05-12,2.8791666666666664,5935450000000000.0,15.81
2021-05-13,3.018333333333334,3252682000000000.0,13.91
2021-05-14,3.3991666666666664,4258850000000000.0,15.56
2021-05-15,4.453749999999999,3768404000000000.0,17.25
2021-05-16,4.536666666666666,3226932000000000.0,17.07
2021-05-17,3.500833333333334,3832040000000000.0,14.19
2021-05-18,3.9575,4299344000000000.0,15.5
2021-05-19,4.195416666666667,4392130000000000.0,12.78
