date,open_NO2,sate_NO2,"Rajbagh, Srinagar - JKSPCB"
2021-04-12,44.00958333333333,3347590000000000.0,29.62
2021-04-13,58.307500000000005,4084570000000000.0,35.36
2021-04-14,55.60874999999999,3952294000000000.0,33.37
2021-04-15,39.73583333333334,3818076000000000.0,32.16
2021-04-16,49.48083333333332,2831070000000000.0,28.7
2021-04-17,19.971666666666668,2964870000000000.0,27.91
2021-04-18,28.47541666666666,3405080000000000.0,27.07
2021-04-19,44.48708333333334,2717660000000000.0,29.29
2021-04-20,31.32791666666668,3723576000000000.0,31.69
2021-04-21,59.94083333333333,3097570000000000.0,27.44
2021-04-22,27.94708333333333,4525906000000000.0,29.1
2021-04-23,56.62166666666669,3080640000000000.0,25.98
2021-04-24,44.76208333333333,3287570000000000.0,30.54
2021-04-25,42.98374999999999,3555690000000000.0,29.2
2021-04-26,53.52375,2213010000000000.0,10.0
2021-04-27,51.56625,3213320000000000.0,10.26
2021-04-28,57.30833333333334,3032430000000000.0,16.0
2021-04-29,77.85625,3966004000000000.0,14.57
2021-04-30,93.30791666666669,3799010000000000.0,14.91
2021-05-01,42.08375,3882176000000000.0,12.4
2021-05-02,39.10666666666666,3448480000000000.0,15.09
2021-05-03,46.53249999999999,4789140000000000.0,11.25
2021-05-04,54.54958333333333,3491388000000000.0,2.81
2021-05-05,71.15833333333335,3355470000000000.0,5.45
2021-05-06,53.87916666666669,3053984000000000.0,5.46
2021-05-07,59.96291666666668,3876790000000000.0,5.46
2021-05-08,56.54999999999998,4769968000000000.0,5.46
2021-05-09,48.47875,3888790000000000.0,5.46
2021-05-10,53.907916666666665,4446200000000000.0,5.46
2021-05-11,51.94375,3226200000000000.0,5.46
2021-05-12,58.86416666666668,4122860000000000.0,5.46
2021-05-13,58.17833333333334,5047940000000000.0,5.45
2021-05-14,35.08958333333333,4289750000000000.0,5.46
2021-05-15,32.08208333333333,5442478000000000.0,5.46
2021-05-16,39.48499999999999,3261484000000000.0,5.46
2021-05-17,49.92416666666666,4132742000000000.0,5.46
2021-05-18,51.40083333333335,3434990000000000.0,5.46
2021-05-19,82.07541666666665,4870160000000000.0,5.46
2021-05-20,46.06125,4817686000000000.0,5.46
2021-05-21,55.06875,5288650000000000.0,5.46
2021-05-22,54.90083333333335,4623440000000000.0,5.47
2021-05-23,43.42333333333335,4156150000000000.0,5.46
2021-05-24,52.394583333333344,3641312000000000.0,5.47
2021-05-25,40.695416666666674,3963370000000000.0,5.46
2021-05-26,62.73958333333332,4050980000000000.0,5.47
2021-05-27,68.98708333333335,4948170000000000.0,5.47
2021-05-28,64.29041666666667,3957950000000000.0,5.47
2021-05-29,46.84041666666667,3989008000000000.0,5.45
2021-05-30,41.32041666666666,4602500000000000.0,5.45
2021-05-31,75.58999999999999,4329440000000000.0,5.45
2021-06-01,49.09583333333333,4039448000000000.0,2.72
2021-06-02,61.53083333333334,4332154000000000.0,0.93
2021-06-03,44.75875,3217812000000000.0,0.72
2021-06-04,67.81000000000002,4708770000000000.0,1.57
2021-06-05,38.57333333333333,5286180000000000.0,5.46
2021-06-06,44.88916666666666,5533320000000000.0,6.05
2021-06-07,48.22666666666667,3031432000000000.0,5.33
2021-06-08,51.301666666666655,4873700000000000.0,5.06
2021-06-09,56.98583333333331,4298056000000000.0,4.98
2021-06-10,61.81916666666667,3813720000000000.0,4.98
2021-06-11,47.581666666666656,3592990000000000.0,4.99
2021-06-12,48.247083333333336,6235960000000000.0,7.01
2021-06-13,20.632916666666663,5692750000000000.0,9.59
2021-06-14,38.03791666666667,4801360000000000.0,9.59
2021-06-15,52.14291666666667,4126610000000000.0,9.59
2021-06-16,48.195,4397440000000000.0,11.92
2021-06-17,61.20875,4265920000000000.0,4.91
2021-06-18,52.29125,4071450000000000.0,5.09
2021-06-19,35.955000000000005,5764300000000000.0,6.64
2021-06-20,27.081666666666667,8137530000000000.0,6.64
2021-06-21,39.653333333333336,3187720000000000.0,5.18
2021-06-22,40.82708333333333,8911660000000000.0,7.59
2021-06-23,60.7775,4211312000000000.0,7.81
2021-06-24,38.835,4371600000000000.0,4.74
2021-06-25,45.03041666666667,4534334000000000.0,6.54
2021-06-26,31.662916666666664,5194200000000000.0,5.3
2021-06-27,35.35,4996830000000000.0,7.65
2021-06-28,46.42333333333334,4595490000000000.0,15.82
2021-06-29,55.2775,4809460000000000.0,15.49
2021-06-30,40.8025,5207670000000000.0,15.43
2021-07-01,33.42291666666667,4649050000000000.0,13.69
2021-07-02,32.08,4786344000000000.0,12.68
2021-07-03,31.554166666666674,3654390000000000.0,14.04
2021-07-04,35.265,4413870000000000.0,12.9
2021-07-05,37.53916666666667,3772784000000000.0,13.36
2021-07-06,46.59291666666666,3957370000000000.0,13.64
2021-07-07,42.64166666666666,1243140000000000.0,13.69
2021-07-08,51.31416666666667,7129690000000000.0,14.25
2021-07-09,44.342083333333335,4085362000000000.0,14.44
2021-07-10,36.2075,4267354000000000.0,15.14
2021-07-11,27.800416666666678,3914442000000000.0,11.47
2021-07-12,30.9725,4122980000000000.0,11.08
2021-07-13,18.75791666666667,4171530000000000.0,11.58
2021-07-14,42.533750000000005,4196382000000000.0,12.53
2021-07-15,40.74583333333332,4199140000000000.0,15.14
2021-07-16,34.47416666666667,3555050000000000.0,16.71
2021-07-17,34.15625,4245350000000000.0,18.0
2021-07-18,22.784166666666664,4852052000000000.0,11.04
2021-07-19,25.359166666666663,4713056000000000.0,9.68
2021-07-20,40.61249999999999,2734820000000000.0,9.74
2021-07-21,22.185,4589582000000000.0,9.42
2021-07-22,74.78583333333334,3723540000000000.0,10.27
2021-07-23,72.82208333333332,4163700000000000.0,12.02
2021-07-24,50.97291666666666,5230010000000000.0,12.88
2021-07-25,59.39416666666668,3482466000000000.0,11.51
2021-07-26,57.17875000000001,4133356000000000.0,9.48
2021-07-27,35.07666666666667,4275198000000000.0,8.58
2021-07-28,31.474583333333328,4959422000000000.0,8.56
2021-07-29,53.26833333333334,2962590000000000.0,9.97
2021-07-30,26.847916666666663,4724050000000000.0,9.72
2021-07-31,30.585000000000004,4211476000000000.0,12.52
2021-08-01,27.76,4103940000000000.0,13.44
2021-08-02,36.85791666666667,7595970000000000.0,12.59
2021-08-03,46.63375000000001,3934812000000000.0,13.76
2021-08-04,56.927083333333336,4627618000000000.0,12.48
2021-08-05,45.133333333333326,4727816000000000.0,3.61
2021-08-06,39.13458333333333,3989130000000000.0,3.99
2021-08-07,31.97208333333333,4769730000000000.0,4.0
2021-08-08,34.49958333333333,7966100000000000.0,2.86
2021-08-09,35.775,6823690000000000.0,1.9
2021-08-10,37.48125,3620382000000000.0,1.91
2021-08-11,39.10916666666667,3738170000000000.0,1.91
2021-08-12,28.34875,4604010000000000.0,6.18
2021-08-13,29.525833333333328,4803970000000000.0,11.0
2021-08-14,50.095,5215820000000000.0,11.0
2021-08-15,46.846250000000005,4444810000000000.0,11.0
2021-08-16,39.48458333333333,4427030000000000.0,11.01
2021-08-17,51.28083333333333,3880510000000000.0,11.0
2021-08-18,38.7625,4811390000000000.0,11.0
2021-08-19,39.5675,4268912000000000.0,10.99
2021-08-20,44.44041666666666,2600110000000000.0,11.0
2021-08-21,35.82541666666667,3934650000000000.0,14.73
2021-08-22,37.25625000000001,4479940000000000.0,14.68
2021-08-23,43.12833333333333,4541360000000000.0,14.03
