date,open_SO2,sate_SO2,"Ardhali Bazar, Varanasi - UPPCB","Bhelupur, Varanasi - UPPCB","IESD Banaras Hindu University, Varanasi - UPPCB","Maldahiya, Varanasi - UPPCB"
2021-01-20,21.68625,0.1209999964,6.49,6.49,6.49,6.49
2021-01-21,19.06958333333333,0.1560000022,4.61,4.61,4.61,4.61
2021-01-22,16.26958333333333,0.0350000016,4.56,4.56,4.56,4.56
2021-01-23,16.848333333333333,0.670000017,4.42,4.42,4.42,4.42
2021-01-24,14.106249999999998,0.939999998,5.24,5.24,5.24,5.24
2021-01-25,15.838333333333331,-0.0020000003999999,5.01,5.01,5.01,5.01
2021-01-26,11.637,0.0229999997999999,4.81,4.81,4.81,4.81
2021-01-27,34.275000000000006,0.1339999996,4.16,4.16,4.16,4.16
2021-01-28,22.99,0.1950000048,4.13,4.13,4.13,4.13
2021-01-29,13.699166666666668,0.1229999974,4.29,4.29,4.29,4.29
2021-01-30,13.617500000000003,0.170000002,4.32,4.32,4.32,4.32
2021-01-31,18.93625,-0.36499998,6.74,6.74,6.74,6.74
2021-02-01,18.32625,0.1620000045999999,6.3,6.3,6.3,6.3
2021-02-02,23.747916666666665,-0.449999988,7.6,7.6,7.6,7.6
2021-02-03,29.392916666666675,0.0509999968,6.73,6.73,6.73,6.73
2021-02-04,13.960416666666667,-0.035,8.71,8.71,8.71,8.71
2021-02-05,15.328333333333331,0.058000003,12.68,12.68,12.68,12.68
2021-02-06,10.737500000000002,0.2660000027999999,8.11,8.11,8.11,8.11
2021-02-07,14.094166666666666,0.400000006,6.26,6.26,6.26,6.26
2021-02-08,18.115416666666665,0.150000006,5.41,5.41,5.41,5.41
2021-02-09,20.504583333333333,0.334999979,9.5,9.5,9.5,9.5
2021-02-10,23.525833333333324,0.4380000009999999,7.5,7.5,7.5,7.5
2021-02-11,25.849166666666665,0.404999971,7.41,7.41,7.41,7.41
2021-02-12,22.113333333333333,0.3629999912,8.08,8.08,8.08,8.08
2021-02-13,27.36916666666667,0.0,7.42,7.42,7.42,7.42
2021-02-14,25.386250000000004,0.1689999998,7.69,7.69,7.69,7.69
2021-02-15,22.987916666666678,0.045000009,8.55,8.55,8.55,8.55
2021-02-16,42.85666666666666,0.1559999988,9.41,9.41,9.41,9.41
2021-02-17,20.70958333333333,0.3530000064,18.76,18.76,18.76,18.76
2021-02-18,11.115833333333333,-0.209999993,13.94,13.94,13.94,13.94
2021-02-19,19.53875,-0.0719999982,7.64,7.64,7.64,7.64
2021-02-20,20.44541666666667,0.0,5.98,5.98,5.98,5.98
2021-02-21,19.376666666666665,-0.0760000057999999,10.67,10.67,10.67,10.67
2021-02-22,21.691666666666663,0.2299999928,10.75,10.75,10.75,10.75
2021-02-23,22.61458333333334,0.137999996,10.74,10.74,10.74,10.74
2021-02-24,20.677916666666665,-0.790000021,10.94,10.94,10.94,10.94
2021-02-25,19.595,-0.5,9.71,9.71,9.71,9.71
2021-02-26,16.794166666666666,0.2139999956,6.77,6.77,6.77,6.77
2021-02-27,15.144583333333332,-0.230000004,8.25,8.25,8.25,8.25
2021-02-28,15.751249999999995,-0.0430000006,6.85,6.85,6.85,6.85
2021-03-01,19.541666666666668,0.579999983,6.92,6.92,6.92,6.92
2021-03-02,19.387916666666666,-0.0079999983999999,8.28,8.28,8.28,8.28
2021-03-03,21.686666666666667,-0.059999988,14.99,14.99,14.99,14.99
2021-03-04,20.17125,0.620000005,12.68,12.68,12.68,12.68
2021-03-05,20.558333333333334,0.1139999964,8.0,8.0,8.0,8.0
2021-03-06,15.46375,0.219999999,8.09,8.09,8.09,8.09
2021-03-07,14.290833333333332,0.391999995,8.4,8.4,8.4,8.4
2021-03-08,14.700833333333335,-0.034999996,7.36,7.36,7.36,7.36
2021-03-09,20.648333333333333,0.153999997,7.17,7.17,7.17,7.17
2021-03-10,17.979166666666668,0.0860000072,7.02,7.02,7.02,7.02
2021-03-11,16.79666666666667,0.0170000016,5.62,5.62,5.62,5.62
2021-03-12,16.943333333333335,0.2410000025999999,5.05,5.05,5.05,5.05
2021-03-13,10.72,0.2120000034,4.3,4.3,4.3,4.3
2021-03-14,14.839130434782607,0.2920000024,4.04,4.04,4.04,4.04
2021-03-15,20.032083333333333,0.310000002,5.08,5.08,5.08,5.08
2021-03-16,19.56541666666667,0.0030000001999999,6.01,6.01,6.01,6.01
2021-03-17,25.89375,-0.090000004,27.79,27.79,27.79,27.79
2021-03-18,22.044583333333332,0.0150000005999999,23.99,23.99,23.99,23.99
2021-03-19,17.93041666666667,0.02,12.05,12.05,12.05,12.05
2021-03-20,14.624166666666666,0.11500001,13.11,13.11,13.11,13.11
2021-03-21,17.967916666666667,0.0820000082,14.8,14.8,14.8,14.8
2021-03-22,18.949583333333333,0.129999995,14.55,14.55,14.55,14.55
2021-03-23,18.80583333333333,0.3569999947999999,13.24,13.24,13.24,13.24
2021-03-24,17.78333333333334,0.02,12.42,12.42,12.42,12.42
2021-03-25,17.752916666666668,0.37700001,12.19,12.19,12.19,12.19
2021-03-26,19.23333333333333,0.4320000168000001,11.23,11.23,11.23,11.23
2021-03-27,32.62291666666666,0.0919999968,10.11,10.11,10.11,10.11
2021-03-28,19.655833333333334,-0.150000006,8.54,8.54,8.54,8.54
2021-03-29,27.57166666666667,-0.019999996,10.57,10.57,10.57,10.57
2021-03-30,18.597916666666663,0.08349875342044888,7.46,7.46,7.46,7.46
2021-03-31,20.539166666666663,-0.439999998,7.07,7.07,7.07,7.07
2021-04-01,22.640416666666667,-0.0369999958,7.34,7.34,7.34,7.34
2021-04-02,21.24833333333333,-0.090000004,15.61,15.61,15.61,15.61
2021-04-03,18.11,0.1480000036,24.27,24.27,24.27,24.27
2021-04-04,24.980416666666667,-0.689999998,23.84,23.84,23.84,23.84
2021-04-05,22.038333333333338,0.329999983,27.27,27.27,27.27,27.27
2021-04-06,17.882083333333334,0.49000001,21.7,21.7,21.7,21.7
2021-04-07,19.91875,-0.5,22.74,22.74,22.74,22.74
2021-04-08,26.35625,-0.387999999,21.42,21.42,21.42,21.42
2021-04-09,23.33083333333333,0.0349999994,22.95,22.95,22.95,22.95
2021-04-10,22.640416666666667,0.0720000066,22.67,22.67,22.67,22.67
2021-04-11,22.168333333333333,0.1830000056,23.81,23.81,23.81,23.81
2021-04-12,27.354166666666668,0.720000029,24.07,24.07,24.07,24.07
2021-04-13,30.259583333333328,-0.389999986,27.47,27.47,27.47,27.47
2021-04-14,35.15708333333334,0.300000012,26.71,26.71,26.71,26.71
2021-04-15,19.148333333333333,-0.219999999,27.99,27.99,27.99,27.99
2021-04-16,16.790833333333335,-0.054999996,30.54,30.54,30.54,30.54
2021-04-17,13.342083333333337,0.0319999986,27.71,27.71,27.71,27.71
2021-04-18,14.375,0.629999995,23.46,23.46,23.46,23.46
2021-04-19,21.79583333333333,0.200000009,30.53,30.53,30.53,30.53
2021-04-20,26.38041666666666,-0.649999976,37.54,37.54,37.54,37.54
2021-04-21,20.321250000000003,0.3950000077999999,32.84,32.84,32.84,32.84
2021-04-22,14.256666666666668,0.209999993,31.09,31.09,31.09,31.09
2021-04-23,20.96166666666667,-0.090000004,33.22,33.22,33.22,33.22
2021-04-24,17.37541666666667,0.4840000004,34.52,34.52,34.52,34.52
2021-04-25,18.736666666666668,0.165000007,29.24,29.24,29.24,29.24
2021-04-26,27.865,0.1999999984,28.32,28.32,28.32,28.32
2021-04-27,34.138333333333335,0.3700000052,30.6,30.6,30.6,30.6
2021-04-28,21.199583333333337,0.959999979,39.59,39.59,39.59,39.59
2021-04-29,19.699583333333333,-0.349999994,27.79,27.79,27.79,27.79
2021-04-30,19.282916666666665,-0.0759999986,24.85,24.85,24.85,24.85
2021-05-01,13.962500000000004,0.050000005,24.47,24.47,24.47,24.47
2021-05-02,13.51625,0.1369999989999999,22.89,22.89,22.89,22.89
2021-05-03,13.90875,-0.0399999989999999,21.97,21.97,21.97,21.97
2021-05-04,13.580833333333336,0.2510000086,23.64,23.64,23.64,23.64
2021-05-05,19.54583333333333,0.0569999992,23.62,23.62,23.62,23.62
2021-05-06,19.564999999999998,0.379999995,23.35,23.35,23.35,23.35
2021-05-07,16.051249999999996,0.1879999952,23.5,23.5,23.5,23.5
2021-05-08,17.423333333333332,0.469999999,24.27,24.27,24.27,24.27
2021-05-09,14.127499999999998,0.159999996,23.77,23.77,23.77,23.77
2021-05-10,21.145,0.2550000034,22.52,22.52,22.52,22.52
2021-05-11,18.5275,0.219999999,22.62,22.62,22.62,22.62
2021-05-12,10.920833333333334,0.1739999957999999,23.13,23.13,23.13,23.13
2021-05-13,8.952916666666665,-0.1109999971999999,23.23,23.23,23.23,23.23
2021-05-14,19.85833333333333,-0.779999971,23.05,23.05,23.05,23.05
2021-05-15,18.715,1.40999997,24.09,24.09,24.09,24.09
2021-05-16,13.605,-0.11500001,22.82,22.82,22.82,22.82
2021-05-17,18.9,0.0680000083999999,22.65,22.65,22.65,22.65
2021-05-18,8.660416666666665,-0.0959999924,23.07,23.07,23.07,23.07
2021-05-19,7.424166666666665,-0.3449999982,21.9,21.9,21.9,21.9
2021-05-20,16.43625,-0.0410000098,23.2,23.2,23.2,23.2
2021-05-21,11.248333333333331,-1.7999999990525595e-09,22.9,22.9,22.9,22.9
2021-05-22,16.535833333333333,0.064999998,23.01,23.01,23.01,23.01
2021-05-23,14.407083333333334,0.414999992,24.04,24.04,24.04,24.04
2021-05-24,15.670833333333327,0.100000001,23.47,23.47,23.47,23.47
2021-05-25,11.055416666666666,0.0399999998,25.58,25.58,25.58,25.58
2021-05-26,5.6825,0.0719999964,23.61,23.61,23.61,23.61
2021-05-27,4.195416666666668,0.1830000052,22.26,22.26,22.26,22.26
2021-05-28,11.874583333333334,-0.214999997,22.12,22.12,22.12,22.12
2021-05-29,9.375833333333333,-0.0339999944,22.29,22.29,22.29,22.29
2021-05-30,7.575833333333333,-0.0099999978,23.97,23.97,23.97,23.97
2021-05-31,11.745416666666666,0.769999981,22.88,22.88,22.88,22.88
2021-06-01,15.80375,0.0230000004,22.21,22.21,22.21,22.21
2021-06-02,13.16541666666667,0.459999979,22.79,22.79,22.79,22.79
2021-06-03,18.070833333333333,0.135000005,21.8,21.8,21.8,21.8
2021-06-04,16.2575,0.005999998,22.78,22.78,22.78,22.78
2021-06-05,9.773333333333335,-0.119999997,22.99,22.99,22.99,22.99
2021-06-06,10.294583333333334,0.0029999997999999,22.67,22.67,22.67,22.67
2021-06-07,13.034583333333336,-0.02,22.79,22.79,22.79,22.79
2021-06-08,16.416666666666668,-0.100000001,18.91,18.91,18.91,18.91
2021-06-09,12.454166666666666,0.159999996,15.15,15.15,15.15,15.15
2021-06-10,8.560416666666667,-0.0900000036,15.22,15.22,15.22,15.22
2021-06-11,10.247499999999995,0.1369999957999999,18.03,18.03,18.03,18.03
2021-06-12,7.995416666666665,0.1379999952,15.36,15.36,15.36,15.36
2021-06-13,7.310833333333334,-0.0639999956,16.93,16.93,16.93,16.93
2021-06-14,8.943333333333333,0.1320000093999999,17.09,17.09,17.09,17.09
2021-06-15,17.345,-0.0859999996,15.84,15.84,15.84,15.84
2021-06-16,9.951666666666666,0.121999995,16.28,16.28,16.28,16.28
2021-06-17,9.738333333333332,0.2199999956,17.26,17.26,17.26,17.26
2021-06-18,10.672916666666666,0.0699999938,21.14,21.14,21.14,21.14
2021-06-19,9.12625,0.162999999,22.63,22.63,22.63,22.63
2021-06-20,9.822916666666666,0.3779999948,23.68,23.68,23.68,23.68
2021-06-21,13.227083333333333,-0.0510000191999999,24.21,4.21,8.33,4.21
2021-06-22,9.435833333333337,-0.0099999968,24.12,4.67,8.7,4.67
2021-06-23,9.539166666666668,-0.229999996,23.07,4.07,7.26,4.07
2021-06-24,14.847083333333336,0.0669999974,22.41,4.32,7.88,4.32
2021-06-25,10.160833333333334,0.3850000052,18.27,4.41,7.82,4.41
