date,open_NO2,sate_NO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-04-19,15.9975,5193890000000000.0,24.42,24.42,24.42,24.42,24.42,24.42
2021-04-20,11.446666666666664,5340946000000000.0,23.23,23.23,23.23,23.23,23.23,23.23
2021-04-21,17.861250000000002,5920550000000000.0,10.89,10.89,10.89,10.89,10.89,10.89
2021-04-22,9.513333333333334,3977944000000000.0,15.31,15.31,15.31,15.31,15.31,15.31
2021-04-23,7.102499999999999,5156810000000000.0,13.94,13.94,13.94,13.94,13.94,13.94
2021-04-24,9.52875,4525438000000000.0,10.04,10.04,10.04,10.04,10.04,10.04
2021-04-25,14.445833333333336,6479030000000000.0,18.71,18.71,18.71,18.71,18.71,18.71
2021-04-26,26.130416666666672,5585220000000000.0,37.59,37.59,37.59,37.59,37.59,37.59
2021-04-27,30.775,6370630000000000.0,30.57,30.57,30.57,30.57,30.57,30.57
2021-04-28,26.750416666666663,5606560000000000.0,37.53,37.53,37.53,37.53,37.53,37.53
2021-04-29,17.408333333333335,5888888000000000.0,21.47,21.47,21.47,21.47,21.47,21.47
2021-04-30,15.185833333333337,6467540000000000.0,25.32,25.32,25.32,25.32,25.32,25.32
2021-05-01,9.027083333333334,4640420000000000.0,11.81,11.81,11.81,11.81,11.81,11.81
2021-05-02,5.857499999999999,6305810000000000.0,11.77,11.77,11.77,11.77,11.77,11.77
2021-05-03,8.493333333333334,4352100000000000.0,12.84,12.84,12.84,12.84,12.84,12.84
2021-05-04,16.749166666666664,4139250000000000.0,6.81,6.81,6.81,6.81,6.81,6.81
2021-05-05,8.485833333333334,5603570000000000.0,8.63,8.63,8.63,8.63,8.63,8.63
2021-05-06,7.922499999999999,6494640000000000.0,7.51,7.51,7.51,7.51,7.51,7.51
2021-05-07,14.182083333333331,6422600000000000.0,10.22,10.22,10.22,10.22,10.22,10.22
2021-05-08,15.836666666666666,4899164000000000.0,12.33,12.33,12.33,12.33,12.33,12.33
2021-05-09,9.1075,6491570000000000.0,10.49,10.49,10.49,10.49,10.49,10.49
2021-05-10,11.370833333333332,5567120000000000.0,8.42,8.42,8.42,8.42,8.42,8.42
2021-05-11,23.848333333333333,6412700000000000.0,6.96,6.96,6.96,6.96,6.96,6.96
2021-05-12,12.16916666666667,4695500000000000.0,10.0,10.0,10.0,10.0,10.0,10.0
2021-05-13,19.64666666666667,7365840000000000.0,10.44,10.44,10.44,10.44,10.44,10.44
2021-05-14,31.454166666666666,7433780000000000.0,15.34,15.34,15.34,15.34,15.34,15.34
2021-05-15,7.746666666666666,5198410000000000.0,16.97,16.97,16.97,16.97,16.97,16.97
2021-05-16,20.62875,6456490000000000.0,13.53,13.53,13.53,13.53,13.53,13.53
2021-05-17,5.718750000000001,5307448000000000.0,15.38,15.38,15.38,15.38,15.38,15.38
2021-05-18,9.176666666666668,5289040000000000.0,8.95,8.95,8.95,8.95,8.95,8.95
2021-05-19,8.946666666666667,5713280000000000.0,7.02,7.02,7.02,7.02,7.02,7.02
2021-05-20,27.83833333333333,7341260000000000.0,25.08,25.08,25.08,25.08,25.08,25.08
2021-05-21,14.716249999999995,4256500000000000.0,12.92,12.92,12.92,12.92,12.92,12.92
2021-05-22,14.080000000000004,5799670000000000.0,14.52,14.52,14.52,14.52,14.52,14.52
2021-05-23,8.552083333333334,5831410000000000.0,14.0,14.0,14.0,14.0,14.0,14.0
2021-05-24,13.144166666666669,5100218000000000.0,12.21,12.21,12.21,12.21,12.21,12.21
2021-05-25,23.788750000000004,6055060000000000.0,29.61,29.61,29.61,29.61,29.61,29.61
2021-05-26,20.87666666666667,5230858000000000.0,27.41,27.41,27.41,27.41,27.41,27.41
2021-05-27,23.7075,6776750000000000.0,23.11,23.11,23.11,23.11,23.11,23.11
2021-05-28,7.954583333333336,4678860000000000.0,6.44,6.44,6.44,6.44,6.44,6.44
2021-05-29,4.336666666666667,6320570000000000.0,5.24,5.24,5.24,5.24,5.24,5.24
2021-05-30,18.47916666666666,6519100000000000.0,6.93,6.93,6.93,6.93,6.93,6.93
2021-05-31,13.397916666666667,6307394000000000.0,22.16,22.16,22.16,22.16,22.16,22.16
2021-06-01,13.285000000000002,5495580000000000.0,13.61,13.61,13.61,13.61,13.61,13.61
2021-06-02,22.020416666666662,5335926000000000.0,19.85,19.85,19.85,19.85,19.85,19.85
2021-06-03,28.98041666666667,5973420000000000.0,19.99,19.99,19.99,19.99,19.99,19.99
2021-06-04,20.475416666666668,5703860000000000.0,7.96,31.3,31.3,31.3,31.3,31.3
2021-06-05,9.5875,5760916000000000.0,6.01,19.39,19.39,19.39,19.39,19.39
2021-06-06,6.228333333333334,7263800000000000.0,6.9,25.65,25.65,25.65,25.65,25.65
2021-06-07,15.170000000000002,6011430000000000.0,11.01,24.77,24.77,24.77,24.77,24.77
2021-06-08,6.645416666666667,5073290000000000.0,5.59,22.89,22.89,22.89,22.89,22.89
2021-06-09,12.121666666666668,4567832000000000.0,3.89,14.33,14.33,14.33,14.33,14.33
2021-06-10,14.193333333333335,6394800000000000.0,6.62,10.48,10.48,10.48,10.48,10.48
2021-06-11,7.140416666666666,5786558000000000.0,5.04,9.08,9.08,8.36,9.08,8.36
2021-06-12,4.232916666666666,6486370000000000.0,4.68,6.41,6.41,5.41,6.41,5.41
2021-06-13,5.064166666666666,6389500000000000.0,6.06,7.74,7.74,7.43,7.74,7.43
2021-06-14,8.267916666666666,6761340000000000.0,5.43,7.82,7.82,5.81,7.82,5.81
2021-06-15,15.240833333333336,6645080000000000.0,3.8,8.56,8.56,6.24,8.56,6.24
2021-06-16,8.875416666666666,5268568000000000.0,8.46,14.63,14.63,9.06,14.63,9.06
2021-06-17,6.879583333333333,6286720000000000.0,9.86,10.37,10.37,9.27,10.37,9.27
2021-06-18,7.072500000000001,5339444000000000.0,5.38,7.7,7.7,5.99,7.7,5.99
2021-06-19,7.81,5285330000000000.0,4.0,4.44,4.44,3.65,4.44,3.65
2021-06-20,9.18625,5112180000000000.0,3.7,10.06,10.06,5.13,10.06,5.13
2021-06-21,10.337083333333334,4545560000000000.0,3.34,9.97,9.97,4.3,9.97,4.3
2021-06-22,19.886249999999997,5844770000000000.0,4.99,11.95,11.95,5.86,11.95,5.86
2021-06-23,6.8425,5853750000000000.0,6.46,8.17,8.17,5.77,8.17,5.77
2021-06-24,9.088333333333331,5787060000000000.0,3.81,8.41,8.41,4.14,8.41,4.14
2021-06-25,10.88375,5314178000000000.0,5.27,14.43,14.43,7.78,14.43,7.78
2021-06-26,5.6433333333333335,6955280000000000.0,4.66,10.6,10.6,8.03,10.6,8.03
2021-06-27,5.717083333333334,5385118000000000.0,4.55,8.33,8.33,6.56,8.33,6.56
2021-06-28,7.853750000000001,5681900000000000.0,5.63,14.65,14.65,10.24,14.65,10.24
2021-06-29,8.58625,4839510000000000.0,6.17,28.99,28.99,12.83,28.99,12.83
2021-06-30,3.47875,5733850000000000.0,5.47,21.56,21.56,11.68,21.56,11.68
2021-07-01,4.4679166666666665,3496900000000000.0,3.23,10.45,10.45,5.94,10.45,5.94
2021-07-02,8.91,5169788000000000.0,3.16,9.71,9.71,4.31,9.71,4.31
