date,open_NO2,sate_NO2,"Bandra Kurla Complex, Mumbai - IITM","Bandra, Mumbai - MPCB","Borivali East, Mumbai - IITM","Borivali East, Mumbai - MPCB","Chakala-Andheri East, Mumbai - IITM",Chhatrapati Shivaji Intl,"Colaba, Mumbai - MPCB","Deonar, Mumbai - IITM","Kandivali East, Mumbai - MPCB","Khindipada-Bhandup West, Mumbai - IITM","Kurla, Mumbai - MPCB","Malad West, Mumbai - IITM","Mazgaon, Mumbai - IITM","Mulund West, Mumbai - MPCB","Navy Nagar-Colaba, Mumbai - IITM","Powai, Mumbai - MPCB","Siddharth Nagar-Worli, Mumbai - IITM","Sion, Mumbai - MPCB","Vasai West, Mumbai - MPCB","Vile Parle West, Mumbai - MPCB"
2021-04-01,51.68,5680070000000000.0,17.51,12.24,16.01,2.48,17.63,5.57,11.33,10.77,14.59,15.84,26.64,6.5,23.58,4.81,13.32,14.09,11.69,18.48,25.63,12.48
2021-04-02,58.63541666666668,5023442000000000.0,10.65,11.29,4.36,3.03,31.17,6.12,13.94,11.02,16.33,13.35,33.41,5.93,12.77,5.83,15.14,11.4,39.64,19.72,30.01,13.73
2021-04-03,34.815,5035590000000000.0,8.47,13.57,4.61,3.28,28.71,11.86,12.31,11.12,17.4,43.85,41.06,20.71,9.99,4.69,13.79,12.96,22.58,21.12,23.01,15.28
2021-04-04,35.180416666666666,4272380000000000.0,13.42,14.73,15.54,2.47,15.99,13.72,10.78,9.54,12.29,14.16,27.93,5.65,13.32,6.0,14.21,11.7,17.82,21.01,27.49,10.3
2021-04-05,29.346666666666675,4318660000000000.0,23.6,14.75,14.73,2.56,40.31,10.32,10.67,10.25,15.16,11.38,30.3,5.64,23.35,6.26,3.76,9.29,16.86,25.51,27.56,13.22
2021-04-06,32.91708333333334,5835610000000000.0,30.99,14.73,5.47,4.27,57.65,30.13,14.41,15.82,30.92,22.8,52.77,19.99,20.77,13.11,3.91,15.47,17.54,44.13,29.99,23.75
2021-04-07,43.16374999999999,5641850000000000.0,47.03,14.75,4.86,2.82,25.7,15.88,10.16,10.4,23.81,16.62,47.03,5.53,37.52,11.77,9.25,11.98,3.52,37.77,31.1,19.96
2021-04-08,58.26333333333335,4721220000000000.0,43.55,14.15,15.05,16.34,18.24,9.84,10.07,12.18,16.34,10.33,43.55,6.16,29.59,7.94,11.11,12.42,15.71,25.63,29.38,13.44
2021-04-09,60.36291666666667,5315974000000000.0,48.08,14.74,15.0,4.66,42.24,11.63,11.69,15.28,20.11,22.24,48.08,6.45,19.88,4.64,11.54,13.51,15.56,34.25,29.4,15.79
2021-04-10,54.32208333333333,3470850000000000.0,43.67,14.74,4.07,2.79,10.61,10.61,7.68,8.44,15.58,16.14,43.67,5.38,18.62,3.97,3.17,12.95,16.23,22.31,30.12,16.74
2021-04-11,48.76,7151186000000000.0,35.3,14.73,4.16,2.87,10.31,10.31,9.13,8.94,14.14,10.71,35.3,5.37,32.85,5.63,3.28,11.21,15.97,28.73,30.97,14.56
2021-04-12,56.02166666666667,4638420000000000.0,5.91,14.76,16.47,3.32,32.08,15.64,14.04,17.45,25.48,20.77,47.22,6.24,46.26,7.98,11.44,17.79,16.75,37.53,34.41,19.14
2021-04-13,53.88666666666668,7062810000000000.0,6.25,14.75,17.15,3.58,40.88,15.61,16.14,17.81,23.84,19.47,46.92,5.92,23.94,7.4,4.27,17.69,16.95,34.06,39.52,18.96
2021-04-14,68.98791666666666,7064790000000000.0,6.32,14.77,13.93,3.16,32.81,17.71,8.01,10.69,17.78,11.0,43.06,5.68,13.28,9.52,2.06,14.0,4.45,26.18,36.4,15.35
2021-04-15,52.82208333333335,7663670000000000.0,5.65,11.76,14.89,2.89,18.31,22.33,9.01,11.8,21.0,10.97,50.12,5.38,16.14,7.82,7.79,12.69,17.78,31.4,34.13,17.0
2021-04-16,35.280416666666675,4868610000000000.0,3.31,12.24,3.88,2.18,32.93,19.03,8.51,12.21,16.21,10.93,38.39,19.3,29.97,5.21,6.9,8.09,16.59,25.74,31.34,11.04
2021-04-17,23.5525,3954110000000000.0,3.1,14.76,13.97,2.47,31.27,16.25,7.61,10.88,12.26,10.98,29.58,5.28,14.32,3.54,1.65,7.8,16.18,22.89,30.2,10.73
2021-04-18,32.874166666666675,4929812000000000.0,5.83,14.78,13.55,2.25,13.02,22.95,7.91,8.38,7.67,10.95,31.86,5.26,12.53,10.95,6.29,8.46,15.61,24.08,36.39,9.05
2021-04-19,47.68958333333333,4278830000000000.0,2.86,14.78,13.83,2.5,27.22,19.16,6.82,10.46,13.99,2.34,29.92,6.35,12.62,5.12,1.2,10.12,14.92,20.42,32.87,9.36
2021-04-20,48.79583333333333,3043910000000000.0,5.65,14.77,13.06,1.75,13.5,13.22,6.61,10.51,9.2,10.41,35.48,6.4,25.64,3.72,1.2,7.58,14.92,18.42,25.79,5.4
2021-04-21,40.635,3673270000000000.0,5.66,12.18,13.2,1.58,14.45,14.57,6.66,9.82,9.49,13.58,37.36,6.38,15.03,4.16,3.94,6.57,15.27,18.96,27.11,6.0
2021-04-22,41.02791666666667,5311750000000000.0,5.43,9.8,14.29,1.98,17.25,17.47,6.91,10.53,14.94,10.86,23.34,5.24,33.71,4.16,1.79,7.75,15.23,24.92,31.53,7.56
2021-04-23,32.52375,4982330000000000.0,3.1,9.8,14.43,1.81,36.39,24.2,8.0,11.01,14.89,10.65,36.64,21.21,24.07,4.64,8.0,7.82,15.2,31.44,29.49,9.07
2021-04-24,25.41333333333333,4228750000000000.0,5.55,9.79,13.57,2.08,16.01,16.75,8.46,12.87,11.73,2.43,29.88,5.46,29.92,6.16,8.46,7.92,3.22,26.31,29.9,7.93
2021-04-25,37.23583333333334,3693478000000000.0,5.74,9.79,12.98,2.14,17.2,18.27,7.64,11.51,11.44,11.2,34.15,5.33,15.14,6.14,7.64,9.22,14.52,26.85,31.76,7.92
2021-04-26,64.175,5239580000000000.0,3.07,9.79,14.33,2.78,12.73,23.89,7.17,8.8,13.76,10.99,29.23,5.23,14.07,10.94,1.08,11.65,15.15,18.46,32.4,10.54
2021-04-27,56.50749999999999,5160136000000000.0,3.42,9.79,13.52,2.87,14.1,21.53,0.92,10.17,13.91,10.79,42.62,22.06,10.81,10.19,0.92,11.81,14.71,22.41,32.99,9.39
2021-04-28,43.68375,4530910000000000.0,2.78,9.8,14.27,3.39,29.3,19.59,0.95,9.95,13.89,11.3,36.67,20.7,25.82,9.09,0.95,11.44,14.8,22.2,32.84,10.41
2021-04-29,47.96708333333336,4905120000000000.0,5.87,9.81,13.55,2.28,14.82,15.95,1.05,10.26,10.78,14.54,31.54,5.35,16.13,10.23,1.05,8.77,13.7,21.76,28.27,6.93
2021-04-30,40.227916666666665,4458120000000000.0,3.14,9.79,14.01,2.23,30.31,14.56,1.32,8.59,12.57,18.32,24.02,5.87,12.83,6.99,1.32,11.78,12.96,23.06,29.38,8.74
2021-05-01,31.8875,4131694000000000.0,3.37,9.81,12.55,1.94,27.78,18.95,4.36,9.51,11.29,10.39,26.63,6.32,11.1,7.92,4.36,7.47,11.9,19.88,30.47,7.71
2021-05-02,44.15500000000001,4368240000000000.0,3.24,9.8,3.74,2.13,28.63,17.36,1.97,8.23,11.59,9.96,35.45,19.78,19.67,10.77,1.97,9.57,1.25,23.57,29.86,7.74
2021-05-03,50.73749999999999,4831220000000000.0,3.42,16.51,3.71,3.04,19.35,23.97,4.97,11.92,18.96,11.0,43.71,5.13,33.21,9.88,4.97,15.5,13.25,32.82,34.86,14.92
2021-05-04,47.33958333333333,4720664000000000.0,3.1,106.04,14.52,2.59,31.11,23.07,3.71,9.53,16.84,10.77,38.39,5.5,28.76,10.12,3.71,9.95,2.1,28.36,28.23,10.83
2021-05-05,49.95208333333333,4852960000000000.0,3.1,80.69,13.57,2.26,14.2,18.62,1.46,10.63,10.74,11.21,28.42,20.07,22.63,12.12,1.46,5.84,9.36,20.63,26.58,7.09
2021-05-06,50.78208333333333,3266200000000000.0,6.75,94.1,3.65,1.83,12.19,11.65,2.57,9.24,7.17,11.07,20.78,19.7,14.6,13.01,2.57,6.11,11.39,16.47,22.13,5.66
2021-05-07,48.16875000000001,4568850000000000.0,6.35,97.92,3.71,1.72,13.16,14.24,1.97,7.32,10.02,11.34,30.47,19.95,10.78,12.59,1.97,7.47,1.99,18.63,18.78,6.71
2021-05-08,39.56666666666666,5119260000000000.0,5.52,91.66,11.75,1.69,12.53,7.99,1.57,9.05,8.73,12.27,27.0,19.77,5.94,3.91,1.57,5.98,2.58,16.85,21.98,5.33
2021-05-09,35.730000000000004,4838620000000000.0,5.95,82.93,3.75,1.88,17.14,11.96,0.36,9.13,6.83,11.75,26.74,21.37,5.4,11.75,0.36,5.82,13.2,14.52,24.29,6.07
2021-05-10,40.91291666666667,4848090000000000.0,22.1,76.09,12.22,1.47,12.57,10.71,1.29,10.58,7.13,12.27,22.1,26.64,4.96,4.3,1.29,4.57,12.88,14.5,21.41,4.65
2021-05-11,33.63166666666667,4245032000000000.0,2.0,97.44,3.53,1.22,11.45,11.09,0.38,39.88,5.65,8.82,20.16,5.65,9.62,15.77,0.38,3.84,13.15,14.18,18.07,3.27
2021-05-12,35.451249999999995,4419390000000000.0,3.36,81.63,12.39,1.41,21.53,8.62,0.92,6.8,7.65,12.95,24.12,5.44,4.4,16.8,0.92,4.89,2.1,12.92,19.2,3.25
2021-05-13,42.93375,6683250000000000.0,5.62,84.14,14.38,1.69,23.91,23.91,0.33,18.0,9.71,12.35,24.41,5.17,4.14,16.63,0.33,5.23,13.15,15.82,20.62,4.57
2021-05-14,26.37666666666666,4538130000000000.0,6.33,103.57,12.74,1.84,14.31,14.99,0.33,18.85,11.93,12.19,19.8,5.21,8.39,17.23,0.33,4.85,13.13,19.18,21.45,6.3
2021-05-15,28.10333333333334,6900000000000000.0,3.32,100.33,4.5,4.01,22.37,25.39,1.69,17.53,30.48,11.63,22.0,5.67,12.64,22.46,1.69,10.18,13.12,35.91,30.87,12.03
2021-05-16,7.711666666666669,4329816000000000.0,6.32,89.95,13.03,3.38,17.07,17.07,4.53,10.19,10.75,13.1,20.22,19.74,10.0,18.52,4.53,11.11,13.14,26.92,37.07,10.98
2021-05-17,8.340416666666666,4106046000000000.0,5.96,125.5,3.49,2.82,17.41,14.33,2.02,12.27,5.55,2.24,9.72,5.0,3.19,15.66,2.02,7.2,13.23,12.01,24.72,7.81
2021-05-18,18.957916666666662,4410408000000000.0,5.69,113.45,3.94,5.86,10.25,13.01,0.95,5.13,5.86,12.68,9.88,5.37,4.35,19.93,0.95,9.25,13.11,9.01,21.74,5.71
2021-05-19,42.56208333333333,3240020000000000.0,3.57,111.11,3.86,6.57,13.71,14.32,3.77,31.88,6.57,1.16,24.78,5.34,10.67,22.89,3.77,13.03,13.18,19.89,29.22,7.97
2021-05-20,44.54,5190056000000000.0,6.03,119.71,4.65,10.65,13.5,10.48,15.86,33.0,10.65,12.79,32.18,10.65,6.9,19.03,5.15,11.51,12.95,25.24,26.46,8.39
2021-05-21,48.49625,4397280000000000.0,5.95,100.33,4.1,2.51,14.39,12.08,14.85,19.05,7.45,2.07,24.87,7.45,7.23,17.92,7.21,7.71,13.04,22.43,23.66,9.42
2021-05-22,42.77666666666666,3108660000000000.0,6.13,107.42,4.04,1.41,11.0,11.0,9.56,28.85,8.51,2.01,24.41,8.51,4.55,24.4,9.56,6.79,13.19,17.23,22.43,7.41
2021-05-23,32.08833333333333,4386460000000000.0,5.9,94.18,12.64,1.44,11.99,11.99,9.79,20.81,6.12,2.14,18.6,6.12,8.17,29.08,9.79,5.4,13.13,18.4,25.25,7.46
2021-05-24,27.882500000000004,5089640000000000.0,5.57,91.54,1.23,1.23,9.34,9.34,9.5,11.93,5.38,1.14,15.82,76.69,3.91,30.18,173.9,5.0,13.08,16.2,18.66,6.0
2021-05-25,31.83041666666666,4755960000000000.0,5.74,61.59,1.31,1.31,17.24,10.53,9.5,3.8,7.75,2.07,28.83,32.79,4.08,34.6,231.15,4.0,13.14,15.72,22.46,5.8
2021-05-26,29.18208333333334,4785950000000000.0,3.03,80.75,16.45,1.51,11.22,12.52,8.32,3.63,8.85,1.99,28.66,5.37,3.65,28.14,67.76,10.32,13.08,13.83,28.07,5.31
2021-05-27,33.38875000000001,6368308000000000.0,5.51,98.02,14.07,1.66,11.19,9.08,251.67,3.88,6.59,2.05,25.56,5.75,3.53,29.97,251.67,5.36,13.12,9.51,27.47,6.13
2021-05-28,33.80833333333333,3870610000000000.0,6.13,63.94,3.96,1.5,9.28,8.36,71.22,12.03,5.21,1.98,26.64,6.09,3.61,24.64,71.22,5.27,13.05,8.39,21.42,4.85
2021-05-29,33.33708333333333,4917470000000000.0,5.47,88.84,13.22,0.79,8.32,5.34,187.1,11.3,5.42,2.08,28.69,19.7,7.19,15.07,187.1,5.03,13.2,9.74,18.81,5.1
2021-05-30,29.617916666666677,4609420000000000.0,3.1,57.19,13.38,1.46,9.62,9.62,12.03,11.09,4.78,17.71,18.28,5.64,4.03,17.71,12.03,7.91,13.16,12.16,21.49,6.9
2021-05-31,36.243750000000006,4646310000000000.0,5.85,86.46,3.92,1.72,7.66,7.66,0.79,15.17,8.74,14.94,25.49,24.51,14.68,14.94,0.79,15.22,13.18,22.83,25.35,16.72
2021-06-01,30.260416666666668,3959260000000000.0,5.5,84.55,13.41,1.47,6.57,6.57,10.5,12.34,10.79,10.7,22.8,7.02,27.2,17.67,10.5,14.72,12.64,19.72,22.37,12.2
2021-06-02,45.068333333333335,6132654000000000.0,3.31,76.86,13.83,1.45,6.61,6.61,13.29,10.99,16.7,12.17,22.04,6.97,21.25,16.04,13.29,15.87,2.36,29.2,19.66,19.67
2021-06-03,50.267083333333325,5259050000000000.0,3.31,87.12,15.0,2.02,18.58,18.58,13.23,13.13,16.01,11.79,36.76,6.05,29.84,24.37,13.23,13.86,2.48,30.55,28.34,17.29
2021-06-04,40.74791666666668,3837180000000000.0,5.88,102.96,3.99,2.02,18.58,18.58,13.59,9.3,15.48,12.33,32.71,6.39,28.46,17.81,13.59,16.55,2.12,33.59,35.91,22.45
2021-06-05,33.90125,6651750000000000.0,2.81,54.35,17.07,2.36,22.06,22.06,3.41,12.6,15.93,12.49,49.48,20.16,32.44,16.45,3.41,24.03,13.02,38.82,32.38,24.63
2021-06-06,33.816250000000004,3660710000000000.0,5.5,96.79,15.62,2.01,13.34,13.34,12.2,14.16,8.73,12.14,45.77,8.73,9.31,16.87,12.2,11.27,13.04,22.29,29.08,13.4
2021-06-07,33.145833333333336,4022300000000000.0,3.28,105.23,4.12,1.07,8.44,8.44,3.51,13.65,7.8,12.53,32.01,20.66,16.28,16.44,3.51,10.4,12.83,19.08,20.4,11.39
2021-06-08,37.88583333333333,5010482000000000.0,5.85,92.46,3.85,1.27,6.0,6.0,12.1,14.18,8.65,11.87,33.47,6.36,23.33,16.53,12.1,12.09,2.37,24.36,18.02,10.78
2021-06-09,32.20166666666666,4519646000000000.0,5.94,114.29,3.75,1.47,3.97,3.97,12.3,17.69,13.68,12.31,28.91,13.68,25.12,18.14,12.3,14.55,12.88,28.15,21.91,2.65
2021-06-10,28.667916666666667,5951256000000000.0,5.46,113.43,13.0,2.63,9.62,9.62,13.21,17.88,13.85,12.37,44.93,13.99,18.12,17.48,13.21,15.63,13.18,19.61,22.19,8.03
2021-06-11,26.83333333333333,5538498000000000.0,5.62,105.99,13.75,1.88,7.6,7.6,8.3,16.93,14.71,12.05,29.32,29.44,35.09,32.95,12.2,18.2,13.17,23.62,18.7,10.5
2021-06-12,26.72708333333334,5845858000000000.0,5.02,105.52,4.3,1.66,7.62,7.62,9.77,14.45,16.36,1.41,37.13,24.28,30.26,32.72,12.31,12.02,12.67,20.97,21.14,10.85
2021-06-13,28.69,4133620000000000.0,6.02,102.71,13.88,1.07,9.72,9.72,10.34,12.53,20.67,12.3,24.79,6.55,13.58,31.17,3.87,9.95,2.35,15.78,22.2,6.15
2021-06-14,31.303750000000004,4378962000000000.0,3.08,74.02,3.78,0.93,7.6,7.6,8.6,17.73,19.18,12.05,32.54,6.23,13.78,31.84,12.38,6.09,2.35,12.82,23.22,4.79
2021-06-15,26.504166666666663,3979684000000000.0,3.36,81.44,13.61,1.17,11.07,8.37,7.15,12.76,10.16,1.49,17.53,6.92,17.72,29.59,12.47,14.03,13.2,17.13,23.6,8.12
2021-06-16,30.81083333333333,4937628000000000.0,3.08,13.09,13.46,1.57,5.31,19.53,7.43,15.03,14.21,12.15,27.44,30.53,30.74,30.1,12.51,18.3,12.69,26.8,24.3,14.77
2021-06-17,26.41208333333334,7481804000000000.0,24.03,12.53,3.6,1.97,5.01,26.91,6.63,20.39,11.15,1.06,24.03,26.33,23.45,32.97,3.42,13.25,13.1,21.78,25.49,3.4
2021-06-18,23.17875,3095950000000000.0,25.36,13.01,3.62,1.17,4.98,12.92,6.65,16.37,10.26,12.22,25.36,19.88,13.04,28.57,11.52,8.37,12.86,13.65,24.42,4.38
2021-06-19,21.43625,4394800000000000.0,5.92,12.05,3.58,1.97,5.9,5.9,10.8,15.84,11.53,2.27,33.3,6.13,12.2,30.81,3.7,11.53,12.75,24.06,28.12,6.04
2021-06-20,25.76875,3470380000000000.0,27.6,12.01,12.58,1.15,5.31,5.31,5.02,16.41,9.53,2.02,27.6,21.08,11.15,29.19,11.64,7.43,13.07,12.23,27.43,2.63
2021-06-21,31.974166666666665,4588486000000000.0,23.79,8.36,13.72,2.01,8.63,8.63,7.37,14.75,9.55,12.01,23.79,6.35,11.95,27.23,8.77,10.7,2.37,17.46,22.27,3.3
2021-06-22,39.141666666666666,3734670000000000.0,22.47,2.89,4.07,1.14,7.48,7.48,6.1,14.12,9.12,11.86,22.47,5.62,11.45,27.01,1.53,5.87,13.19,12.7,25.84,3.18
2021-06-23,35.229166666666664,4349460000000000.0,24.87,7.52,14.23,1.37,4.83,5.2,5.76,12.16,9.73,1.11,24.87,5.52,19.3,27.94,5.31,5.26,12.99,12.75,25.63,4.69
2021-06-24,35.472500000000004,6024266000000000.0,2.88,13.06,14.41,0.15,9.01,1.36,6.61,15.82,9.42,2.02,20.42,6.55,10.29,27.94,4.98,9.87,13.27,11.13,23.88,6.6
2021-06-25,36.158750000000005,5044036000000000.0,5.78,13.04,14.35,1.21,9.35,4.56,8.63,15.39,11.45,1.1,33.34,7.95,23.98,27.13,1.26,13.53,2.47,21.8,26.55,5.67
2021-06-26,25.234583333333333,3574730000000000.0,5.92,13.09,14.3,7.56,4.89,7.64,7.54,18.01,7.56,1.5,22.67,28.58,16.47,25.14,1.5,7.69,13.07,19.47,21.14,4.61
2021-06-27,29.5175,3454584000000000.0,2.99,13.25,13.63,0.42,4.61,1.84,9.47,14.12,7.03,12.46,23.79,6.57,18.76,24.66,4.13,10.38,13.15,22.16,23.96,9.18
2021-06-28,37.671666666666674,4294654000000000.0,2.97,13.28,13.71,1.62,5.41,14.26,12.97,15.71,11.66,12.24,28.65,6.5,22.48,26.25,5.43,10.03,13.15,21.56,25.32,9.7
2021-06-29,37.3425,4538798000000000.0,4.89,13.19,14.34,1.59,9.24,7.36,0.96,41.13,12.79,12.04,28.19,7.32,18.58,26.38,1.31,11.54,1.97,18.75,26.39,9.54
2021-06-30,35.30083333333334,4757708000000000.0,5.5,13.22,14.11,0.82,6.81,7.54,9.98,98.96,9.31,12.11,21.0,9.19,22.02,28.17,1.86,11.05,1.99,15.93,21.1,7.73
2021-07-01,26.06166666666667,4134450000000000.0,5.77,11.2,13.85,0.79,17.0,3.07,8.07,40.92,6.85,12.17,22.5,6.59,24.65,25.88,3.61,6.7,1.98,9.13,21.86,4.81
2021-07-02,24.90583333333333,3508110000000000.0,3.0,8.03,13.56,1.13,9.75,4.1,8.36,5.07,7.62,12.19,28.53,22.37,28.02,28.07,1.35,4.88,1.99,9.7,23.61,2.62
2021-07-03,27.49000000000001,3510340000000000.0,2.95,8.03,14.12,0.96,9.18,7.67,7.89,3.71,8.17,11.95,15.56,5.88,22.12,27.98,4.78,3.96,13.1,8.6,23.96,4.31
2021-07-04,38.65541666666667,4075360000000000.0,2.95,8.02,13.63,0.75,18.67,9.39,8.78,3.22,7.96,11.62,16.19,5.9,23.6,26.02,4.32,3.7,2.34,12.57,24.14,6.35
2021-07-05,40.69833333333333,4593540000000000.0,5.64,8.04,13.94,0.81,12.4,7.42,9.47,3.42,8.0,12.06,16.56,20.56,25.76,27.39,1.17,3.24,1.99,17.33,20.06,7.49
2021-07-06,34.2725,2967410000000000.0,2.99,8.05,13.94,1.12,13.29,24.79,10.01,3.1,6.23,11.65,16.16,20.48,25.93,26.49,4.0,3.7,13.18,18.82,19.1,7.96
2021-07-07,31.30375,3121018000000000.0,3.07,8.06,3.87,0.53,13.39,25.04,9.76,2.9,5.22,12.36,15.11,5.82,26.57,25.06,4.11,3.44,13.19,16.69,17.07,16.54
2021-07-08,34.78666666666667,5192064000000000.0,2.85,8.06,4.17,0.56,12.34,24.72,10.04,2.78,8.21,1.5,19.92,23.56,20.34,20.24,136.2,8.54,2.35,24.09,20.73,8.21
2021-07-09,40.58375,4301494000000000.0,3.01,8.04,4.4,1.85,14.93,30.59,14.58,2.92,9.15,11.75,20.3,25.07,39.0,18.6,14.58,11.09,13.12,26.51,20.42,24.12
2021-07-10,32.766666666666666,4540964000000000.0,5.6,8.06,14.57,3.16,14.77,27.35,12.53,2.64,9.45,12.02,33.71,22.94,17.83,16.88,12.53,9.78,12.9,29.63,22.43,22.79
2021-07-11,32.123333333333335,3826930000000000.0,2.94,8.04,14.09,1.06,11.82,24.7,9.54,2.4,5.59,11.89,19.62,6.39,27.62,17.38,9.54,7.36,16.34,19.3,18.68,4.77
2021-07-12,22.641250000000003,5163418000000000.0,2.92,8.06,12.98,1.72,19.98,21.92,10.22,2.73,6.08,11.73,22.93,5.98,13.54,19.34,10.22,8.72,15.9,14.44,29.66,4.43
2021-07-13,31.132500000000004,3754494000000000.0,2.92,8.05,14.54,1.09,9.7,1.74,8.29,10.49,11.49,12.34,27.03,27.15,16.88,20.95,8.29,11.25,3.36,21.07,25.53,4.71
2021-07-14,31.17458333333334,5936240000000000.0,5.67,8.07,22.97,1.26,24.94,1.08,8.87,21.0,18.39,12.03,19.0,7.87,17.31,21.98,8.87,12.22,17.31,25.03,27.38,4.77
2021-07-15,30.58875,5992470000000000.0,3.03,8.06,15.28,15.49,14.12,2.79,9.93,12.79,15.49,2.05,13.5,25.1,26.04,5.22,9.93,11.73,26.04,25.9,19.22,6.16
2021-07-16,26.01833333333333,5497866000000000.0,2.93,8.05,14.6,15.04,22.94,5.91,8.87,7.98,15.04,11.62,12.22,23.35,11.62,24.64,8.87,11.41,11.62,21.49,14.6,2.21
2021-07-17,23.405833333333334,5507540000000000.0,3.01,8.06,14.39,15.22,22.58,22.58,8.32,8.11,15.22,12.29,18.06,5.78,15.59,67.88,8.32,10.03,15.59,24.23,14.39,3.02
2021-07-18,22.43541666666667,3224350000000000.0,2.77,8.05,13.44,12.14,21.03,21.03,8.36,6.37,12.14,1.8,8.42,18.79,11.94,73.47,8.36,4.29,11.94,18.19,13.44,2.72
2021-07-19,26.990416666666672,4082696000000000.0,5.95,8.07,4.42,14.2,10.98,10.98,8.55,6.71,14.2,73.34,11.23,5.71,11.19,73.34,8.55,6.02,27.65,18.89,4.42,2.79
2021-07-20,27.79,5638136000000000.0,3.07,8.09,15.01,10.92,19.68,19.68,7.35,3.67,10.92,55.39,3.67,5.56,10.59,55.39,7.35,7.9,10.63,12.54,15.01,5.93
2021-07-21,20.49333333333333,6245244000000000.0,2.92,8.08,13.96,8.51,9.13,9.13,7.43,3.91,8.51,49.49,3.91,19.37,8.91,49.49,7.43,6.9,28.09,9.6,13.96,5.65
2021-07-22,23.35625,3299088000000000.0,5.6,8.1,4.39,8.56,9.35,9.35,7.18,2.03,8.56,38.52,2.03,18.78,13.29,38.52,7.18,6.91,10.78,14.3,4.39,6.86
2021-07-23,26.447916666666668,5422828000000000.0,2.84,8.08,13.76,5.62,18.38,18.38,7.16,6.76,5.62,45.45,6.76,5.43,13.67,45.45,7.16,7.4,28.18,16.76,13.76,8.71
2021-07-24,21.47125,3769740000000000.0,5.95,8.08,13.84,5.8,17.96,17.96,6.17,5.08,5.8,45.65,5.08,19.42,11.72,45.65,6.17,7.08,28.15,14.53,13.84,6.33
2021-07-25,22.26458333333333,6752220000000000.0,3.13,8.05,3.87,5.76,10.08,10.08,7.45,5.05,5.76,42.34,5.05,19.08,10.91,42.34,7.45,5.86,28.22,12.64,3.87,4.62
2021-07-26,21.77916666666667,3707680000000000.0,5.52,8.06,4.09,6.32,9.02,9.02,8.31,6.75,6.32,42.65,3.0,5.51,11.49,42.65,8.31,6.63,28.27,9.14,4.09,5.29
2021-07-27,23.27083333333334,3640286000000000.0,3.04,8.06,14.15,6.41,8.29,8.29,7.46,8.56,6.41,43.48,11.93,20.14,15.96,43.48,7.46,7.68,28.33,10.59,14.15,5.24
2021-07-28,22.662500000000005,4898370000000000.0,6.35,8.06,4.01,6.76,15.76,15.76,7.41,3.98,6.76,44.57,16.48,6.3,11.65,44.57,73.16,9.25,28.04,11.6,4.01,5.72
2021-07-29,21.585833333333337,4105632000000000.0,17.6,8.1,14.13,1.72,8.89,15.66,9.23,3.67,6.56,45.53,17.6,20.6,10.7,45.53,5.85,8.56,27.95,10.89,25.05,8.28
2021-07-30,19.6175,6044742000000000.0,14.7,8.07,4.46,1.08,9.39,12.18,8.39,4.03,9.25,43.61,14.7,5.99,17.92,43.61,5.05,8.1,27.66,11.39,21.72,7.68
2021-07-31,13.952916666666663,6443242000000000.0,15.34,8.07,15.49,1.41,17.42,9.45,7.58,3.8,8.65,39.96,15.34,21.43,11.07,39.96,0.86,6.7,28.32,12.33,27.85,1.98
2021-08-01,16.745,4261922000000000.0,4.11,8.11,15.29,0.91,16.51,3.13,7.73,5.15,7.41,39.8,13.9,6.22,20.27,39.8,3.83,6.31,28.1,10.6,29.67,16.51
2021-08-02,24.34708333333333,4886018000000000.0,3.72,8.11,4.74,1.42,9.27,7.92,8.01,4.99,10.11,11.22,13.76,21.02,11.06,42.42,4.21,8.92,10.6,13.86,30.52,9.27
2021-08-03,27.725,4031496000000000.0,3.24,8.1,4.12,0.91,8.95,7.2,7.47,4.75,9.37,11.31,14.68,6.37,10.79,42.49,2.27,7.26,10.57,15.96,31.69,32.96
2021-08-04,24.777083333333334,6692082000000000.0,5.5,8.11,4.71,0.77,9.18,7.16,7.37,4.08,8.48,11.59,16.29,5.91,9.43,45.79,1.89,6.92,28.27,10.96,31.44,41.78
2021-08-05,24.22041666666667,2751940000000000.0,5.67,8.09,4.65,1.26,8.95,7.1,6.84,4.7,7.75,12.96,21.69,6.26,16.61,37.34,0.52,6.78,13.12,12.76,32.52,27.71
2021-08-06,22.883333333333336,3169250000000000.0,3.16,8.1,15.23,0.75,16.51,4.65,6.54,5.13,7.51,11.35,21.21,5.71,5.74,30.78,1.86,7.83,2.82,13.24,29.46,16.51
2021-08-07,26.28333333333333,3039400000000000.0,2.86,8.09,4.48,0.87,9.01,8.93,7.4,4.7,6.91,1.03,22.66,6.65,5.66,59.26,0.96,6.41,2.97,14.78,29.39,39.2
2021-08-08,32.072916666666664,7025120000000000.0,2.78,8.05,14.22,0.52,9.73,3.74,6.48,2.29,4.17,11.55,20.84,26.27,5.94,54.08,1.68,9.33,2.5,13.89,28.42,34.96
2021-08-09,38.28458333333332,2870050000000000.0,3.07,8.06,14.92,1.18,19.83,6.88,7.41,5.12,7.82,2.31,20.38,25.42,13.73,55.51,3.37,9.6,2.39,15.59,25.51,48.26
