date,open_SO2,sate_SO2,"Civil Lines, Bareilly - UPPCB","Rajendra Nagar, Bareilly - UPPCB"
2021-03-25,10.7275,-0.0221267832,30.92,30.92
2021-03-26,9.579583333333334,0.028536705,38.93,38.93
2021-03-27,10.82375,0.073453262,41.64,41.64
2021-03-28,18.733333333333334,0.0053105591999999,45.74,45.74
2021-03-29,24.089583333333334,0.042574782,38.65,38.65
2021-03-30,21.60666666666667,0.05482474819850375,36.06,36.06
2021-03-31,10.77833333333333,-0.01248839,25.93,25.93
2021-04-01,11.466666666666669,0.067114791,36.36,36.36
2021-04-02,13.51625,-0.176546291,31.65,31.65
2021-04-03,12.675,0.006706376,40.72,40.72
2021-04-04,13.577916666666669,-0.015457472,34.46,34.46
2021-04-05,16.43375,0.063580528,41.05,41.05
2021-04-06,12.071666666666667,-0.1295465672,31.26,31.26
2021-04-07,12.414583333333333,-0.234449238,28.81,28.81
2021-04-08,16.18416666666667,0.1125635823999999,31.79,31.79
2021-04-09,16.97791666666667,0.0944728174,31.84,31.84
2021-04-10,13.242083333333335,0.407303751,30.35,30.35
2021-04-11,14.265416666666669,0.061676443,34.18,34.18
2021-04-12,16.239583333333332,0.114768393,39.22,39.22
2021-04-13,15.435000000000002,0.327896655,33.29,33.29
2021-04-14,16.5425,0.094947971,36.2,36.2
2021-04-15,15.146666666666668,0.0081363217999999,41.29,41.29
2021-04-16,16.394166666666667,0.099241316,47.13,47.13
2021-04-17,10.35625,0.075485993,27.71,27.71
2021-04-18,12.677500000000002,0.959303141,36.44,36.44
2021-04-19,13.100416666666666,0.518432498,32.15,32.15
2021-04-20,11.937916666666668,0.109999999,37.77,37.77
2021-04-21,4.915833333333334,0.083149292,28.18,28.18
2021-04-22,8.49625,-0.280330132,26.52,26.52
2021-04-23,7.110833333333333,-0.0499648746,25.27,25.27
2021-04-24,11.572916666666666,0.101475018,10.12,10.12
2021-04-25,15.865416666666668,0.0126212514,16.69,16.69
2021-04-26,14.595833333333337,-0.3568151,25.23,25.23
2021-04-27,19.287083333333328,-0.09102153,40.43,40.43
2021-04-28,15.005,-0.007144503,36.33,36.33
2021-04-29,15.905,0.222107455,38.14,38.14
2021-04-30,12.331249999999995,-0.057148226,29.65,29.65
2021-05-01,13.768750000000002,0.0826795348,28.43,28.43
2021-05-02,15.085833333333332,0.1547565656,33.35,33.35
2021-05-03,10.958333333333334,0.1160769758,31.71,31.71
2021-05-04,13.877083333333331,-0.040315207,31.19,31.19
2021-05-05,6.849166666666668,0.01966458,26.48,26.48
2021-05-06,8.111666666666665,-0.073478781,24.48,24.48
2021-05-07,9.765416666666663,-0.12992245,7.2,7.2
2021-05-08,10.204583333333334,0.0569925763999999,7.81,7.81
2021-05-09,8.717916666666666,0.091694161,8.0,8.0
2021-05-10,10.570833333333333,-0.0911195039999999,5.31,5.31
2021-05-11,17.715833333333332,0.0569630118,6.69,6.69
2021-05-12,8.13875,-0.393372029,23.49,23.49
2021-05-13,10.220416666666663,-0.176485747,22.58,22.58
2021-05-14,10.807083333333331,0.029116616,23.89,23.89
2021-05-15,12.611666666666666,-0.400238454,29.01,29.01
2021-05-16,13.015,0.06348186,29.94,29.94
2021-05-17,15.244583333333336,0.1075737363999999,44.74,44.74
2021-05-18,10.85125,0.1276201135999999,24.88,24.88
2021-05-19,4.663750000000001,0.1592760785999999,21.04,21.04
2021-05-20,15.442916666666669,0.1543074458,21.69,21.69
2021-05-21,17.022916666666667,0.043693271,21.25,21.25
2021-05-22,10.08291666666667,0.306409597,23.27,23.27
2021-05-23,27.229583333333327,0.149276525,26.18,26.18
2021-05-24,12.96416666666667,0.0364498677999999,29.9,29.9
2021-05-25,17.044583333333335,0.042917952,30.77,30.77
2021-05-26,22.521249999999995,0.0643715746,34.05,34.05
2021-05-27,16.491666666666667,-0.0296848711999999,34.42,34.42
2021-05-28,15.502916666666664,-0.079795495,20.22,20.22
2021-05-29,14.814583333333331,0.1156994193999999,22.0,22.0
2021-05-30,18.1275,0.144392833,22.94,22.94
2021-05-31,10.0575,0.118639328,25.11,25.11
2021-06-01,10.152916666666666,-0.011621178,26.58,26.58
2021-06-02,19.511666666666667,-0.0164511857999999,21.45,21.45
2021-06-03,13.910833333333334,0.268791407,21.16,21.16
2021-06-04,15.202083333333334,0.1110969879999999,3.76,23.51
2021-06-05,18.677916666666665,0.138296381,4.15,25.54
2021-06-06,14.504583333333334,0.156709954,5.02,27.35
2021-06-07,13.401666666666667,0.199298352,6.13,27.03
2021-06-08,16.81375,-0.144978598,6.0,32.74
2021-06-09,6.809166666666667,0.2005868833999999,5.62,32.15
2021-06-10,5.769583333333333,-0.1076440856,1.14,20.31
2021-06-11,7.139166666666665,0.2067421004,1.19,19.8
2021-06-12,4.2562500000000005,-0.098297677,6.31,20.99
2021-06-13,8.304166666666667,-0.039917942,7.12,20.98
2021-06-14,6.018333333333334,0.139717564,6.27,20.73
2021-06-15,10.92875,0.143333331,7.62,21.88
2021-06-16,6.724166666666666,0.132426888,7.18,18.87
2021-06-17,4.740833333333333,0.2272343568,6.96,21.34
2021-06-18,4.3429166666666665,0.1901707734,7.44,21.09
2021-06-19,4.6345833333333335,0.0545631476,7.69,19.55
2021-06-20,13.757083333333332,-0.0570166068,4.64,16.95
2021-06-21,11.894166666666669,0.10823445,5.86,20.05
2021-06-22,26.57958333333333,0.091771603,5.5,28.18
2021-06-23,10.184583333333334,0.137831241,8.6,34.28
2021-06-24,7.860833333333332,-0.0456080824,9.14,21.47
2021-06-25,12.822916666666666,0.2207775292,3.48,29.91
2021-06-26,11.224166666666669,0.103802316,3.7,19.88
2021-06-27,8.925833333333332,0.0914729774,4.11,21.75
2021-06-28,11.247916666666669,0.1311531721999999,3.16,24.65
2021-06-29,15.185,-0.116218753,3.33,36.98
2021-06-30,15.989583333333334,-0.140215963,8.6,36.16
2021-07-01,16.28958333333333,0.016759573,8.5,25.09
2021-07-02,11.768749999999995,0.112046622,8.58,27.68
2021-07-03,9.264583333333333,0.086664923,9.08,26.29
2021-07-04,10.375833333333334,0.070717847,9.16,27.72
2021-07-05,10.915,0.0855850906,9.52,21.72
2021-07-06,12.244166666666665,-0.0731424666,9.6,27.17
2021-07-07,10.797499999999998,0.141594544,10.15,29.94
2021-07-08,5.612916666666667,0.0147591346,9.89,29.92
