date,open_NO2,sate_NO2,"Sector 22, Chandigarh - CPCC","Sector-25, Chandigarh - CPCC","Sector-53, Chandigarh - CPCC"
2021-02-09,34.565416666666664,5533600000000000.0,24.98,24.98,24.98
2021-02-10,31.437916666666663,6241644000000000.0,19.63,19.63,19.63
2021-02-11,30.94625,8595010000000000.0,19.39,19.39,19.39
2021-02-12,35.45791666666666,1.19e+16,24.32,24.32,24.32
2021-02-13,33.759166666666665,7273650000000000.0,24.46,24.46,24.46
2021-02-14,27.0825,9152110000000000.0,21.97,21.97,21.97
2021-02-15,39.28458333333333,7757244000000000.0,26.35,26.35,26.35
2021-02-16,42.08416666666668,7260060000000000.0,25.47,25.47,25.47
2021-02-17,50.987916666666656,6977642000000000.0,27.99,27.99,27.99
2021-02-18,36.11416666666667,8730290000000000.0,33.36,33.36,33.36
2021-02-19,28.73125,5666770000000000.0,24.1,24.1,24.1
2021-02-20,16.362083333333334,1e+16,18.47,18.47,18.47
2021-02-21,12.763333333333335,7572210000000000.0,12.25,12.25,12.25
2021-02-22,15.898333333333332,8873466000000000.0,13.87,13.87,13.87
2021-02-23,30.81750000000001,8422380000000000.0,23.17,23.17,23.17
2021-02-24,29.51083333333333,7256818000000000.0,21.77,21.77,21.77
2021-02-25,22.52916666666667,8656080000000000.0,27.51,27.51,27.51
2021-02-26,28.94125,6668140000000000.0,23.15,23.15,23.15
2021-02-27,17.108750000000004,4750910000000000.0,23.98,23.98,23.98
2021-02-28,25.93416666666666,5081340000000000.0,29.03,29.03,29.03
2021-03-01,11.282916666666669,5760626000000000.0,24.31,24.31,24.31
2021-03-02,11.164166666666668,4003160000000000.0,13.66,13.66,13.66
2021-03-03,24.0475,8355852000000000.0,20.84,20.84,20.84
2021-03-04,22.999166666666657,5029850000000000.0,37.39,37.39,37.39
2021-03-05,10.352916666666664,6158424000000000.0,20.39,20.39,20.39
2021-03-06,12.337083333333332,5119710000000000.0,18.38,18.38,18.38
2021-03-07,4.979583333333333,6800420000000000.0,19.11,19.11,19.11
2021-03-08,17.71041666666667,5727970000000000.0,27.18,27.18,27.18
2021-03-09,36.88666666666667,5297070000000000.0,31.57,31.57,31.57
2021-03-10,28.532083333333333,6914618000000000.0,34.16,34.16,34.16
2021-03-11,33.34333333333333,6285840000000000.0,32.65,32.65,32.65
2021-03-12,30.746250000000007,6581426000000000.0,32.42,32.42,32.42
2021-03-13,12.628333333333332,3621430000000000.0,20.63,20.63,20.63
2021-03-14,11.660869565217393,6815964000000000.0,16.66,16.66,16.66
2021-03-15,15.204999999999998,4124670000000000.0,13.13,13.13,13.13
2021-03-16,14.599999999999996,4918150000000000.0,15.9,15.9,15.9
2021-03-17,17.412500000000005,5926620000000000.0,17.36,17.36,17.36
2021-03-18,26.80416666666667,4827640000000000.0,21.05,21.05,21.05
2021-03-19,19.90666666666667,6060242000000000.0,24.7,24.7,24.7
2021-03-20,15.28625,4817400000000000.0,17.86,17.86,17.86
2021-03-21,9.305833333333334,6254610000000000.0,29.2,29.2,29.2
2021-03-22,8.047916666666667,6403066000000000.0,27.95,27.95,27.95
2021-03-23,8.441249999999998,6264928000000000.0,25.34,25.34,25.34
2021-03-24,13.798333333333334,6099110000000000.0,16.84,16.84,16.84
2021-03-25,13.635833333333332,4985700000000000.0,12.99,12.99,12.99
2021-03-26,15.426666666666668,7113896000000000.0,15.11,15.11,15.11
2021-03-27,20.871666666666663,7775640000000000.0,26.28,26.28,26.28
2021-03-28,11.55625,6812772000000000.0,37.7,37.7,37.7
2021-03-29,13.460416666666667,4108250000000000.0,32.53,32.53,32.53
2021-03-30,10.53375,6469614000000000.0,23.91,23.91,23.91
2021-03-31,12.427083333333334,5606490000000000.0,13.85,13.85,13.85
2021-04-01,13.90291666666667,6021880000000000.0,22.52,22.52,22.52
2021-04-02,26.905833333333334,7251970000000000.0,32.62,32.62,32.62
2021-04-03,12.189583333333331,7321070000000000.0,27.14,27.14,27.14
2021-04-04,6.005,5658400000000000.0,24.06,24.06,24.06
2021-04-05,9.900833333333336,4477770000000000.0,28.31,28.31,28.31
2021-04-06,8.565416666666666,6333866000000000.0,45.18,45.18,45.18
2021-04-07,26.836666666666662,7406520000000000.0,20.06,20.06,20.06
2021-04-08,22.742083333333337,6199206000000000.0,22.56,22.56,22.56
2021-04-09,13.8225,7221030000000000.0,23.36,23.36,23.36
2021-04-10,12.834583333333333,3241690000000000.0,30.89,30.89,30.89
2021-04-11,12.0375,7863800000000000.0,26.33,26.33,26.33
2021-04-12,16.438333333333333,7155550000000000.0,20.4,20.4,20.4
2021-04-13,12.140833333333331,6454318000000000.0,21.31,21.31,21.31
2021-04-14,15.485833333333332,6765490000000000.0,22.23,22.23,22.23
2021-04-15,22.316666666666663,6387808000000000.0,23.7,23.7,23.7
2021-04-16,9.017916666666668,7583260000000000.0,31.1,31.1,31.1
2021-04-17,12.641666666666666,6039300000000000.0,16.62,16.62,16.62
2021-04-18,9.664583333333336,8780450000000000.0,16.19,16.19,16.19
2021-04-19,17.51666666666667,6179050000000000.0,21.45,21.45,21.45
2021-04-20,9.534583333333336,6101936000000000.0,32.95,32.95,32.95
2021-04-21,10.997083333333334,5747100000000000.0,12.91,12.91,12.91
2021-04-22,10.709583333333333,7069692000000000.0,21.94,21.94,21.94
2021-04-23,12.126666666666669,6349044000000000.0,23.2,23.2,23.2
2021-04-24,14.746249999999998,6632416000000000.0,19.45,19.45,19.45
2021-04-25,16.120416666666667,5599050000000000.0,25.58,25.58,25.58
2021-04-26,18.8725,5303980000000000.0,32.24,32.24,32.24
2021-04-27,18.01166666666667,7369720000000000.0,32.77,32.77,32.77
2021-04-28,28.761249999999997,1.09e+16,28.5,28.5,28.5
2021-04-29,27.41125000000001,7340626000000000.0,35.12,35.12,35.12
2021-04-30,18.81458333333333,1.05e+16,32.34,32.34,32.34
2021-05-01,17.735416666666666,6103280000000000.0,23.77,23.77,23.77
2021-05-02,10.479166666666664,8460070000000000.0,22.6,22.6,22.6
2021-05-03,15.378750000000002,1.15e+16,26.24,26.24,26.24
2021-05-04,20.2775,8191130000000000.0,23.14,23.14,23.14
2021-05-05,21.92083333333333,8811560000000000.0,22.45,22.45,22.45
2021-05-06,18.686250000000005,5991490000000000.0,23.18,23.18,23.18
2021-05-07,22.711250000000003,7237670000000000.0,16.09,16.09,16.09
2021-05-08,15.48666666666667,7790386000000000.0,21.76,21.76,21.76
2021-05-09,16.22791666666667,9108724000000000.0,16.04,16.04,16.04
2021-05-10,21.0875,8059448000000000.0,30.19,30.19,30.19
