,Station,Longitude,Latitude
49,"Delhi_Delhi_Sri Aurobindo Marg, Delhi - DPCC",77.2063073,28.5562223
50,"Delhi_Delhi_Vivek Vihar, Delhi - DPCC",77.3176541,28.6712458
51,"Delhi_Delhi_Wazirpur, Delhi - DPCC",77.1604397,28.69754439999999
52,"Gujarat_Gandhinagar_GIFT City, Gandhinagar - IITM",72.6831136,23.1586396
53,"Gujarat_Gandhinagar_IIPHG Lekawada, Gandhinagar - IITM",72.6874392,23.2446512
54,"Haryana_Faridabad_New Industrial Town, Faridabad - HSPCB",77.301675,28.3922002
55,"Haryana_Faridabad_Sector 11, Faridabad - HSPCB",77.3220128,28.3704165
56,"Haryana_Faridabad_Sector 30, Faridabad - HSPCB",77.3223915,28.4425186
57,"Haryana_Faridabad_Sector- 16A, Faridabad - HSPCB",77.3184825,28.4060902
58,"Jammu and Kashmir_Srinagar_Rajbagh, Srinagar - JKSPCB",74.8287807,34.0661987
59,"Karnataka_Belgaum_Ramteerth Nagar, Belgaum - KSPCB",74.54339879999999,15.8907358
60,"Karnataka_Bengaluru_Bapuji Nagar, Bengaluru - KSPCB",77.53972929999999,12.95678
61,"Karnataka_Bengaluru_BTM Layout, Bengaluru - CPCB",77.6101163,12.9165757
62,"Karnataka_Bengaluru_BWSSB Kadabesanahalli, Bengaluru - CPCB",77.6982627,12.9473227
63,"Karnataka_Bengaluru_City Railway Station, Bengaluru - KSPCB",77.5657561,12.9758403
64,"Karnataka_Bengaluru_Hebbal, Bengaluru - KSPCB",77.59878739999999,13.0353557
65,"Karnataka_Bengaluru_Hombegowda Nagar, Bengaluru - KSPCB",77.5948946,12.9375448
66,"Karnataka_Bengaluru_Jayanagar 5th Block, Bengaluru - KSPCB",77.5841502,12.920789
67,"Karnataka_Bengaluru_Peenya, Bengaluru - CPCB",77.5196763,13.0285133
68,"Karnataka_Bengaluru_Sanegurava Halli, Bengaluru - KSPCB",77.5945627,12.9715987
69,"Karnataka_Bengaluru_Silk Board, Bengaluru - KSPCB",77.6212483,12.9173312
70,"Karnataka_Mangalore_Kadri, Mangalore - KSPCB",74.85915779999999,12.8804608
71,"Karnataka_Mysuru_Hebbal 1st Stage, Mysuru - KSPCB",76.6209903,12.3500813
72,"Kerala_Kochi_Vyttila, Kochi - Kerala PCB",76.3182346,9.968199
73,"Kerala_Kozhikode_Palayam, Kozhikode - Kerala PCB",75.78389949999999,11.2488252
74,"Kerala_Thiruvananthapuram_Kariavattom, Thiruvananthapuram - Kerala PCB",76.8908318,8.5678435
